Orthogroup	DSEC.longest_only	DSUP.longest_only
OG0000000	LOC6605054|XP_032575159.1|DSEC	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP
OG0000000	LOC6611330|XP_002035877.1|DSEC	LOC119548573|XP_037711818.1|DSUP
OG0000000	LOC6608865|XP_002033579.1|DSEC	LOC119551998|XP_037717650.1|DSUP
OG0000000	LOC6605884|XP_032575999.1|DSEC	LOC119555358|XP_037722624.1|DSUP
OG0000000	LOC6605885|XP_032575997.1|DSEC	LOC119555354|XP_037722619.1|DSUP
OG0000000	LOC116800964|XP_032573791.1|DSEC	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP
OG0000000	LOC116801306|XP_032575998.1|DSEC	LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC6613111|XP_032569894.1|DSEC	LOC119551506|XP_037716808.1|DSUP
OG0000000	LOC6612936|XP_002037428.1|DSEC	LOC119554400|XP_037721217.1|DSUP
OG0000000	LOC6611813|XP_002036335.1|DSEC	LOC119546175|XP_037708225.1|DSUP
OG0000000	LOC6609340|XP_032572102.1|DSEC	LOC119549570|XP_037713651.1|DSUP
OG0000000	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC, LOC6616347|XP_002040707.1|DSEC, LOC116800542|XP_032571951.1|DSEC	LOC119555097|XP_037722243.1|DSUP
OG0000000	LOC116803586|XP_032583371.1|DSEC	LOC119548144|XP_037711170.1|DSUP
OG0000000	LOC6612926|XP_032578042.1|DSEC	LOC119554309|XP_037721101.1|DSUP
OG0000000	LOC6612925|XP_002037417.1|DSEC	LOC119563229|XP_037732462.1|DSUP
OG0000000	LOC6611281|XP_032582965.1|DSEC	LOC119547184|XP_037709847.1|DSUP
OG0000000	LOC6614481|XP_002038914.1|DSEC	LOC119546339|XP_037708468.1|DSUP
OG0000000	LOC6609905|XP_032572518.1|DSEC	LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP
OG0000000	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC119563146|XP_037732330.1|DSUP
OG0000000	LOC6613854|XP_002038323.1|DSEC	LOC119560562|XP_037730007.1|DSUP
OG0000000	LOC6605446|XP_002030279.1|DSEC	LOC119555832|XP_037723387.1|DSUP
OG0000002	LOC6609498|XP_002034183.1|DSEC	LOC119550810|XP_037715678.1|DSUP
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC6615481|XP_002039861.2|DSEC	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC6619439|XP_032575015.1|DSEC	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP
OG0000003	LOC6609226|XP_032570279.1|DSEC	LOC119549193|XP_037712950.1|DSUP
OG0000003	LOC6609227|XP_002033918.2|DSEC	LOC119549691|XP_037713842.1|DSUP
OG0000003	LOC6617182|XP_002041509.2|DSEC	LOC119553060|XP_037719113.1|DSUP
OG0000003	LOC6609229|XP_032570278.1|DSEC	LOC119549692|XP_037713843.1|DSUP
OG0000003	LOC6607893|XP_002032647.1|DSEC	LOC119548975|XP_037712493.1|DSUP
OG0000003	LOC6609222|XP_002033913.1|DSEC	LOC119549585|XP_037713671.1|DSUP
OG0000003	LOC116800691|XP_032572969.1|DSEC	LOC119550953|XP_037715907.1|DSUP
OG0000003	LOC6609221|XP_002033912.1|DSEC	LOC119549586|XP_037713672.1|DSUP
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC119551761|XP_037717216.1|DSUP
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC119551759|XP_037717214.1|DSUP
OG0000003	LOC6613508|XP_002037976.1|DSEC	LOC119546510|XP_037708761.1|DSUP
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC119554492|XP_037721353.1|DSUP
OG0000007	LOC6610954|XP_002035511.1|DSEC	LOC119554489|XP_037721348.1|DSUP
OG0000007	LOC6610952|XP_032575303.1|DSEC	LOC119554495|XP_037721355.1|DSUP
OG0000007	LOC6610951|XP_002035508.1|DSEC	LOC119554494|XP_037721354.1|DSUP
OG0000007	LOC6613406|XP_032583270.1|DSEC	LOC119546692|XP_037709098.1|DSUP
OG0000007	LOC6608215|XP_032572281.1|DSEC	LOC119550735|XP_037715578.1|DSUP
OG0000007	LOC6613407|XP_032570241.1|DSEC	LOC119546891|XP_037709439.1|DSUP
OG0000007	LOC6604871|XP_002029716.1|DSEC	LOC119553820|XP_037720375.1|DSUP
OG0000007	LOC6604870|XP_002029715.1|DSEC	LOC119553445|XP_037719763.1|DSUP
OG0000007	LOC6613405|XP_032574637.1|DSEC	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP
OG0000007	LOC6610956|XP_002035513.1|DSEC	LOC119554496|XP_037721356.1|DSUP
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC119554295|XP_037721083.1|DSUP
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC119546547|XP_037708827.1|DSUP
OG0000008	LOC6610741|XP_002035307.2|DSEC	LOC119554296|XP_037721084.1|DSUP
OG0000008	LOC6612353|XP_002036862.1|DSEC	LOC119556861|XP_037725260.1|DSUP
OG0000008	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC	LOC119560392|XP_037729748.1|DSUP
OG0000008	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC	LOC119560393|XP_037729749.1|DSUP
OG0000008	LOC116801478|XP_032577234.1|DSEC	LOC119560395|XP_037729751.1|DSUP
OG0000008	LOC116801482|XP_032577264.1|DSEC	LOC119560394|XP_037729750.1|DSUP
OG0000008	LOC116801721|XP_032578777.1|DSEC	LOC119560107|XP_037729380.1|DSUP
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC	LOC119560146|XP_037729428.1|DSUP
OG0000009	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC	LOC119560480|XP_037729870.1|DSUP
OG0000009	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC	LOC119560408|XP_037729769.1|DSUP
OG0000009	LOC6619042|XP_032576485.1|DSEC	LOC119560481|XP_037729871.1|DSUP
OG0000009	LOC6618810|XP_002043059.1|DSEC	LOC119550480|XP_037715097.1|DSUP
OG0000009	LOC6606719|XP_002031518.1|DSEC	LOC119560195|XP_037729489.1|DSUP
OG0000009	LOC6608841|XP_002033555.1|DSEC	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP
OG0000009	LOC6608840|XP_002033554.1|DSEC	LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP
OG0000010	LOC6606375|XP_032579311.1|DSEC	LOC119548250|XP_037711321.1|DSUP, LOC119547947|XP_037710925.1|DSUP, LOC119559216|XP_037728214.1|DSUP
OG0000011	LOC6613215|XP_002037694.2|DSEC	LOC119548095|XP_037711111.1|DSUP, LOC119548094|XP_037711110.1|DSUP, LOC119548461|XP_037711657.1|DSUP, LOC119548363|XP_037711507.1|DSUP
OG0000011	LOC6613214|XP_002037693.2|DSEC	LOC119548364|XP_037711508.1|DSUP
OG0000011	LOC6613356|XP_002037830.1|DSEC	LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP
OG0000011	LOC6616450|XP_032574488.1|DSEC	LOC119555066|XP_037722201.1|DSUP
OG0000011	LOC6614408|XP_032583172.1|DSEC	LOC119546050|XP_037708041.1|DSUP
OG0000011	LOC6614413|XP_032577346.1|DSEC	LOC119547347|XP_037710088.1|DSUP
OG0000011	LOC6618632|XP_032581615.1|DSEC, LOC6618634|XP_002042893.2|DSEC	LOC119556682|XP_037724981.1|DSUP
OG0000011	LOC6605626|XP_002030444.2|DSEC	LOC119554627|XP_037721551.1|DSUP
OG0000011	LOC6605627|XP_002030445.2|DSEC	LOC119554626|XP_037721550.1|DSUP
OG0000011	LOC6607077|XP_002031865.1|DSEC	LOC119554762|XP_037721730.1|DSUP
OG0000012	LOC6609925|XP_002034575.2|DSEC	LOC119550822|XP_037715693.1|DSUP
OG0000012	LOC6609924|XP_002034574.2|DSEC	LOC119550821|XP_037715691.1|DSUP
