Orthogroup	DSEC.longest_only	AALB.longest_only
OG0000001	LOC116801168|XP_032575066.1|DSEC	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB
OG0000002	LOC6619439|XP_032575015.1|DSEC	LOC118458183|XP_035776304.1|AALB
OG0000002	LOC6613615|XP_032570344.1|DSEC	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC6610741|XP_002035307.2|DSEC	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC, LOC6619043|XP_032582932.1|DSEC, LOC6619041|XP_032576486.1|DSEC, LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC, LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC, LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC, LOC6618810|XP_002043059.1|DSEC, LOC6606719|XP_002031518.1|DSEC, LOC6608841|XP_002033555.1|DSEC, LOC6608840|XP_002033554.1|DSEC	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC6606375|XP_032579311.1|DSEC	LOC118464056|XP_035786995.1|AALB, LOC118464060|XP_035787000.1|AALB, LOC118464059|XP_035786999.1|AALB, LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB
OG0000012	LOC6609925|XP_002034575.2|DSEC, LOC6609924|XP_002034574.2|DSEC, LOC6609923|XP_032571611.1|DSEC, LOC6609926|XP_002034576.1|DSEC, LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC, LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC, LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC6609116|XP_002033818.1|DSEC	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC6619913|XP_032582274.1|DSEC	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC6606301|XP_002031106.1|DSEC	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC6605619|XP_032575697.1|DSEC	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC6607674|XP_002032439.2|DSEC, LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC116802439|XP_032582809.1|DSEC, LOC116801620|XP_032578204.1|DSEC, LOC116802440|XP_032582810.1|DSEC, LOC116802438|XP_032582808.1|DSEC, LOC116800565|XP_032572118.1|DSEC, LOC116802202|XP_032581775.1|DSEC	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB
OG0000016	LOC6606525|XP_002031326.2|DSEC, LOC6615268|XP_002039673.2|DSEC	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC6606623|XP_002031424.1|DSEC	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC6612339|XP_002036849.1|DSEC	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC6616531|XP_002040890.1|DSEC	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC6610980|XP_002035537.1|DSEC	LOC118463128|XP_035785378.1|AALB
OG0000019	LOC6617118|XP_002041445.1|DSEC, LOC6617116|XP_002041443.2|DSEC, LOC6617117|XP_002041444.1|DSEC, LOC6617113|XP_002041440.2|DSEC, LOC6617114|XP_002041441.1|DSEC, LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB
OG0000020	LOC116801805|XP_032579403.1|DSEC, LOC6615344|XP_002039742.1|DSEC	LOC118461362|XP_035782490.1|AALB
