Orthogroup	DSEC.longest_only	AAEG.longest_only
OG0000002	LOC6613615|XP_032570344.1|DSEC	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG
OG0000007	LOC116800972|XP_032573823.1|DSEC, LOC6610954|XP_002035511.1|DSEC, LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC, LOC6613406|XP_032583270.1|DSEC, LOC6608215|XP_032572281.1|DSEC, LOC6612871|XP_002037363.1|DSEC, LOC6612775|XP_032579057.1|DSEC, LOC6613407|XP_032570241.1|DSEC, LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC, LOC6610955|XP_032575304.1|DSEC, LOC6610956|XP_002035513.1|DSEC	LOC5577572|XP_001663444.2|AAEG
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC110677732|XP_021704637.1|AAEG
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC5578716|XP_001664018.2|AAEG
OG0000008	LOC6610741|XP_002035307.2|DSEC	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC, LOC6619043|XP_032582932.1|DSEC, LOC6619041|XP_032576486.1|DSEC, LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC, LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC, LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC, LOC6618810|XP_002043059.1|DSEC, LOC6606719|XP_002031518.1|DSEC, LOC6608841|XP_002033555.1|DSEC, LOC6608840|XP_002033554.1|DSEC	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG
OG0000010	LOC6606375|XP_032579311.1|DSEC	LOC110679808|XP_021711232.1|AAEG, LOC5578785|XP_001657155.1|AAEG, LOC110679801|XP_021711224.1|AAEG, LOC110679806|XP_021711230.1|AAEG
OG0000012	LOC6609925|XP_002034575.2|DSEC, LOC6609924|XP_002034574.2|DSEC, LOC6609923|XP_032571611.1|DSEC, LOC6609926|XP_002034576.1|DSEC, LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC, LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC, LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG
OG0000013	LOC6609116|XP_002033818.1|DSEC	LOC110679353|XP_021709456.1|AAEG
OG0000013	LOC6619913|XP_032582274.1|DSEC	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG
OG0000013	LOC6606301|XP_002031106.1|DSEC	LOC110678734|XP_021707697.1|AAEG
OG0000013	LOC6605619|XP_032575697.1|DSEC	LOC110676139|XP_021698547.1|AAEG
OG0000013	LOC6606578|XP_002031379.1|DSEC	LOC110679299|XP_021709332.1|AAEG
OG0000013	LOC6607674|XP_002032439.2|DSEC, LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG
OG0000016	LOC6606525|XP_002031326.2|DSEC, LOC6615268|XP_002039673.2|DSEC	LOC5565155|XP_001649530.1|AAEG
