Orthogroup	DSEC.longest_only	DMEL.longest_only
OG0000000	LOC6605054|XP_032575159.1|DSEC	CG33700|NP_001027121.3|DMEL
OG0000000	LOC116800509|XP_032571804.1|DSEC	CG33752|NP_001027409.1|DMEL
OG0000000	LOC6611330|XP_002035877.1|DSEC	CG33679|NP_001027273.1|DMEL
OG0000000	LOC6606995|XP_002031784.1|DSEC	CG33784|NP_001027169.1|DMEL
OG0000000	LOC6608865|XP_002033579.1|DSEC	CG33775|NP_001027410.1|DMEL
OG0000000	LOC6605884|XP_032575999.1|DSEC	CG33687|NP_001027130.2|DMEL
OG0000000	LOC6605885|XP_032575997.1|DSEC	CG33690|NP_001368948.1|DMEL
OG0000000	LOC116800964|XP_032573791.1|DSEC	CG33688|NP_001027131.1|DMEL
OG0000000	LOC116801306|XP_032575998.1|DSEC	CG33689|NP_001027132.2|DMEL
OG0000000	LOC6618886|XP_002043134.2|DSEC	CG12849|NP_611969.2|DMEL
OG0000000	LOC6607083|XP_032579519.1|DSEC	CG33654|NP_001027165.1|DMEL
OG0000000	LOC6612938|XP_032579196.1|DSEC	CG33920|NP_001027214.1|DMEL
OG0000000	LOC6612936|XP_002037428.1|DSEC	CG33773|NP_001027213.1|DMEL
OG0000000	LOC6611813|XP_002036335.1|DSEC	CG33723|NP_001027235.1|DMEL
OG0000000	LOC6607813|XP_032578052.1|DSEC	CG33658|NP_001027209.1|DMEL
OG0000000	LOC6608931|XP_002033645.2|DSEC	CG33798|NP_001027414.1|DMEL
OG0000000	LOC6609340|XP_032572102.1|DSEC	CG33463|NP_995846.2|DMEL
OG0000000	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC	CG33764|NP_001027107.1|DMEL
OG0000000	LOC6616347|XP_002040707.1|DSEC	CG33912|NP_001027139.1|DMEL
OG0000000	LOC116800542|XP_032571951.1|DSEC	CG33632|NP_001036537.1|DMEL
OG0000000	LOC116803586|XP_032583371.1|DSEC	CG33922|NP_001027217.1|DMEL
OG0000000	LOC116801073|XP_032574487.1|DSEC	CG33777|NP_001027108.1|DMEL
OG0000000	LOC6612925|XP_002037417.1|DSEC	CG33483|NP_001189327.1|DMEL
OG0000000	LOC6611281|XP_032582965.1|DSEC	CG33648|NP_001027265.2|DMEL
OG0000000	LOC116801718|XP_032578762.1|DSEC	CG33721|NP_001036743.1|DMEL
OG0000000	LOC6614481|XP_002038914.1|DSEC	CG33928|NP_001027276.1|DMEL
OG0000000	LOC6609904|XP_032570140.1|DSEC	CG33454|NP_995887.1|DMEL
OG0000000	LOC6609905|XP_032572518.1|DSEC	CG33453|NP_995888.1|DMEL
OG0000000	LOC6618816|XP_002043065.1|DSEC	CG13590|NP_611919.1|DMEL
OG0000000	LOC6618815|XP_002043064.1|DSEC	CG13589|NP_611918.2|DMEL
OG0000000	LOC6612634|XP_002037138.2|DSEC	CG14518|NP_651653.2|DMEL
OG0000000	LOC6613854|XP_002038323.1|DSEC	CG33927|NP_001027147.1|DMEL
OG0000000	LOC6605446|XP_002030279.1|DSEC	CG33725|NP_001027125.1|DMEL
OG0000002	LOC6609498|XP_002034183.1|DSEC	CG5550|NP_001246376.1|DMEL
OG0000002	LOC6615482|XP_002039862.2|DSEC	CG30281|NP_726164.1|DMEL
OG0000002	LOC6615481|XP_002039861.2|DSEC	CG30280|NP_611641.6|DMEL
OG0000002	LOC6611325|XP_002035872.2|DSEC	CG31832|NP_723894.2|DMEL
OG0000002	LOC6619439|XP_032575015.1|DSEC	CG7668|NP_649170.1|DMEL
OG0000002	LOC6613615|XP_032570344.1|DSEC	CG9500|NP_609018.3|DMEL
OG0000003	LOC6609226|XP_032570279.1|DSEC	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC6609227|XP_002033918.2|DSEC	Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC6617182|XP_002041509.2|DSEC	Cyp6a18|NP_651563.1|DMEL
OG0000003	LOC6609229|XP_032570278.1|DSEC	Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC6607893|XP_002032647.1|DSEC	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC6609222|XP_002033913.1|DSEC	Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC6609221|XP_002033912.1|DSEC	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC6608196|XP_002032941.1|DSEC	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC6613508|XP_002037976.1|DSEC	Cyp6a16|NP_001285631.1|DMEL
OG0000007	LOC116800972|XP_032573823.1|DSEC	Jon65Aiv|NP_648012.1|DMEL
OG0000007	LOC6610954|XP_002035511.1|DSEC	Jon65Aiii|NP_648013.1|DMEL
OG0000007	LOC6610952|XP_032575303.1|DSEC	yip7|NP_523944.1|DMEL
OG0000007	LOC6610951|XP_002035508.1|DSEC	CG10477|NP_648010.1|DMEL
OG0000007	LOC6613406|XP_032583270.1|DSEC	Jon25Bii|NP_608882.1|DMEL
OG0000007	LOC6608215|XP_032572281.1|DSEC	Jon44E|NP_724699.1|DMEL
OG0000007	LOC6612871|XP_002037363.1|DSEC	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL
OG0000007	LOC6612775|XP_032579057.1|DSEC	Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL
OG0000007	LOC6613407|XP_032570241.1|DSEC	Jon25Bi|NP_001033873.1|DMEL
OG0000007	LOC6604871|XP_002029716.1|DSEC	Jon66Cii|NP_648217.1|DMEL
OG0000007	LOC6604870|XP_002029715.1|DSEC	Jon66Ci|NP_729372.1|DMEL
OG0000007	LOC6613405|XP_032574637.1|DSEC	Jon25Biii|NP_608881.1|DMEL
OG0000007	LOC6610955|XP_032575304.1|DSEC	Jon65Aii|NP_648014.1|DMEL
OG0000007	LOC6610956|XP_002035513.1|DSEC	Jon65Ai|NP_648015.1|DMEL
OG0000008	LOC6619063|XP_002043304.1|DSEC	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC6610740|XP_002035306.1|DSEC	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC6610743|XP_002035309.1|DSEC	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC6617678|XP_002041991.1|DSEC	Crys|NP_476906.1|DMEL
OG0000008	LOC6610741|XP_002035307.2|DSEC	Cpr64Ab|NP_647873.2|DMEL
OG0000008	LOC6612353|XP_002036862.1|DSEC	Cpr5C|NP_572266.1|DMEL
OG0000008	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL
OG0000008	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC	Ccp84Ad|NP_649680.1|DMEL
OG0000008	LOC116801478|XP_032577234.1|DSEC	Ccp84Af|NP_649678.1|DMEL
OG0000008	LOC6614149|XP_002038602.2|DSEC	Ccp84Ac|NP_649681.1|DMEL
OG0000008	LOC116801482|XP_032577264.1|DSEC	Ccp84Ae|NP_649679.1|DMEL
