Orthogroup	DSEC.longest_only	DSAN.longest_only
OG0000000	LOC6605054|XP_032575159.1|DSEC	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC6612593|XP_002037098.2|DSEC	LOC120454272|XP_039495370.1|DSAN
OG0000000	LOC116800509|XP_032571804.1|DSEC	LOC120444734|XP_039480595.1|DSAN
OG0000000	LOC6611330|XP_002035877.1|DSEC	LOC120458328|XP_039501883.1|DSAN
OG0000000	LOC6606995|XP_002031784.1|DSEC	LOC120454013|XP_039494937.1|DSAN
OG0000000	LOC6608865|XP_002033579.1|DSEC	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC6605884|XP_032575999.1|DSEC	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC6605885|XP_032575997.1|DSEC	LOC120447886|XP_039485431.1|DSAN
OG0000000	LOC116800964|XP_032573791.1|DSEC	LOC120447820|XP_039485331.1|DSAN
OG0000000	LOC116801306|XP_032575998.1|DSEC	LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC6607083|XP_032579519.1|DSEC	LOC120453403|XP_039494026.1|DSAN
OG0000000	LOC6612938|XP_032579196.1|DSEC	LOC120453829|XP_039494657.1|DSAN
OG0000000	LOC6612936|XP_002037428.1|DSEC	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC6611813|XP_002036335.1|DSEC	LOC120443793|XP_039479056.1|DSAN
OG0000000	LOC6607813|XP_032578052.1|DSEC	LOC120454315|XP_039495452.1|DSAN
OG0000000	LOC6608931|XP_002033645.2|DSEC	LOC120446300|XP_039483141.1|DSAN
OG0000000	LOC6609340|XP_032572102.1|DSEC	LOC120444898|XP_039480821.1|DSAN
OG0000000	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC	LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN
OG0000000	LOC116800542|XP_032571951.1|DSEC	LOC120458417|XP_039501988.1|DSAN
OG0000000	LOC116803586|XP_032583371.1|DSEC	LOC120458841|XP_039502600.1|DSAN
OG0000000	LOC116801073|XP_032574487.1|DSEC	LOC120447669|XP_039485129.1|DSAN
OG0000000	LOC6612926|XP_032578042.1|DSEC	LOC120454324|XP_039495461.1|DSAN
OG0000000	LOC6612925|XP_002037417.1|DSEC	LOC120453354|XP_039493961.1|DSAN
OG0000000	LOC116801718|XP_032578762.1|DSEC	LOC120453013|XP_039493463.1|DSAN
OG0000000	LOC6614481|XP_002038914.1|DSEC	LOC120444807|XP_039480688.1|DSAN
