Orthogroup	DSEC.longest_only	DSER.longest_only
OG0000000	LOC116801307|XP_032576000.1|DSEC	LOC110190761|XP_020817050.1|DSER
OG0000000	LOC6606995|XP_002031784.1|DSEC	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC6608865|XP_002033579.1|DSEC	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC6605884|XP_032575999.1|DSEC	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC6605885|XP_032575997.1|DSEC	LOC110190738|XP_020817019.1|DSER
OG0000000	LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC6613111|XP_032569894.1|DSEC	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER
OG0000000	LOC6612936|XP_002037428.1|DSEC	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	LOC6611813|XP_002036335.1|DSEC, LOC6607813|XP_032578052.1|DSEC	LOC110184021|XP_020808046.1|DSER
OG0000000	LOC116801073|XP_032574487.1|DSEC	LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER
OG0000000	LOC6612926|XP_032578042.1|DSEC	LOC110186290|XP_020811063.1|DSER
OG0000000	LOC6612925|XP_002037417.1|DSEC	LOC110186288|XP_020811061.1|DSER
OG0000000	LOC6611281|XP_032582965.1|DSEC	LOC110185901|XP_020810577.1|DSER
OG0000000	LOC116801718|XP_032578762.1|DSEC	LOC110187976|XP_020813156.1|DSER
OG0000000	LOC6614481|XP_002038914.1|DSEC	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC6613854|XP_002038323.1|DSEC	LOC110187957|XP_020813134.1|DSER
OG0000000	LOC6605446|XP_002030279.1|DSEC	LOC110185197|XP_020809581.1|DSER
OG0000002	LOC6609498|XP_002034183.1|DSEC	LOC110191937|XP_020818616.1|DSER
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC110177829|XP_020800431.1|DSER
