Orthogroup	DSEC.longest_only	SLEB.longest_only
OG0000000	LOC6605054|XP_032575159.1|DSEC	LOC115634489|XP_030388106.1|SLEB
OG0000000	LOC6612593|XP_002037098.2|DSEC, LOC116800509|XP_032571804.1|DSEC, LOC6611330|XP_002035877.1|DSEC, LOC6606995|XP_002031784.1|DSEC, LOC6608865|XP_002033579.1|DSEC	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC6605884|XP_032575999.1|DSEC, LOC6605885|XP_032575997.1|DSEC, LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC6607083|XP_032579519.1|DSEC	LOC115625399|XP_030376298.1|SLEB
OG0000000	LOC6609904|XP_032570140.1|DSEC, LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC115632651|XP_030385741.1|SLEB
OG0000001	LOC116801168|XP_032575066.1|DSEC	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	LOC6613615|XP_032570344.1|DSEC	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB
OG0000003	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC6617182|XP_002041509.2|DSEC, LOC6609229|XP_032570278.1|DSEC	LOC115620049|XP_030369030.1|SLEB
OG0000003	LOC6607893|XP_002032647.1|DSEC	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC6609223|XP_002033914.2|DSEC	LOC115634502|XP_030388126.1|SLEB
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC115619981|XP_030368881.1|SLEB
OG0000003	LOC6613508|XP_002037976.1|DSEC	LOC115628616|XP_030380660.1|SLEB
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC6610954|XP_002035511.1|DSEC, LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC6608215|XP_032572281.1|DSEC	LOC115633111|XP_030386356.1|SLEB
OG0000007	LOC6613407|XP_032570241.1|DSEC	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	LOC6610955|XP_032575304.1|DSEC, LOC6610956|XP_002035513.1|DSEC	LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC6610741|XP_002035307.2|DSEC	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB
OG0000008	LOC116801478|XP_032577234.1|DSEC	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC6614149|XP_002038602.2|DSEC	LOC115624340|XP_030374852.1|SLEB
OG0000008	LOC116801482|XP_032577264.1|DSEC	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC116801721|XP_032578777.1|DSEC	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC6608841|XP_002033555.1|DSEC	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC6606375|XP_032579311.1|DSEC	LOC115630368|XP_030382761.1|SLEB, LOC115630369|XP_030382762.1|SLEB, LOC115625114|XP_030375880.1|SLEB
OG0000012	LOC6609925|XP_002034575.2|DSEC	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC6609924|XP_002034574.2|DSEC	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC6609923|XP_032571611.1|DSEC	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC6609926|XP_002034576.1|DSEC	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC6609116|XP_002033818.1|DSEC	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC6619913|XP_032582274.1|DSEC	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC6606301|XP_002031106.1|DSEC	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC6605619|XP_032575697.1|DSEC	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC6606578|XP_002031379.1|DSEC	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC6607674|XP_002032439.2|DSEC	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	LOC6614679|XP_002039106.1|DSEC	LOC115626216|XP_030377371.1|SLEB
OG0000015	LOC6608675|XP_002033404.2|DSEC, LOC116801741|XP_032578887.1|DSEC	LOC115628471|XP_030380453.1|SLEB
OG0000016	LOC6606525|XP_002031326.2|DSEC	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC6615268|XP_002039673.2|DSEC	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC6606623|XP_002031424.1|DSEC	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC6609492|XP_032572820.1|DSEC	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC6612339|XP_002036849.1|DSEC	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC6619144|XP_002043384.1|DSEC	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC6606248|XP_002031056.2|DSEC	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC6616531|XP_002040890.1|DSEC	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC6620183|XP_002044394.1|DSEC	LOC115627671|XP_030379272.1|SLEB
OG0000017	LOC6608076|XP_002032824.1|DSEC	LOC115619974|XP_030368869.1|SLEB
OG0000017	LOC6619131|XP_002043371.1|DSEC	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC6615716|XP_032571357.1|DSEC	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC6619133|XP_002043373.1|DSEC	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC6617387|XP_032577559.1|DSEC	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC6610980|XP_002035537.1|DSEC	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC6610983|XP_002035540.1|DSEC	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC6621634|XP_002045742.2|DSEC	LOC115633162|XP_030386433.1|SLEB
OG0000019	LOC6617118|XP_002041445.1|DSEC	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC6617113|XP_002041440.2|DSEC	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC6617114|XP_002041441.1|DSEC	LOC115621699|XP_030371266.1|SLEB
OG0000019	LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC116801805|XP_032579403.1|DSEC	LOC115620461|XP_030369552.1|SLEB
OG0000020	LOC6615344|XP_002039742.1|DSEC	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC6619030|XP_032578205.1|DSEC	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC6606811|XP_002031608.2|DSEC	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC	LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC6613204|XP_002037684.1|DSEC	LOC115632536|XP_030385602.1|SLEB
OG0000021	LOC116803465|XP_032583061.1|DSEC	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB
OG0000021	LOC6615454|XP_002039834.1|DSEC	LOC115624982|XP_030375700.1|SLEB
OG0000021	LOC6609714|XP_002034371.1|DSEC	LOC115619935|XP_030372749.1|SLEB
OG0000021	LOC116803406|XP_032583029.1|DSEC	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB
OG0000021	LOC6617550|XP_032580648.1|DSEC	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC6607757|XP_002032520.1|DSEC	LOC115625208|XP_030376037.1|SLEB
OG0000021	LOC6606667|XP_002031467.1|DSEC	LOC115620616|XP_030369796.1|SLEB
OG0000021	LOC6620369|XP_002044577.1|DSEC	LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC6609401|XP_002034086.1|DSEC	LOC115634544|XP_030388214.1|SLEB
OG0000022	LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	LOC116801300|XP_032575946.1|DSEC	LOC115624802|XP_030375508.1|SLEB
OG0000023	LOC6614266|XP_002038706.1|DSEC	LOC115623320|XP_030373442.1|SLEB
OG0000023	LOC6614270|XP_002038710.2|DSEC	LOC115623826|XP_030374229.1|SLEB
OG0000023	LOC6614272|XP_002038712.1|DSEC	LOC115623325|XP_030373446.1|SLEB
OG0000023	LOC6614271|XP_032578446.1|DSEC	LOC115623824|XP_030374228.1|SLEB
OG0000023	LOC6614265|XP_002038705.1|DSEC	LOC115623322|XP_030373444.1|SLEB
OG0000023	LOC6614261|XP_032579066.1|DSEC	LOC115623324|XP_030373445.1|SLEB
OG0000023	LOC6614263|XP_002038703.1|DSEC	LOC115623321|XP_030373443.1|SLEB
OG0000023	LOC6614259|XP_032579064.1|DSEC	LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC116800706|XP_032573066.1|DSEC, LOC6608650|XP_002033384.1|DSEC	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB
OG0000024	LOC6618118|XP_002042417.2|DSEC, LOC6608649|XP_032571742.1|DSEC	LOC115626230|XP_030377390.1|SLEB
OG0000024	LOC6609002|XP_002033708.1|DSEC	LOC115633141|XP_030386412.1|SLEB
OG0000025	LOC6613440|XP_002037914.1|DSEC	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000026	LOC6617640|XP_002041953.1|DSEC	LOC115627188|XP_030378651.1|SLEB
OG0000026	LOC6613582|XP_002038050.1|DSEC	LOC115626629|XP_030377893.1|SLEB
OG0000026	LOC6619909|XP_002044121.1|DSEC, LOC6614041|XP_002038495.1|DSEC	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC6611562|XP_002036100.1|DSEC	LOC115632057|XP_030384894.1|SLEB
OG0000027	LOC6611565|XP_002036103.2|DSEC	LOC115632056|XP_030384892.1|SLEB
OG0000027	LOC6611563|XP_002036101.1|DSEC	LOC115631416|XP_030384002.1|SLEB
OG0000029	LOC6618299|XP_002042572.1|DSEC	LOC115634071|XP_030387478.1|SLEB
OG0000030	LOC6617677|XP_032583255.1|DSEC	LOC115631185|XP_030383736.1|SLEB
