Orthogroup	DSEC.longest_only	DFIC.longest_only
OG0000000	LOC6611330|XP_002035877.1|DSEC	LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC6606995|XP_002031784.1|DSEC	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC6605884|XP_032575999.1|DSEC	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC116800964|XP_032573791.1|DSEC	LOC108089296|XP_017042963.1|DFIC
OG0000000	LOC116801306|XP_032575998.1|DSEC	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC6613111|XP_032569894.1|DSEC	LOC108086784|XP_017039313.1|DFIC
OG0000000	LOC6611813|XP_002036335.1|DSEC, LOC6607813|XP_032578052.1|DSEC	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC
OG0000000	LOC6608931|XP_002033645.2|DSEC	LOC108100131|XP_017059373.1|DFIC
OG0000000	LOC6609340|XP_032572102.1|DSEC	LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC
OG0000000	LOC6612926|XP_032578042.1|DSEC, LOC6612925|XP_002037417.1|DSEC	LOC108086787|XP_017039316.1|DFIC
OG0000000	LOC116801718|XP_032578762.1|DSEC	LOC108099241|XP_017058101.1|DFIC
OG0000000	LOC6614481|XP_002038914.1|DSEC	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC6609905|XP_032572518.1|DSEC	LOC108095110|XP_017051537.1|DFIC
OG0000000	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC108097696|XP_017055657.1|DFIC
OG0000002	LOC6609498|XP_002034183.1|DSEC	LOC108090526|XP_017044733.1|DFIC
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC6615481|XP_002039861.2|DSEC	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC6610018|XP_032572286.1|DSEC	LOC108094815|XP_017051075.1|DFIC
OG0000003	LOC6609226|XP_032570279.1|DSEC	LOC108087667|XP_017040650.1|DFIC
OG0000003	LOC6609227|XP_002033918.2|DSEC	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC6609229|XP_032570278.1|DSEC	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC6607893|XP_002032647.1|DSEC	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC6609222|XP_002033913.1|DSEC	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC116800691|XP_032572969.1|DSEC	LOC108087749|XP_017040761.1|DFIC
OG0000003	LOC6609221|XP_002033912.1|DSEC	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC108090320|XP_017044421.1|DFIC
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC108090319|XP_017044419.1|DFIC
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC108093252|XP_017048717.1|DFIC
OG0000007	LOC6610954|XP_002035511.1|DSEC	LOC108093253|XP_017048718.1|DFIC
