Orthogroup	DSEC.longest_only	DSUZ.longest_only
OG0000000	LOC6605054|XP_032575159.1|DSEC	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ
OG0000000	LOC6611330|XP_002035877.1|DSEC	LOC108013696|XP_016935107.1|DSUZ
OG0000000	LOC6608865|XP_002033579.1|DSEC	LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC6605884|XP_032575999.1|DSEC	LOC118877230|XP_036670644.1|DSUZ
OG0000000	LOC6605885|XP_032575997.1|DSEC	LOC108007474|XP_036670349.1|DSUZ
OG0000000	LOC116800964|XP_032573791.1|DSEC	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ
OG0000000	LOC116801306|XP_032575998.1|DSEC	LOC108007475|XP_016926645.1|DSUZ
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC108008220|XP_016927499.2|DSUZ
OG0000000	LOC6607083|XP_032579519.1|DSEC	LOC108021133|XP_036668720.1|DSUZ
OG0000000	LOC6613111|XP_032569894.1|DSEC	LOC108014081|XP_036675273.1|DSUZ
OG0000000	LOC6612936|XP_002037428.1|DSEC	LOC108012145|XP_036675462.1|DSUZ
OG0000000	LOC6611813|XP_002036335.1|DSEC	LOC108016521|XP_036671132.1|DSUZ
OG0000000	LOC6609340|XP_032572102.1|DSEC	LOC108017700|XP_016940298.1|DSUZ
OG0000000	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC, LOC6616347|XP_002040707.1|DSEC, LOC116800542|XP_032571951.1|DSEC	LOC108020024|XP_036672415.1|DSUZ
OG0000000	LOC116803586|XP_032583371.1|DSEC	LOC108011960|XP_036678587.1|DSUZ
OG0000000	LOC6612926|XP_032578042.1|DSEC	LOC108012139|XP_036675579.1|DSUZ
OG0000000	LOC6612925|XP_002037417.1|DSEC	LOC108012154|XP_036675464.1|DSUZ
OG0000000	LOC6611281|XP_032582965.1|DSEC	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ
OG0000000	LOC6614481|XP_002038914.1|DSEC	LOC108013429|XP_016934786.2|DSUZ
OG0000000	LOC6609905|XP_032572518.1|DSEC	LOC108017737|XP_016940334.1|DSUZ
OG0000000	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC108020157|XP_036673587.1|DSUZ
OG0000000	LOC6613854|XP_002038323.1|DSEC	LOC118878061|XP_036675143.1|DSUZ
OG0000000	LOC6605446|XP_002030279.1|DSEC	LOC108021799|XP_036676928.1|DSUZ
OG0000002	LOC6609498|XP_002034183.1|DSEC	LOC108008721|XP_016928110.1|DSUZ
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC108009088|XP_016928634.1|DSUZ
OG0000002	LOC6615481|XP_002039861.2|DSEC	LOC108009087|XP_016928633.1|DSUZ
OG0000002	LOC6611325|XP_002035872.2|DSEC	LOC108011106|XP_016931667.2|DSUZ
OG0000002	LOC6619439|XP_032575015.1|DSEC	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ
OG0000003	LOC6609226|XP_032570279.1|DSEC	LOC108008945|XP_016928345.1|DSUZ
OG0000003	LOC6609227|XP_002033918.2|DSEC	LOC108008944|XP_016928343.1|DSUZ
OG0000003	LOC6617182|XP_002041509.2|DSEC	LOC118877697|XP_036673424.1|DSUZ
OG0000003	LOC6609229|XP_032570278.1|DSEC	LOC108008943|XP_016928342.1|DSUZ
OG0000003	LOC6607893|XP_002032647.1|DSEC	LOC108018006|XP_016940848.1|DSUZ
OG0000003	LOC6609222|XP_002033913.1|DSEC	LOC108008948|XP_016928348.1|DSUZ
OG0000003	LOC6609223|XP_002033914.2|DSEC	LOC108008947|XP_016928347.2|DSUZ
OG0000003	LOC116800691|XP_032572969.1|DSEC	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ
OG0000003	LOC6609221|XP_002033912.1|DSEC	LOC108008950|XP_016928350.1|DSUZ
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC108019593|XP_016942923.1|DSUZ
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC108019592|XP_016942921.1|DSUZ
OG0000003	LOC6613508|XP_002037976.1|DSEC	LOC108007096|XP_016926191.1|DSUZ
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC118877416|XP_036672028.1|DSUZ
OG0000007	LOC6610954|XP_002035511.1|DSEC	LOC108013025|XP_016934104.1|DSUZ
OG0000007	LOC6610952|XP_032575303.1|DSEC	LOC108013029|XP_016934109.1|DSUZ
OG0000007	LOC6610951|XP_002035508.1|DSEC	LOC108013028|XP_016934108.1|DSUZ
OG0000007	LOC6613406|XP_032583270.1|DSEC	LOC118879795|XP_036678702.1|DSUZ
OG0000007	LOC6608215|XP_032572281.1|DSEC	LOC108019834|XP_016943342.1|DSUZ
OG0000007	LOC6612871|XP_002037363.1|DSEC	LOC108017241|XP_036675632.1|DSUZ
OG0000007	LOC6613407|XP_032570241.1|DSEC	LOC118876800|XP_036668611.1|DSUZ
OG0000007	LOC6604871|XP_002029716.1|DSEC	LOC108012353|XP_016933194.1|DSUZ
OG0000007	LOC6604870|XP_002029715.1|DSEC	LOC108012354|XP_016933195.2|DSUZ
OG0000007	LOC6613405|XP_032574637.1|DSEC	LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ
OG0000007	LOC6610956|XP_002035513.1|DSEC	LOC108013030|XP_016934110.1|DSUZ
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC108014183|XP_016935707.1|DSUZ
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC108020044|XP_016943629.1|DSUZ
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC118877368|XP_036671791.1|DSUZ
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC108007042|XP_016926141.1|DSUZ
OG0000008	LOC6610741|XP_002035307.2|DSEC	LOC108020009|XP_016943583.1|DSUZ
OG0000008	LOC6612353|XP_002036862.1|DSEC	LOC108011129|XP_016931690.1|DSUZ
OG0000008	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC	LOC108014245|XP_016935771.2|DSUZ
OG0000008	LOC116801478|XP_032577234.1|DSEC	LOC108006378|XP_036675047.1|DSUZ
OG0000008	LOC6614149|XP_002038602.2|DSEC	LOC108014235|XP_016935760.2|DSUZ
OG0000008	LOC116801482|XP_032577264.1|DSEC	LOC108014237|XP_016935761.1|DSUZ
OG0000008	LOC116801721|XP_032578777.1|DSEC	LOC118878011|XP_036674950.1|DSUZ
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC	LOC108014185|XP_016935709.1|DSUZ
OG0000009	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC	LOC108014181|XP_016935705.2|DSUZ
OG0000009	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC	LOC108015574|XP_036672879.1|DSUZ
OG0000009	LOC6619042|XP_032576485.1|DSEC	LOC108014176|XP_016935699.1|DSUZ
OG0000009	LOC6610926|XP_032574591.1|DSEC	LOC108011415|XP_036670407.1|DSUZ
OG0000009	LOC6618810|XP_002043059.1|DSEC	LOC108008708|XP_016928093.1|DSUZ
OG0000009	LOC6606719|XP_002031518.1|DSEC	LOC108019245|XP_036673765.1|DSUZ
OG0000009	LOC6608841|XP_002033555.1|DSEC	LOC108008467|XP_016927811.1|DSUZ
OG0000009	LOC6608840|XP_002033554.1|DSEC	LOC108008503|XP_016927857.1|DSUZ
OG0000010	LOC6606375|XP_032579311.1|DSEC	LOC118877315|XP_036671409.1|DSUZ, LOC118877317|XP_036671430.1|DSUZ, LOC118879513|XP_036678270.1|DSUZ, LOC108006791|XP_016925829.1|DSUZ, LOC108016333|XP_036678042.1|DSUZ
OG0000011	LOC6613215|XP_002037694.2|DSEC	LOC108021665|XP_016945968.1|DSUZ, LOC108006696|XP_016925727.1|DSUZ, LOC108021664|XP_016945967.1|DSUZ, LOC108009075|XP_016928585.1|DSUZ
OG0000011	LOC6613214|XP_002037693.2|DSEC	LOC108010267|XP_016930620.1|DSUZ
OG0000011	LOC6613356|XP_002037830.1|DSEC	LOC108007943|XP_016927205.1|DSUZ
OG0000011	LOC6616450|XP_032574488.1|DSEC	LOC108011057|XP_016931608.2|DSUZ
OG0000011	LOC6614408|XP_032583172.1|DSEC	LOC108020156|XP_036668757.1|DSUZ
OG0000011	LOC6614413|XP_032577346.1|DSEC	LOC108014635|XP_016936289.1|DSUZ
OG0000011	LOC6618632|XP_032581615.1|DSEC, LOC6618634|XP_002042893.2|DSEC	LOC108005222|XP_016923902.1|DSUZ
OG0000011	LOC6605626|XP_002030444.2|DSEC	LOC108012408|XP_016933257.1|DSUZ
OG0000011	LOC6605627|XP_002030445.2|DSEC	LOC108012407|XP_016933256.1|DSUZ
OG0000011	LOC6607077|XP_002031865.1|DSEC	LOC118877899|XP_036674305.1|DSUZ
OG0000012	LOC6609925|XP_002034575.2|DSEC	LOC108010292|XP_016930652.1|DSUZ
OG0000012	LOC6609924|XP_002034574.2|DSEC	LOC108009919|XP_016930137.1|DSUZ
OG0000012	LOC6609923|XP_032571611.1|DSEC	LOC108009918|XP_016930133.2|DSUZ
OG0000012	LOC6609926|XP_002034576.1|DSEC	LOC108010305|XP_016930677.1|DSUZ
OG0000012	LOC6609929|XP_032571342.1|DSEC	LOC108008112|XP_016927391.1|DSUZ
OG0000012	LOC6609927|XP_002034577.1|DSEC	LOC108008893|XP_036669248.1|DSUZ
OG0000012	LOC6608817|XP_032571423.1|DSEC	LOC108008513|XP_016927870.1|DSUZ
OG0000012	LOC6608818|XP_032571424.1|DSEC	LOC108008168|XP_036669662.1|DSUZ
OG0000012	LOC6608819|XP_002033533.2|DSEC	LOC108009570|XP_016929524.1|DSUZ
OG0000012	LOC6608820|XP_032571616.1|DSEC	LOC108009572|XP_016929528.1|DSUZ
OG0000012	LOC6608821|XP_032571618.1|DSEC	LOC108009569|XP_016929521.1|DSUZ
