Orthogroup	DHYD.longest_only	DSAN.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC120454272|XP_039495370.1|DSAN, LOC120444734|XP_039480595.1|DSAN, LOC120458328|XP_039501883.1|DSAN
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN, LOC120454169|XP_039495171.1|DSAN
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC120453562|XP_039494248.1|DSAN, LOC120447885|XP_039485430.1|DSAN, LOC120447884|XP_039485429.1|DSAN
OG0000001	LOC111593537|XP_030080394.1|DHYD	LOC120449510|XP_039487947.1|DSAN
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC120446478|XP_039483414.1|DSAN
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC120444310|XP_039479789.1|DSAN
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC120448038|XP_039485719.1|DSAN
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
