Orthogroup	DHYD.longest_only	DMEL.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	CG33752|NP_001027409.1|DMEL, CG33679|NP_001027273.1|DMEL
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	CG33775|NP_001027410.1|DMEL
OG0000000	LOC111600475|XP_023172354.2|DHYD	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	CG12849|NP_611969.2|DMEL
OG0000000	LOC111593957|XP_023162816.2|DHYD	CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL, CG14518|NP_651653.2|DMEL
OG0000000	LOC111603644|XP_023177090.2|DHYD	CG33927|NP_001027147.1|DMEL, CG33796|NP_001027128.1|DMEL, CG33795|NP_001027129.2|DMEL
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	CG5550|NP_001246376.1|DMEL
OG0000002	LOC115483422|XP_030081192.1|DHYD	CG30281|NP_726164.1|DMEL
OG0000002	LOC111597015|XP_023167289.2|DHYD	CG30280|NP_611641.6|DMEL
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC115483813|XP_030082015.1|DHYD	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC111602383|XP_023175172.2|DHYD	Cyp6a16|NP_001285631.1|DMEL
OG0000005	LOC115483257|XP_030080462.1|DHYD	His2B_CG33880|NP_001027355.1|DMEL, His2B_CG33890|NP_001027330.1|DMEL, His2B_CG33874|NP_001027370.1|DMEL, His2B_CG33906|NP_001027291.1|DMEL, His2B_CG33910|NP_001027283.1|DMEL, His2B_CG33902|NP_001027300.1|DMEL, His2B_CG33870|NP_001027380.1|DMEL, His2B_CG33886|NP_001027340.1|DMEL, His2B_CG33888|NP_001027335.1|DMEL, His2B_CG33894|NP_001027320.1|DMEL, His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL, His2B_CG33908|NP_001027287.1|DMEL, His2B_CG33884|NP_001027345.1|DMEL, His2B_CG33876|NP_001027365.1|DMEL, His2B_CG33878|NP_001027360.1|DMEL, His2B_CG33898|NP_001027310.1|DMEL, His2B_CG17949|NP_724342.1|DMEL, His2B_CG33882|NP_001027350.1|DMEL, His2B_CG33904|NP_001027296.1|DMEL, His2B_CG33872|NP_001027375.1|DMEL, His2B_CG33896|NP_001027315.1|DMEL, His2B_CG33868|NP_001027385.1|DMEL
OG0000006	LOC115483274|XP_030080477.1|DHYD, LOC115483251|XP_030080456.1|DHYD	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC115483279|XP_030080482.1|DHYD	His2A_CG31618|NP_724343.1|DMEL
OG0000006	LOC115482868|XP_030078978.1|DHYD	His2A_CG33820|NP_001027311.1|DMEL
OG0000006	LOC115483281|XP_030080484.1|DHYD	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
