Orthogroup	DHYD.longest_only	DFIC.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC108096481|XP_017053581.1|DFIC, LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC108095110|XP_017051537.1|DFIC, LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC, LOC108097696|XP_017055657.1|DFIC
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC108089293|XP_017042959.1|DFIC, LOC108089294|XP_017042961.1|DFIC
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC108090526|XP_017044733.1|DFIC
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC111597303|XP_023167695.2|DHYD	LOC108094815|XP_017051075.1|DFIC
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC108092580|XP_017047713.1|DFIC, LOC108092286|XP_017047310.1|DFIC
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC111602546|XP_030082007.1|DHYD, LOC115483813|XP_030082015.1|DHYD	LOC108087605|XP_017040533.1|DFIC
OG0000005	LOC115482875|XP_030078985.1|DHYD, LOC115483299|XP_030080512.1|DHYD, LOC115483283|XP_030080486.1|DHYD, LOC115483228|XP_030080432.1|DHYD, LOC115483311|XP_030080548.1|DHYD, LOC115483223|XP_030080426.1|DHYD, LOC115483229|XP_030080433.1|DHYD, LOC115482878|XP_030078988.1|DHYD, LOC115483255|XP_030080460.1|DHYD, LOC115483234|XP_030080439.1|DHYD, LOC115482877|XP_030078987.1|DHYD, LOC115483258|XP_030080463.1|DHYD, LOC115482903|XP_030079010.1|DHYD, LOC115483257|XP_030080462.1|DHYD, LOC115483190|XP_030080235.1|DHYD, LOC115483284|XP_030080487.1|DHYD, LOC115482890|XP_030078999.1|DHYD, LOC115483259|XP_030080464.1|DHYD, LOC115483202|XP_030080291.1|DHYD, LOC115483285|XP_030080488.1|DHYD, LOC115482874|XP_030078984.1|DHYD	LOC108094052|XP_017049981.1|DFIC
OG0000005	LOC115483300|XP_030080513.1|DHYD	LOC108098264|XP_017056555.1|DFIC
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000007	LOC111601093|XP_023173297.2|DHYD	LOC108099856|XP_017058991.1|DFIC
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC108093252|XP_017048717.1|DFIC
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC108093241|XP_017048705.1|DFIC, LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC, LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC, LOC108093261|XP_017048727.1|DFIC
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC108090582|XP_017044820.1|DFIC
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC108089778|XP_017043661.1|DFIC
