Orthogroup	DHYD.longest_only	DNOV.longest_only
OG0000000	LOC111593965|XP_023162824.1|DHYD	LOC115762358|XP_030560387.1|DNOV, LOC115762357|XP_030560386.1|DNOV
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC111593961|XP_030080959.1|DHYD, LOC111593959|XP_023162818.2|DHYD	LOC115762364|XP_030560398.1|DNOV
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC115762366|XP_030560401.1|DNOV, LOC115762368|XP_030560403.1|DNOV, LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC115483355|XP_030080829.1|DHYD	LOC115764637|XP_030563666.1|DNOV
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC115762365|XP_030560399.1|DNOV
OG0000002	LOC111601236|XP_023173500.2|DHYD	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC111593705|XP_023162430.2|DHYD	LOC115766569|XP_030566411.1|DNOV
OG0000002	LOC111593796|XP_023162589.2|DHYD	LOC115766589|XP_030566435.1|DNOV, LOC115766551|XP_030566386.1|DNOV, LOC115766590|XP_030566436.1|DNOV
OG0000002	LOC111605420|XP_023179700.2|DHYD, LOC111592634|XP_023160745.2|DHYD, LOC111603993|XP_030079085.1|DHYD, LOC115482929|XP_030079105.1|DHYD, LOC111603858|XP_030079043.1|DHYD, LOC111600559|XP_030079098.1|DHYD, LOC111600451|XP_023172322.2|DHYD	LOC115763088|XP_030561386.1|DNOV
OG0000002	LOC111594107|XP_023163033.2|DHYD	LOC115766526|XP_030566353.1|DNOV
OG0000002	LOC111596089|XP_023165917.2|DHYD	LOC115759172|XP_030555905.1|DNOV
OG0000003	LOC111602573|XP_030082008.1|DHYD	LOC115762126|XP_030560095.1|DNOV
OG0000003	LOC111601269|XP_023173548.2|DHYD	LOC115763094|XP_030561396.1|DNOV
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC115758743|XP_030555359.1|DNOV
OG0000004	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV
OG0000005	LOC115483257|XP_030080462.1|DHYD	LOC115761952|XP_030559851.1|DNOV
OG0000005	LOC115483190|XP_030080235.1|DHYD	LOC115770819|XP_030572101.1|DNOV
OG0000005	LOC115482890|XP_030078999.1|DHYD	LOC115770899|XP_030572193.1|DNOV
OG0000005	LOC115483259|XP_030080464.1|DHYD	LOC115761847|XP_030559689.1|DNOV
OG0000005	LOC115483300|XP_030080513.1|DHYD	LOC115761855|XP_030559702.1|DNOV
OG0000006	LOC115483249|XP_030080454.1|DHYD	LOC115761994|XP_030559922.1|DNOV
OG0000006	LOC115483251|XP_030080456.1|DHYD	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC115761965|XP_030559867.1|DNOV, LOC115770895|XP_030572190.1|DNOV, LOC115770611|XP_030571807.1|DNOV, LOC115770813|XP_030572094.1|DNOV
OG0000007	LOC111601090|XP_023173285.1|DHYD	LOC115771065|XP_030572477.1|DNOV
OG0000007	LOC111601093|XP_023173297.2|DHYD	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC111596954|XP_023167178.2|DHYD	LOC115767682|XP_030567834.1|DNOV, LOC115767685|XP_030567839.1|DNOV, LOC115767680|XP_030567833.1|DNOV, LOC115767651|XP_030567798.1|DNOV, LOC115767650|XP_030567797.1|DNOV, LOC115767687|XP_030567841.1|DNOV
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD	LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV
OG0000007	LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
