Orthogroup	DHYD.longest_only	DEUG.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC108105829|XP_017068062.1|DEUG
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC108112762|XP_017078510.1|DEUG
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG, LOC108115960|XP_017083085.1|DEUG
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC108114927|XP_017081602.1|DEUG, LOC108114139|XP_017080411.1|DEUG, LOC108113893|XP_017080087.1|DEUG, LOC108114144|XP_017080415.1|DEUG, LOC108113890|XP_017080084.1|DEUG, LOC108113892|XP_017080086.1|DEUG
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC111597303|XP_023167695.2|DHYD	LOC108108874|XP_017072580.1|DEUG
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC108113287|XP_017079326.1|DEUG, LOC108110800|XP_017075517.1|DEUG
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC108106562|XP_017069219.1|DEUG
OG0000003	LOC111602546|XP_030082007.1|DHYD, LOC115483813|XP_030082015.1|DHYD	LOC108106224|XP_017068639.1|DEUG
OG0000004	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD	LOC108113823|XP_017080058.1|DEUG
OG0000006	LOC115482867|XP_030078977.1|DHYD, LOC115483224|XP_030080427.1|DHYD, LOC115482871|XP_030078981.1|DHYD, LOC115482870|XP_030078980.1|DHYD, LOC115483249|XP_030080454.1|DHYD, LOC115483274|XP_030080477.1|DHYD, LOC115483251|XP_030080456.1|DHYD, LOC115483279|XP_030080482.1|DHYD, LOC115483252|XP_030080457.1|DHYD	LOC108103399|XP_017064345.1|DEUG
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC108107881|XP_017071156.1|DEUG
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC108104447|XP_017065997.1|DEUG
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG
