Orthogroup	DHYD.longest_only	DSER.longest_only
OG0000000	LOC115483378|XP_030080958.1|DHYD	LOC110190761|XP_020817050.1|DSER
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER, LOC110177452|XP_020799845.1|DSER
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC110187957|XP_020813134.1|DSER, LOC110190734|XP_020817015.1|DSER, LOC110190733|XP_020817014.1|DSER, LOC110190479|XP_020816650.1|DSER
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC110191937|XP_020818616.1|DSER, LOC110179128|XP_020802182.1|DSER, LOC110178733|XP_020801621.1|DSER
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC110184909|XP_020809214.1|DSER, LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC110189782|XP_020815670.1|DSER
OG0000003	LOC111602573|XP_030082008.1|DHYD	LOC110177811|XP_020800360.1|DSER
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC110177690|XP_020800172.1|DSER
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER
OG0000004	LOC115483268|XP_030080473.1|DHYD, LOC115483296|XP_030080509.1|DHYD, LOC115483295|XP_030080508.1|DHYD	LOC110180669|XP_020804016.1|DSER, LOC110182130|XP_020805798.1|DSER, LOC110180696|XP_020804037.1|DSER, LOC110182417|XP_020806112.1|DSER, LOC110180695|XP_020804036.1|DSER, LOC110182139|XP_020805809.1|DSER, LOC110180676|XP_020804021.1|DSER, LOC110180666|XP_020804015.1|DSER, LOC110182416|XP_020806111.1|DSER, LOC110180677|XP_020804022.1|DSER, LOC110182131|XP_020805799.1|DSER, LOC110182138|XP_020805807.1|DSER, LOC110182428|XP_020806124.1|DSER
OG0000005	LOC115483257|XP_030080462.1|DHYD	LOC110182438|XP_020806132.1|DSER, LOC110182143|XP_020805813.1|DSER, LOC110180686|XP_020804030.1|DSER, LOC110182160|XP_020805822.1|DSER
OG0000005	LOC115483284|XP_030080487.1|DHYD	LOC110182156|XP_020805819.1|DSER
OG0000005	LOC115483202|XP_030080291.1|DHYD	LOC110180704|XP_020804042.1|DSER
OG0000005	LOC115483285|XP_030080488.1|DHYD	LOC110180687|XP_020804031.1|DSER
OG0000005	LOC115482874|XP_030078984.1|DHYD	LOC110182159|XP_020805821.1|DSER
OG0000006	LOC115483251|XP_030080456.1|DHYD	LOC110185948|XP_020810624.1|DSER
OG0000006	LOC115482868|XP_030078978.1|DHYD	LOC110182133|XP_020805802.1|DSER
OG0000006	LOC115482873|XP_030078983.1|DHYD	LOC110182418|XP_020806113.1|DSER
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC110182413|XP_020806109.1|DSER, LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC110182364|XP_020806065.1|DSER
