Orthogroup	DHYD.longest_only	DBIA.longest_only
OG0000000	LOC115483378|XP_030080958.1|DHYD	LOC108029860|XP_016957839.1|DBIA
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA, LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA, LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC108032904|XP_016962446.1|DBIA, LOC108034432|XP_016964806.1|DBIA, LOC108034431|XP_016964805.1|DBIA, LOC108034430|XP_016964804.1|DBIA
OG0000001	LOC111593537|XP_030080394.1|DHYD	LOC108036881|XP_016968745.1|DBIA
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC108027710|XP_016954748.1|DBIA, LOC108033431|XP_016963245.1|DBIA, LOC108027704|XP_016954743.1|DBIA, LOC108029019|XP_016956553.1|DBIA, LOC108029040|XP_016956580.1|DBIA
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC108030173|XP_016958402.1|DBIA
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC108034204|XP_016964524.1|DBIA
OG0000005	LOC115483257|XP_030080462.1|DHYD	LOC108021908|XP_016946219.1|DBIA
OG0000006	LOC115483251|XP_030080456.1|DHYD	LOC108021907|XP_016946218.1|DBIA
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC108029358|XP_016957069.1|DBIA
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC108034858|XP_016965498.1|DBIA
