Orthogroup	DHYD.longest_only	DANA.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA, LOC6496234|XP_001960509.1|DANA
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC6494335|XP_001960511.2|DANA
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA, LOC6499064|XP_032305682.1|DANA
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC6498897|XP_032305704.1|DANA
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC6494276|XP_032306810.1|DANA, LOC6502541|XP_001958679.1|DANA
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC6502577|XP_001960292.2|DANA
OG0000002	LOC111597303|XP_023167695.2|DHYD	LOC6494605|XP_001960022.3|DANA
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC116655418|XP_032309202.1|DANA
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC6496624|XP_001961285.3|DANA
OG0000003	LOC111602573|XP_030082008.1|DHYD	LOC6495153|XP_001958951.2|DANA
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC6495150|XP_014763173.1|DANA
OG0000005	LOC115483257|XP_030080462.1|DHYD	LOC6506069|XP_001967796.1|DANA
OG0000005	LOC115483284|XP_030080487.1|DHYD	LOC6505228|XP_032310874.1|DANA
OG0000005	LOC115482890|XP_030078999.1|DHYD	LOC6505206|XP_001964809.1|DANA
OG0000005	LOC115482874|XP_030078984.1|DHYD	LOC116655989|XP_032310875.1|DANA
OG0000006	LOC115483274|XP_030080477.1|DHYD, LOC115483251|XP_030080456.1|DHYD	LOC116656005|XP_032310965.1|DANA
OG0000006	LOC115483252|XP_030080457.1|DHYD	LOC26515522|XP_032311285.1|DANA
OG0000006	LOC115482873|XP_030078983.1|DHYD	LOC116655706|XP_032309462.1|DANA
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC6504195|XP_001967916.1|DANA, LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA
OG0000007	LOC111601093|XP_023173297.2|DHYD	LOC6506540|XP_001957688.2|DANA
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC6493534|XP_001957954.1|DANA
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA
