Orthogroup	DHYD.longest_only	DELE.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC108148460|XP_017130981.1|DELE, LOC108143366|XP_017123177.1|DELE, LOC108139044|XP_017117150.1|DELE
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC108143648|XP_017123649.1|DELE, LOC108144150|XP_017124283.1|DELE, LOC108144147|XP_017124279.1|DELE, LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE, LOC108147230|XP_017129111.1|DELE
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC108145639|XP_017126664.1|DELE, LOC108145640|XP_017126665.1|DELE
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC108144341|XP_017124554.1|DELE
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC108147831|XP_017130074.1|DELE, LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE, LOC108134735|XP_017110639.1|DELE
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC108145092|XP_017125773.1|DELE
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC108144820|XP_017125440.1|DELE
OG0000004	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE
OG0000007	LOC111601093|XP_023173297.2|DHYD	LOC108135575|XP_017111853.1|DELE
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC108142600|XP_017122060.1|DELE
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC108142601|XP_017122061.1|DELE, LOC108142394|XP_017121723.1|DELE
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC108138842|XP_017116842.1|DELE
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC108145869|XP_017126996.1|DELE
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	LOC108148323|XP_017130803.1|DELE
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC108148325|XP_017130805.1|DELE
OG0000008	LOC111600831|XP_023172902.2|DHYD	LOC108148321|XP_017130801.1|DELE
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC108148322|XP_017130802.1|DELE
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC108148324|XP_017130804.1|DELE
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC108137036|XP_017114024.1|DELE
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC108136709|XP_017113523.1|DELE
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC108144916|XP_017125568.1|DELE
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC108137992|XP_017115455.1|DELE
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC108137889|XP_017115317.1|DELE
OG0000010	LOC115483262|XP_030080467.1|DHYD	LOC108139189|XP_017117303.1|DELE
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC108139281|XP_017117466.1|DELE
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC108145523|XP_017126497.1|DELE
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC108145522|XP_017126496.1|DELE
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC108145538|XP_017126526.1|DELE
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC108145542|XP_017126531.1|DELE
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE, LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE, LOC108137877|XP_017115304.1|DELE, LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC108137950|XP_017115398.1|DELE, LOC108137951|XP_017115399.1|DELE
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC108149749|XP_017133029.1|DELE
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC108137631|XP_017114906.1|DELE
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC108134833|XP_017110785.1|DELE
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC108146660|XP_017128198.1|DELE
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC108135085|XP_017111146.1|DELE
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC108136687|XP_017113497.1|DELE
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE
OG0000015	LOC111592667|XP_023160798.2|DHYD	LOC108138780|XP_017116737.1|DELE
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC108139227|XP_017117379.1|DELE
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC108145428|XP_017126326.1|DELE
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC108135797|XP_017112156.1|DELE
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC108144651|XP_017125185.1|DELE
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC108140881|XP_017119405.1|DELE
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC108134657|XP_017110539.1|DELE
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC108140478|XP_017118708.1|DELE
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC108143220|XP_017123005.1|DELE
