Orthogroup	DHYD.longest_only	DSIM.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC27208741|XP_016036703.2|DSIM, LOC6734181|XP_016027194.1|DSIM, LOC6732391|XP_002079512.1|DSIM
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC6735227|XP_002082200.1|DSIM, LOC6735228|XP_002082201.1|DSIM, LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM, LOC6736070|XP_039148852.1|DSIM, LOC6729989|XP_002105283.1|DSIM
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC6726722|XP_002102133.3|DSIM, LOC6738252|XP_002085064.1|DSIM, LOC6738253|XP_039150090.1|DSIM
OG0000001	LOC111593537|XP_030080394.1|DHYD	LOC120284706|XP_039149044.1|DSIM
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC6734821|XP_002081824.1|DSIM
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC111597303|XP_023167695.2|DHYD	LOC6735327|XP_016028674.2|DSIM
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC111602573|XP_030082008.1|DHYD	LOC6734556|XP_016027664.2|DSIM
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC6734554|XP_039147555.1|DSIM
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC6731100|XP_002078257.3|DSIM
OG0000005	LOC115483257|XP_030080462.1|DHYD	LOC120285806|XP_039154356.1|DSIM, LOC120285548|XP_039154138.1|DSIM, LOC120285275|XP_039152669.1|DSIM, LOC120285808|XP_039154358.1|DSIM, LOC120285276|XP_039152679.1|DSIM, LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM, LOC120285271|XP_039152664.1|DSIM, LOC120285267|XP_039152656.1|DSIM, LOC120285804|XP_039154354.1|DSIM, LOC6740385|XP_002077244.1|DSIM, LOC120285805|XP_039154355.1|DSIM, LOC120285550|XP_039154140.1|DSIM, LOC120285279|XP_039152693.1|DSIM, LOC120285268|XP_039152661.1|DSIM, LOC120285547|XP_039154137.1|DSIM, LOC120285807|XP_039154357.1|DSIM
OG0000006	LOC115483251|XP_030080456.1|DHYD	LOC120285545|XP_039154135.1|DSIM
OG0000006	LOC115483266|XP_030080471.1|DHYD	LOC120285265|XP_039152650.1|DSIM
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM, LOC120285266|XP_039152652.1|DSIM
OG0000007	LOC111601093|XP_023173297.2|DHYD	LOC6738477|XP_016032322.1|DSIM
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC6736955|XP_002083802.1|DSIM
