Orthogroup	DHYD.longest_only	DALB.longest_only
OG0000000	LOC111593965|XP_023162824.1|DHYD	LOC117568019|XP_034104238.1|DALB, LOC117566662|XP_034102098.1|DALB
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC117566676|XP_034102114.1|DALB
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC117566669|XP_034102106.1|DALB, LOC117576780|XP_034117723.1|DALB
OG0000000	LOC115483355|XP_030080829.1|DHYD	LOC117574149|XP_034113717.1|DALB, LOC117574151|XP_034113720.1|DALB, LOC117574150|XP_034113719.1|DALB, LOC117574458|XP_034114187.1|DALB
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC117566658|XP_034102093.1|DALB, LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB, LOC117570300|XP_034107716.1|DALB
OG0000002	LOC111601236|XP_023173500.2|DHYD	LOC117570812|XP_034108562.1|DALB
OG0000002	LOC111601234|XP_023173498.1|DHYD	LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC111599235|XP_023170600.2|DHYD	LOC117572767|XP_034111746.1|DALB
OG0000002	LOC111605420|XP_023179700.2|DHYD, LOC111592634|XP_023160745.2|DHYD, LOC111603993|XP_030079085.1|DHYD, LOC115482929|XP_030079105.1|DHYD, LOC111603858|XP_030079043.1|DHYD, LOC111600559|XP_030079098.1|DHYD, LOC111600451|XP_023172322.2|DHYD, LOC111594787|XP_023164011.2|DHYD, LOC111602329|XP_030079126.1|DHYD, LOC111602302|XP_023175071.2|DHYD, LOC115483393|XP_030081030.1|DHYD, LOC111600330|XP_030081031.1|DHYD, LOC111600435|XP_023172296.1|DHYD, LOC111600423|XP_023172273.1|DHYD	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC111594107|XP_023163033.2|DHYD	LOC117571106|XP_034108978.1|DALB
OG0000002	LOC111596089|XP_023165917.2|DHYD	LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC111601269|XP_023173548.2|DHYD	LOC117572391|XP_034111057.1|DALB
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
OG0000005	LOC115483257|XP_030080462.1|DHYD	LOC117564294|XP_034098883.1|DALB, LOC117564290|XP_034098880.1|DALB, LOC117564295|XP_034098885.1|DALB, LOC117564270|XP_034098864.1|DALB
OG0000005	LOC115483285|XP_030080488.1|DHYD	LOC117566019|XP_034101338.1|DALB
OG0000006	LOC115483251|XP_030080456.1|DHYD	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000007	LOC111601090|XP_023173285.1|DHYD	LOC117570587|XP_034108222.1|DALB
OG0000007	LOC111601093|XP_023173297.2|DHYD	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC111596954|XP_023167178.2|DHYD	LOC117571197|XP_034109131.1|DALB
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD	LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB
OG0000007	LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC111600831|XP_023172902.2|DHYD	LOC117574113|XP_034113658.1|DALB
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC117565287|XP_034100206.1|DALB
OG0000009	LOC111592528|XP_023160554.2|DHYD	LOC117568811|XP_034105563.1|DALB
OG0000009	LOC111594331|XP_023163344.2|DHYD	LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB
OG0000009	LOC111602576|XP_023175499.2|DHYD	LOC117566724|XP_034102158.1|DALB
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC117572671|XP_034111579.1|DALB
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC115483262|XP_030080467.1|DHYD	LOC117564301|XP_034098889.1|DALB
OG0000010	LOC115483312|XP_030080549.1|DHYD	LOC117566095|XP_034101458.1|DALB
OG0000010	LOC115483288|XP_030080491.1|DHYD, LOC115483286|XP_030080489.1|DHYD, LOC115482881|XP_030078991.1|DHYD	LOC117564299|XP_034098888.1|DALB
OG0000011	LOC111596019|XP_023165812.2|DHYD	LOC117571839|XP_034110118.1|DALB
OG0000011	LOC111595276|XP_023164694.1|DHYD	LOC117575640|XP_034115810.1|DALB
OG0000011	LOC111605669|XP_023180101.2|DHYD	LOC117569027|XP_034105908.1|DALB
OG0000011	LOC111603319|XP_023176609.2|DHYD	LOC117570589|XP_034108223.1|DALB, LOC117572252|XP_034110830.1|DALB
OG0000011	LOC111599256|XP_023170624.2|DHYD	LOC117570898|XP_034108692.1|DALB
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC117568055|XP_034104297.1|DALB
