Orthogroup	DHYD.longest_only	DSEC.longest_only
OG0000000	LOC115483378|XP_030080958.1|DHYD	LOC116801307|XP_032576000.1|DSEC
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC6612593|XP_002037098.2|DSEC, LOC116800509|XP_032571804.1|DSEC, LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC6609904|XP_032570140.1|DSEC, LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC, LOC6612634|XP_002037138.2|DSEC
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC6613854|XP_002038323.1|DSEC
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC6609498|XP_002034183.1|DSEC
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC111597303|XP_023167695.2|DHYD	LOC6610018|XP_032572286.1|DSEC
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC6607893|XP_002032647.1|DSEC
OG0000003	LOC111602573|XP_030082008.1|DHYD	LOC6609223|XP_002033914.2|DSEC
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC6609221|XP_002033912.1|DSEC
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC6613508|XP_002037976.1|DSEC
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC116800972|XP_032573823.1|DSEC
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC6608215|XP_032572281.1|DSEC
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC6613407|XP_032570241.1|DSEC
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC6619063|XP_002043304.1|DSEC
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC6610740|XP_002035306.1|DSEC
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC6610743|XP_002035309.1|DSEC
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC6617678|XP_002041991.1|DSEC
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC116801478|XP_032577234.1|DSEC
OG0000008	LOC111600831|XP_023172902.2|DHYD	LOC6614149|XP_002038602.2|DSEC
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC116801482|XP_032577264.1|DSEC
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC116801721|XP_032578777.1|DSEC
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC6618810|XP_002043059.1|DSEC
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC6608841|XP_002033555.1|DSEC
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC6608840|XP_002033554.1|DSEC
OG0000010	LOC115483312|XP_030080549.1|DHYD, LOC115482905|XP_030079011.1|DHYD, LOC115483288|XP_030080491.1|DHYD, LOC115483286|XP_030080489.1|DHYD, LOC115482881|XP_030078991.1|DHYD, LOC115483289|XP_030080492.1|DHYD	LOC6606375|XP_032579311.1|DSEC
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC6607077|XP_002031865.1|DSEC
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC6609925|XP_002034575.2|DSEC
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC6609924|XP_002034574.2|DSEC
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC6609923|XP_032571611.1|DSEC
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC6609926|XP_002034576.1|DSEC
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC6609116|XP_002033818.1|DSEC
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC6619913|XP_032582274.1|DSEC
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC6606301|XP_002031106.1|DSEC
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC6605619|XP_032575697.1|DSEC
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC6606578|XP_002031379.1|DSEC
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC6607674|XP_002032439.2|DSEC
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC
OG0000015	LOC111592667|XP_023160798.2|DHYD	LOC6614679|XP_002039106.1|DSEC
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC6606525|XP_002031326.2|DSEC
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC6615268|XP_002039673.2|DSEC
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC6606623|XP_002031424.1|DSEC
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC6609492|XP_032572820.1|DSEC
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC6612339|XP_002036849.1|DSEC
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC6619144|XP_002043384.1|DSEC
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC6606248|XP_002031056.2|DSEC
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC6616531|XP_002040890.1|DSEC
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	LOC6619131|XP_002043371.1|DSEC
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD	LOC6618718|XP_002042977.1|DSEC
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC6615716|XP_032571357.1|DSEC
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC6619133|XP_002043373.1|DSEC
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC6617387|XP_032577559.1|DSEC
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC6610980|XP_002035537.1|DSEC
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC6610983|XP_002035540.1|DSEC
OG0000018	LOC111600497|XP_023172393.2|DHYD	LOC6621634|XP_002045742.2|DSEC
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD	LOC6617118|XP_002041445.1|DSEC
OG0000019	LOC111598920|XP_023170158.2|DHYD	LOC6617113|XP_002041440.2|DSEC
OG0000019	LOC111603248|XP_023176523.1|DHYD	LOC6617114|XP_002041441.1|DSEC
OG0000019	LOC111598923|XP_023170162.2|DHYD	LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC116801805|XP_032579403.1|DSEC
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC6615344|XP_002039742.1|DSEC
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC6619030|XP_032578205.1|DSEC
OG0000020	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	LOC6606811|XP_002031608.2|DSEC
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC
OG0000021	LOC111601219|XP_023173482.1|DHYD	LOC6613204|XP_002037684.1|DSEC
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC6615454|XP_002039834.1|DSEC
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC6615468|XP_002039848.1|DSEC
OG0000021	LOC111600652|XP_023172641.1|DHYD	LOC6609714|XP_002034371.1|DSEC
OG0000021	LOC111601220|XP_023173483.1|DHYD	LOC116803406|XP_032583029.1|DSEC
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC6617550|XP_032580648.1|DSEC
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC6607757|XP_002032520.1|DSEC
OG0000021	LOC111601414|XP_023173744.1|DHYD	LOC6606667|XP_002031467.1|DSEC
OG0000021	LOC111604024|XP_023177648.1|DHYD	LOC6620369|XP_002044577.1|DSEC
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC6609401|XP_002034086.1|DSEC
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC6614270|XP_002038710.2|DSEC
OG0000023	LOC111602748|XP_023175768.2|DHYD	LOC6614272|XP_002038712.1|DSEC
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC6615538|XP_002039917.1|DSEC
OG0000023	LOC111602765|XP_023175792.2|DHYD	LOC6614271|XP_032578446.1|DSEC
OG0000023	LOC111602764|XP_023175791.1|DHYD	LOC6614265|XP_002038705.1|DSEC
OG0000023	LOC111602801|XP_023175861.1|DHYD	LOC6614261|XP_032579066.1|DSEC
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC6614263|XP_002038703.1|DSEC
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC6614259|XP_032579064.1|DSEC
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD	LOC116800706|XP_032573066.1|DSEC, LOC6608650|XP_002033384.1|DSEC
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC6608651|XP_032573063.1|DSEC
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC6618118|XP_002042417.2|DSEC
OG0000024	LOC111592145|XP_023159959.2|DHYD	LOC6608649|XP_032571742.1|DSEC
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC6609002|XP_002033708.1|DSEC
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC6613440|XP_002037914.1|DSEC
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC6617640|XP_002041953.1|DSEC
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC6613582|XP_002038050.1|DSEC
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC6620024|XP_002044237.2|DSEC
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC6611562|XP_002036100.1|DSEC
