Orthogroup	DHYD.longest_only	DBUS.longest_only
OG0000000	LOC111593965|XP_023162824.1|DHYD	LOC117134726|XP_033149242.1|DBUS
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC108604182|XP_017849014.1|DBUS, LOC108601273|XP_017844662.1|DBUS
OG0000000	LOC115483355|XP_030080829.1|DHYD	LOC108594727|XP_017835355.1|DBUS
OG0000002	LOC111601236|XP_023173500.2|DHYD	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS
OG0000002	LOC111601234|XP_023173498.1|DHYD	LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC111603957|XP_023177560.2|DHYD, LOC111593705|XP_023162430.2|DHYD, LOC111593796|XP_023162589.2|DHYD	LOC108594750|XP_017835378.1|DBUS
OG0000002	LOC111599235|XP_023170600.2|DHYD	LOC108598887|XP_017841137.1|DBUS
OG0000002	LOC111605420|XP_023179700.2|DHYD, LOC111592634|XP_023160745.2|DHYD, LOC111603993|XP_030079085.1|DHYD, LOC115482929|XP_030079105.1|DHYD, LOC111603858|XP_030079043.1|DHYD, LOC111600559|XP_030079098.1|DHYD, LOC111600451|XP_023172322.2|DHYD, LOC111594787|XP_023164011.2|DHYD, LOC111602329|XP_030079126.1|DHYD, LOC111602302|XP_023175071.2|DHYD, LOC115483393|XP_030081030.1|DHYD, LOC111600330|XP_030081031.1|DHYD, LOC111600435|XP_023172296.1|DHYD	LOC108601753|XP_017845169.2|DBUS
OG0000002	LOC111600423|XP_023172273.1|DHYD	LOC108595831|XP_017836611.1|DBUS
OG0000002	LOC111594107|XP_023163033.2|DHYD	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC111602573|XP_030082008.1|DHYD	LOC108595075|XP_017835712.2|DBUS
OG0000003	LOC111602546|XP_030082007.1|DHYD, LOC115483813|XP_030082015.1|DHYD	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC111601269|XP_023173548.2|DHYD	LOC108595008|XP_017835631.1|DBUS
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC108608148|XP_017854884.1|DBUS
