Orthogroup	DHYD.longest_only	DSUZ.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC108019552|XP_036669814.1|DSUZ, LOC108013696|XP_016935107.1|DSUZ
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC108008220|XP_016927499.2|DSUZ
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC118877061|XP_036669823.1|DSUZ, LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ, LOC108020157|XP_036673587.1|DSUZ
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC118878061|XP_036675143.1|DSUZ, LOC108007479|XP_036670397.1|DSUZ, LOC118877197|XP_036670391.1|DSUZ, LOC108007478|XP_016926649.1|DSUZ, LOC108007497|XP_016926669.2|DSUZ, LOC108007477|XP_016926648.2|DSUZ
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC108008721|XP_016928110.1|DSUZ
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC108009088|XP_016928634.1|DSUZ
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC108009087|XP_016928633.1|DSUZ
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC108009013|XP_016928477.1|DSUZ, LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ, LOC118876801|XP_036668620.1|DSUZ, LOC108021294|XP_016945474.2|DSUZ
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC108018006|XP_016940848.1|DSUZ
OG0000003	LOC111602573|XP_030082008.1|DHYD	LOC108008947|XP_016928347.2|DSUZ
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC108008950|XP_016928350.1|DSUZ
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC108007096|XP_016926191.1|DSUZ
OG0000005	LOC115483257|XP_030080462.1|DHYD	LOC118879271|XP_036678048.1|DSUZ, LOC118879262|XP_036678038.1|DSUZ, LOC118879260|XP_036678036.1|DSUZ, LOC118879641|XP_036678429.1|DSUZ, LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ, LOC118879258|XP_036678034.1|DSUZ, LOC108016328|XP_036678434.1|DSUZ, LOC118879259|XP_036678035.1|DSUZ, LOC118879512|XP_036678269.1|DSUZ, LOC118877313|XP_036671386.1|DSUZ, LOC118879647|XP_036678435.1|DSUZ, LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ
OG0000006	LOC115483251|XP_030080456.1|DHYD	LOC118879646|XP_036678433.1|DSUZ
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC118879645|XP_036678432.1|DSUZ, LOC118877312|XP_036671383.1|DSUZ
OG0000007	LOC111601093|XP_023173297.2|DHYD	LOC108004804|XP_016923359.1|DSUZ
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC118877416|XP_036672028.1|DSUZ
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC108013029|XP_016934109.1|DSUZ, LOC108012496|XP_016933394.1|DSUZ, LOC108012427|XP_016933279.1|DSUZ, LOC108012288|XP_016933078.2|DSUZ, LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC108019834|XP_016943342.1|DSUZ
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC118876800|XP_036668611.1|DSUZ
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC108014183|XP_016935707.1|DSUZ
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC108020044|XP_016943629.1|DSUZ
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC118877368|XP_036671791.1|DSUZ
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC108007042|XP_016926141.1|DSUZ
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	LOC108014245|XP_016935771.2|DSUZ
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC108006378|XP_036675047.1|DSUZ
OG0000008	LOC111600831|XP_023172902.2|DHYD	LOC108014235|XP_016935760.2|DSUZ
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC108014237|XP_016935761.1|DSUZ
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC118878011|XP_036674950.1|DSUZ
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC108014185|XP_016935709.1|DSUZ
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC108014181|XP_016935705.2|DSUZ
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC108011415|XP_036670407.1|DSUZ
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC108008708|XP_016928093.1|DSUZ
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC108008467|XP_016927811.1|DSUZ
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC108008503|XP_016927857.1|DSUZ
OG0000010	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD	LOC118879264|XP_036678040.1|DSUZ
OG0000010	LOC115483262|XP_030080467.1|DHYD	LOC108014626|XP_016936278.1|DSUZ
OG0000010	LOC115482881|XP_030078991.1|DHYD	LOC118877317|XP_036671430.1|DSUZ
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC118877899|XP_036674305.1|DSUZ
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC108010292|XP_016930652.1|DSUZ
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC108009919|XP_016930137.1|DSUZ
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC108009918|XP_016930133.2|DSUZ
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC108010305|XP_016930677.1|DSUZ
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ, LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC108009479|XP_016929350.1|DSUZ
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC108005296|XP_016923987.1|DSUZ
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC108004911|XP_016923486.2|DSUZ
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC108012921|XP_016933934.1|DSUZ
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC108018484|XP_016941530.2|DSUZ
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC108015759|XP_036673283.1|DSUZ
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC108007391|XP_016926534.2|DSUZ
OG0000015	LOC111592667|XP_023160798.2|DHYD	LOC108016959|XP_016939387.2|DSUZ
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC108009286|XP_016929004.1|DSUZ
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC108008079|XP_016927358.2|DSUZ
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC108009982|XP_016930246.1|DSUZ
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC108011133|XP_016931695.1|DSUZ
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC108010965|XP_016931470.1|DSUZ
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC108006430|XP_016925443.1|DSUZ
