Orthogroup	DHYD.longest_only	DVIR.longest_only
OG0000000	LOC111593965|XP_023162824.1|DHYD	LOC6636425|XP_032292006.1|DVIR
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC6625560|XP_032292064.1|DVIR, LOC6625461|XP_032292063.1|DVIR, LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC115483355|XP_030080829.1|DHYD	LOC6630220|XP_002054794.2|DVIR
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC111593537|XP_030080394.1|DHYD	LOC116650083|XP_032289319.1|DVIR
OG0000002	LOC111601236|XP_023173500.2|DHYD	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC111593705|XP_023162430.2|DHYD	LOC6625606|XP_002049101.2|DVIR
OG0000002	LOC111593796|XP_023162589.2|DHYD	LOC26531234|XP_015030301.1|DVIR, LOC26531370|XP_015030317.1|DVIR, LOC26530966|XP_015030266.1|DVIR, LOC26531544|XP_015030345.1|DVIR, LOC116651265|XP_032293187.1|DVIR
OG0000002	LOC111605420|XP_023179700.2|DHYD, LOC111592634|XP_023160745.2|DHYD, LOC111603993|XP_030079085.1|DHYD, LOC115482929|XP_030079105.1|DHYD, LOC111603858|XP_030079043.1|DHYD, LOC111600559|XP_030079098.1|DHYD, LOC111600451|XP_023172322.2|DHYD	LOC26531429|XP_015025398.1|DVIR
OG0000002	LOC111594787|XP_023164011.2|DHYD	LOC116649881|XP_032289027.1|DVIR
OG0000002	LOC111602329|XP_030079126.1|DHYD, LOC111602302|XP_023175071.2|DHYD, LOC115483393|XP_030081030.1|DHYD, LOC111600330|XP_030081031.1|DHYD, LOC111600435|XP_023172296.1|DHYD	LOC6634067|XP_002057869.2|DVIR
OG0000002	LOC111594107|XP_023163033.2|DHYD	LOC6626597|XP_002049033.2|DVIR
OG0000003	LOC111602573|XP_030082008.1|DHYD	LOC6625082|XP_002050483.2|DVIR
OG0000003	LOC111602546|XP_030082007.1|DHYD	LOC6625465|XP_032292893.1|DVIR
OG0000003	LOC111601269|XP_023173548.2|DHYD	LOC6624735|XP_002049738.1|DVIR
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC6627946|XP_002051419.1|DVIR
