Orthogroup	DHYD.longest_only	DSUB.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB, LOC117897324|XP_034661985.1|DSUB
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC117900215|XP_034666390.1|DSUB
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC117900241|XP_034666421.1|DSUB
OG0000005	LOC115482879|XP_030078989.1|DHYD, LOC115482876|XP_030078986.1|DHYD, LOC115483256|XP_030080461.1|DHYD, LOC115482875|XP_030078985.1|DHYD, LOC115483299|XP_030080512.1|DHYD, LOC115483283|XP_030080486.1|DHYD, LOC115483228|XP_030080432.1|DHYD, LOC115483311|XP_030080548.1|DHYD, LOC115483223|XP_030080426.1|DHYD, LOC115483229|XP_030080433.1|DHYD, LOC115482878|XP_030078988.1|DHYD, LOC115483255|XP_030080460.1|DHYD, LOC115483234|XP_030080439.1|DHYD, LOC115482877|XP_030078987.1|DHYD, LOC115483258|XP_030080463.1|DHYD, LOC115482903|XP_030079010.1|DHYD, LOC115483257|XP_030080462.1|DHYD, LOC115483190|XP_030080235.1|DHYD, LOC115483284|XP_030080487.1|DHYD, LOC115482890|XP_030078999.1|DHYD, LOC115483259|XP_030080464.1|DHYD, LOC115483202|XP_030080291.1|DHYD, LOC115483285|XP_030080488.1|DHYD, LOC115482874|XP_030078984.1|DHYD, LOC115483300|XP_030080513.1|DHYD	LOC117901442|XP_034668076.1|DSUB
OG0000006	LOC115483274|XP_030080477.1|DHYD, LOC115483251|XP_030080456.1|DHYD	LOC117901441|XP_034668075.1|DSUB
OG0000007	LOC111601093|XP_023173297.2|DHYD	LOC117894702|XP_034657776.1|DSUB
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC117890133|XP_034650711.1|DSUB
