Orthogroup	DHYD.longest_only	CPIP.longest_only
OG0000001	LOC111593537|XP_030080394.1|DHYD	LOC120431875|XP_039452940.1|CPIP
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP
OG0000007	LOC111601090|XP_023173285.1|DHYD, LOC111601093|XP_023173297.2|DHYD, LOC111592429|XP_023160382.1|DHYD, LOC111592441|XP_023160393.1|DHYD, LOC111596952|XP_023167177.2|DHYD, LOC111596951|XP_023167176.2|DHYD, LOC111596954|XP_023167178.2|DHYD, LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC120421619|XP_039440783.1|CPIP
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC120421726|XP_039440908.1|CPIP
OG0000009	LOC111604985|XP_023179049.1|DHYD, LOC111604987|XP_023179051.2|DHYD, LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD, LOC111603540|XP_030079215.1|DHYD, LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD, LOC111593562|XP_023162191.2|DHYD, LOC111593549|XP_023162171.2|DHYD, LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP, LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP, LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP, LOC120413353|XP_039430071.1|CPIP, LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP
OG0000010	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD	LOC120430236|XP_039451249.1|CPIP
OG0000010	LOC115482883|XP_030078993.1|DHYD	LOC120425524|XP_039446013.1|CPIP
OG0000010	LOC115482891|XP_030079000.1|DHYD, LOC115483272|XP_030080475.1|DHYD, LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD	LOC120422947|XP_039442463.1|CPIP
OG0000010	LOC115482884|XP_030078994.1|DHYD, LOC115483312|XP_030080549.1|DHYD, LOC115482905|XP_030079011.1|DHYD, LOC115483288|XP_030080491.1|DHYD, LOC115483286|XP_030080489.1|DHYD, LOC115482881|XP_030078991.1|DHYD, LOC115483289|XP_030080492.1|DHYD	LOC120415441|XP_039432923.1|CPIP
OG0000012	LOC111603849|XP_023177406.2|DHYD, LOC111603850|XP_023177409.2|DHYD, LOC111603802|XP_023177320.1|DHYD, LOC111603848|XP_023177404.2|DHYD, LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD, LOC111597898|XP_023168600.2|DHYD, LOC111597903|XP_023168607.2|DHYD	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC120421446|XP_039440586.1|CPIP
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC120414719|XP_039431959.1|CPIP
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC120419254|XP_039437842.1|CPIP
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC120420165|XP_039439065.1|CPIP
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD, LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP
OG0000016	LOC111605496|XP_023179814.1|DHYD, LOC111602093|XP_023174795.1|DHYD	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC120432396|XP_039453527.1|CPIP
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC120421049|XP_039440125.1|CPIP
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC120418854|XP_039437316.1|CPIP
