Orthogroup	DHYD.longest_only	DMAU.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC117145695|XP_033167327.1|DMAU, LOC117138434|XP_033156436.1|DMAU, LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU, LOC117138584|XP_033156654.1|DMAU, LOC117138016|XP_033155711.1|DMAU, LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC117145160|XP_033166598.1|DMAU, LOC117140539|XP_033159419.1|DMAU, LOC117140538|XP_033159418.1|DMAU
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC111597303|XP_023167695.2|DHYD	LOC117136987|XP_033154052.1|DMAU
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC111602573|XP_030082008.1|DHYD	LOC117138513|XP_033156538.1|DMAU
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC111601093|XP_023173297.2|DHYD	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC117140666|XP_033159604.1|DMAU, LOC117139205|XP_033157267.1|DMAU, LOC117140665|XP_033159603.1|DMAU
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	LOC117144387|XP_033165412.1|DMAU
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC117145423|XP_033166959.1|DMAU
