Orthogroup	DALB.longest_only	DERE.longest_only
OG0000000	LOC117572321|XP_034110946.1|DALB	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB	LOC6544812|XP_001973191.2|DERE
OG0000000	LOC117566676|XP_034102114.1|DALB	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC117567230|XP_034102951.1|DALB	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE, LOC6554922|XP_001981127.2|DERE, LOC6554923|XP_001981128.1|DERE, LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE, LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE, LOC6541136|XP_001969303.1|DERE, LOC6554482|XP_001981927.3|DERE, LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE, LOC6548870|XP_001975456.3|DERE, LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE, LOC6542210|XP_026835022.1|DERE, LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE, LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE, LOC6544187|XP_026833238.1|DERE, LOC26526690|XP_015009401.1|DERE, LOC6549399|XP_001974447.1|DERE
OG0000000	LOC117576780|XP_034117723.1|DALB	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE
OG0000000	LOC117566658|XP_034102093.1|DALB	LOC6551915|XP_001978850.1|DERE
OG0000000	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE
OG0000002	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB	LOC6548491|XP_001975304.1|DERE
OG0000002	LOC117571538|XP_034109620.1|DALB	LOC6548172|XP_001975155.3|DERE
OG0000002	LOC117571537|XP_034109617.1|DALB	LOC6548171|XP_001975154.2|DERE
