Orthogroup	DALB.longest_only	AEAL.longest_only
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC115267447|XP_029730304.1|AEAL, LOC109408162|XP_019536944.2|AEAL, LOC109411104|XP_019540095.2|AEAL, LOC115260605|XP_029717480.1|AEAL, LOC109423035|XP_029717489.1|AEAL, LOC109400931|XP_019528968.1|AEAL, LOC109400921|XP_019553236.2|AEAL, LOC115260619|XP_029717519.1|AEAL, LOC115260618|XP_029717518.1|AEAL, LOC109400889|XP_029717517.1|AEAL, LOC115260641|XP_029717583.1|AEAL, LOC109400932|XP_019528970.2|AEAL, LOC115260609|XP_029717488.1|AEAL, LOC109422815|XP_019553244.2|AEAL, LOC109413005|XP_019542224.2|AEAL, LOC109430155|XP_019561733.2|AEAL, LOC109413124|XP_019542389.2|AEAL, LOC109424669|XP_019555383.2|AEAL, LOC115262564|XP_029720824.1|AEAL, LOC109424713|XP_029721106.1|AEAL, LOC109421668|XP_029732765.1|AEAL, LOC109427771|XP_019558940.2|AEAL, LOC109421763|XP_019551842.2|AEAL, LOC109425501|XP_019556332.2|AEAL, LOC109421764|XP_019551843.2|AEAL, LOC109415861|XP_029719818.1|AEAL, LOC109402720|XP_029717961.1|AEAL
OG0000002	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL, LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL
OG0000005	LOC117564270|XP_034098864.1|DALB	LOC115255470|XP_029709453.1|AEAL, LOC115262910|XP_029721668.1|AEAL, LOC109621766|XP_019931446.2|AEAL, LOC115265236|XP_029725377.1|AEAL, LOC115263152|XP_029721939.1|AEAL, LOC115261259|XP_029718493.1|AEAL, LOC115261266|XP_029718501.1|AEAL, LOC115261255|XP_029718489.1|AEAL, LOC115261257|XP_029718491.1|AEAL, LOC115261289|XP_029718530.1|AEAL, LOC115261597|XP_029719357.1|AEAL, LOC115261594|XP_029719355.1|AEAL, LOC115261223|XP_029718457.1|AEAL, LOC115261254|XP_029718488.1|AEAL, LOC115261256|XP_029718490.1|AEAL, LOC115261258|XP_029718492.1|AEAL, LOC115261260|XP_029718495.1|AEAL, LOC109398605|XP_019526537.1|AEAL, LOC109398661|XP_029714684.1|AEAL
OG0000006	LOC117563579|XP_034097856.1|DALB	LOC109621653|XP_019931303.1|AEAL
OG0000006	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL
OG0000007	LOC117570587|XP_034108222.1|DALB, LOC117572105|XP_034110613.1|DALB, LOC117571630|XP_034109745.1|DALB, LOC117571629|XP_034109744.1|DALB, LOC117571628|XP_034109743.1|DALB, LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB, LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB, LOC117571197|XP_034109131.1|DALB, LOC117569240|XP_034106204.1|DALB, LOC117569239|XP_034106203.1|DALB, LOC117569233|XP_034106198.1|DALB, LOC117568549|XP_034105159.1|DALB, LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL
OG0000008	LOC117574613|XP_034114391.1|DALB	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL
OG0000008	LOC117570995|XP_034108835.1|DALB	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL, LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL
OG0000008	LOC117565304|XP_034100233.1|DALB	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL
OG0000009	LOC117574725|XP_034114546.1|DALB, LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB, LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB, LOC117565287|XP_034100206.1|DALB, LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB, LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB, LOC117565994|XP_034101304.1|DALB	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL, LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL, LOC109432620|XP_019564525.2|AEAL, LOC109405071|XP_019533608.2|AEAL, LOC109405076|XP_019533612.2|AEAL, LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL
