Orthogroup	DALB.longest_only	DPER.longest_only
OG0000000	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB	LOC6603462|XP_002028442.1|DPER
OG0000000	LOC117566676|XP_034102114.1|DALB	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC117567230|XP_034102951.1|DALB	LOC6594745|XP_002020397.2|DPER, LOC6594746|XP_026843423.1|DPER, LOC6594749|XP_026851250.1|DPER, LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER, LOC6589576|XP_026844127.1|DPER, LOC6591308|XP_026842081.1|DPER, LOC6595216|XP_026851124.1|DPER, LOC6593032|XP_002017709.2|DPER, LOC6593087|XP_026841436.1|DPER, LOC6593031|XP_026841437.1|DPER, LOC113564899|XP_026839990.1|DPER, LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER, LOC6588283|XP_026842223.1|DPER, LOC113565649|XP_026844091.1|DPER, LOC6592855|XP_026840797.1|DPER
OG0000000	LOC117576780|XP_034117723.1|DALB	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER, LOC6595014|XP_026839995.1|DPER
OG0000000	LOC117570317|XP_034107750.1|DALB	LOC113564894|XP_026839940.1|DPER, LOC113564893|XP_026839937.1|DPER, LOC113564896|XP_026839945.1|DPER, LOC113564892|XP_026839936.1|DPER, LOC113564891|XP_026839935.1|DPER, LOC6595239|XP_026839947.1|DPER, LOC6591953|XP_026851182.1|DPER, LOC6592013|XP_002017508.2|DPER, LOC6591788|XP_002017388.2|DPER, LOC6588090|XP_026840194.1|DPER, LOC113564923|XP_026840189.1|DPER, LOC113567447|XP_026851145.1|DPER, LOC113564924|XP_026840190.1|DPER, LOC6587947|XP_026840188.1|DPER, LOC6588042|XP_002012846.2|DPER, LOC6592618|XP_002018494.2|DPER, LOC113564925|XP_026840193.1|DPER, LOC6587712|XP_002012839.2|DPER, LOC6588022|XP_026840192.1|DPER, LOC113566937|XP_026849986.1|DPER, LOC113567058|XP_026850069.1|DPER, LOC6591954|XP_002017498.2|DPER, LOC6591955|XP_026851194.1|DPER, LOC6598646|XP_026840107.1|DPER
OG0000001	LOC117577421|XP_034118225.1|DALB, LOC117563691|XP_034098027.1|DALB, LOC117577317|XP_034118173.1|DALB	LOC113566438|XP_026847737.1|DPER
OG0000002	LOC117571538|XP_034109620.1|DALB	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC117571537|XP_034109617.1|DALB	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC6595741|XP_026845259.1|DPER
OG0000002	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB	LOC6596381|XP_002021534.2|DPER
OG0000002	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER
OG0000003	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB	LOC6590049|XP_002015522.1|DPER
OG0000003	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER
OG0000003	LOC117566351|XP_034101728.1|DALB	LOC6591235|XP_002016681.1|DPER
OG0000003	LOC117570242|XP_034107635.1|DALB	LOC6591236|XP_002016682.2|DPER
OG0000003	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER
OG0000003	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB	LOC6596552|XP_002021689.1|DPER
OG0000005	LOC117564288|XP_034098878.1|DALB	LOC113567248|XP_026850218.1|DPER
OG0000005	LOC117564293|XP_034098882.1|DALB	LOC113565365|XP_026842917.1|DPER
OG0000005	LOC117564295|XP_034098885.1|DALB	LOC6587310|XP_002013132.1|DPER
OG0000005	LOC117564270|XP_034098864.1|DALB	LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER
OG0000006	LOC117563579|XP_034097856.1|DALB	LOC113567411|XP_026850946.1|DPER
OG0000006	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB, LOC117566088|XP_034101456.1|DALB	LOC113567402|XP_026850930.1|DPER
OG0000007	LOC117572105|XP_034110613.1|DALB	LOC6595910|XP_002021056.1|DPER
OG0000007	LOC117571630|XP_034109745.1|DALB	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER
OG0000007	LOC117571629|XP_034109744.1|DALB	LOC6601482|XP_002026422.2|DPER
OG0000007	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB	LOC6592462|XP_002017797.1|DPER
OG0000007	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB	LOC6596310|XP_002021480.2|DPER
OG0000007	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB	LOC6601214|XP_002026310.2|DPER, LOC6589529|XP_002015017.1|DPER
OG0000008	LOC117574613|XP_034114391.1|DALB	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC117570995|XP_034108835.1|DALB	LOC6601897|XP_026849381.1|DPER
OG0000008	LOC117565304|XP_034100233.1|DALB	LOC6595506|XP_002020611.1|DPER
OG0000008	LOC117571003|XP_034108844.1|DALB	LOC113566715|XP_026849382.1|DPER
OG0000008	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER
OG0000008	LOC117574119|XP_034113664.1|DALB	LOC6591826|XP_002016976.2|DPER
OG0000008	LOC117574113|XP_034113658.1|DALB	LOC6591822|XP_002016972.1|DPER
OG0000008	LOC117574115|XP_034113660.1|DALB	LOC6591825|XP_026846385.1|DPER
OG0000008	LOC117574118|XP_034113663.1|DALB	LOC6591827|XP_002016977.1|DPER
OG0000009	LOC117574725|XP_034114546.1|DALB	LOC6594636|XP_026850331.1|DPER
OG0000009	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB	LOC6594634|XP_002019930.1|DPER
OG0000009	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER
OG0000009	LOC117565287|XP_034100206.1|DALB	LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER
