Orthogroup	DALB.longest_only	DELE.longest_only
OG0000000	LOC117572321|XP_034110946.1|DALB	LOC108150093|XP_017133546.1|DELE
OG0000000	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB	LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE
OG0000000	LOC117566676|XP_034102114.1|DALB	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC117567230|XP_034102951.1|DALB	LOC108134556|XP_017110398.1|DELE, LOC108136678|XP_017113490.1|DELE, LOC108150089|XP_017133542.1|DELE, LOC108143736|XP_017123759.1|DELE, LOC108142886|XP_017122451.1|DELE, LOC108141650|XP_017120608.1|DELE, LOC108142885|XP_017122450.1|DELE, LOC108145618|XP_017126643.1|DELE, LOC108141344|XP_017120143.1|DELE, LOC108148604|XP_017131171.1|DELE
OG0000000	LOC117576780|XP_034117723.1|DALB	LOC108143648|XP_017123649.1|DELE, LOC108144150|XP_017124283.1|DELE, LOC108144147|XP_017124279.1|DELE, LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE
OG0000000	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB	LOC108145639|XP_017126664.1|DELE, LOC108145640|XP_017126665.1|DELE
OG0000000	LOC117570317|XP_034107750.1|DALB	LOC108135485|XP_017111717.1|DELE, LOC108141030|XP_017119608.1|DELE
OG0000002	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB	LOC108144341|XP_017124554.1|DELE
OG0000002	LOC117571538|XP_034109620.1|DALB	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC117571537|XP_034109617.1|DALB	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC108138226|XP_017115837.1|DELE, LOC108149858|XP_017133226.1|DELE, LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE
OG0000002	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB	LOC108147831|XP_017130074.1|DELE, LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE, LOC108134735|XP_017110639.1|DELE
OG0000003	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB	LOC108144467|XP_017124860.1|DELE, LOC108144671|XP_017125217.1|DELE
OG0000003	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB	LOC108145092|XP_017125773.1|DELE
OG0000003	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB	LOC108144466|XP_017124858.1|DELE
OG0000003	LOC117566351|XP_034101728.1|DALB	LOC108144820|XP_017125440.1|DELE
OG0000003	LOC117570242|XP_034107635.1|DALB	LOC108145352|XP_017126230.1|DELE
OG0000003	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB	LOC108145367|XP_017126250.1|DELE
OG0000007	LOC117572105|XP_034110613.1|DALB	LOC108135575|XP_017111853.1|DELE
OG0000007	LOC117571630|XP_034109745.1|DALB	LOC108142600|XP_017122060.1|DELE
OG0000007	LOC117571629|XP_034109744.1|DALB	LOC108142393|XP_017121722.1|DELE
OG0000007	LOC117571628|XP_034109743.1|DALB	LOC108142601|XP_017122061.1|DELE, LOC108142394|XP_017121723.1|DELE
OG0000007	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB	LOC108138842|XP_017116842.1|DELE
OG0000007	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE
OG0000008	LOC117574613|XP_034114391.1|DALB	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC117570995|XP_034108835.1|DALB	LOC108145869|XP_017126996.1|DELE
OG0000008	LOC117565304|XP_034100233.1|DALB	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC117571003|XP_034108844.1|DALB	LOC108145871|XP_017126998.1|DELE
OG0000008	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB	LOC108148323|XP_017130803.1|DELE
OG0000008	LOC117574119|XP_034113664.1|DALB	LOC108148325|XP_017130805.1|DELE
OG0000008	LOC117574113|XP_034113658.1|DALB	LOC108148321|XP_017130801.1|DELE
OG0000008	LOC117574115|XP_034113660.1|DALB	LOC108148322|XP_017130802.1|DELE
