Orthogroup	DALB.longest_only	DVIR.longest_only
OG0000000	LOC117568019|XP_034104238.1|DALB, LOC117566662|XP_034102098.1|DALB	LOC6636425|XP_032292006.1|DVIR
OG0000000	LOC117572321|XP_034110946.1|DALB	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC117566676|XP_034102114.1|DALB	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC117573357|XP_034112375.1|DALB, LOC117573356|XP_034112374.1|DALB, LOC117566670|XP_034102107.1|DALB	LOC26531872|XP_032295213.1|DVIR
OG0000000	LOC117566669|XP_034102106.1|DALB	LOC6625560|XP_032292064.1|DVIR, LOC6625461|XP_032292063.1|DVIR
OG0000000	LOC117576780|XP_034117723.1|DALB	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC117574149|XP_034113717.1|DALB, LOC117574151|XP_034113720.1|DALB, LOC117574150|XP_034113719.1|DALB, LOC117574458|XP_034114187.1|DALB	LOC6630220|XP_002054794.2|DVIR
OG0000000	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB	LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC117577421|XP_034118225.1|DALB, LOC117563691|XP_034098027.1|DALB, LOC117577317|XP_034118173.1|DALB	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR
OG0000002	LOC117570812|XP_034108562.1|DALB	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC117571538|XP_034109620.1|DALB	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC117571537|XP_034109617.1|DALB	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC26531429|XP_015025398.1|DVIR, LOC116649881|XP_032289027.1|DVIR, LOC6634067|XP_002057869.2|DVIR
OG0000002	LOC117571106|XP_034108978.1|DALB	LOC6626597|XP_002049033.2|DVIR
OG0000003	LOC117566349|XP_034101726.1|DALB	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC117572391|XP_034111057.1|DALB	LOC6624735|XP_002049738.1|DVIR
OG0000003	LOC117570242|XP_034107635.1|DALB	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB	LOC6627946|XP_002051419.1|DVIR
OG0000005	LOC117564295|XP_034098885.1|DALB	LOC6636998|XP_002060428.1|DVIR
OG0000005	LOC117566019|XP_034101338.1|DALB	LOC116649816|XP_032288846.1|DVIR
OG0000006	LOC117563579|XP_034097856.1|DALB	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB	LOC6630084|XP_002053094.1|DVIR
OG0000006	LOC117564286|XP_034098876.1|DALB	LOC116649807|XP_032288833.1|DVIR
OG0000007	LOC117570587|XP_034108222.1|DALB	LOC6623864|XP_002046827.1|DVIR
OG0000007	LOC117571630|XP_034109745.1|DALB	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC117571628|XP_034109743.1|DALB	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB	LOC116650729|XP_032291101.1|DVIR
OG0000007	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
OG0000007	LOC117571197|XP_034109131.1|DALB	LOC6624577|XP_032291102.1|DVIR, LOC6624526|XP_032291100.1|DVIR
