Orthogroup	DALB.longest_only	DSER.longest_only
OG0000000	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC117566676|XP_034102114.1|DALB	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC117567230|XP_034102951.1|DALB	LOC110186264|XP_020811030.1|DSER, LOC110186911|XP_020811890.1|DSER, LOC110186265|XP_020811031.1|DSER, LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER, LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER, LOC110184021|XP_020808046.1|DSER, LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER, LOC110186869|XP_020811824.1|DSER, LOC110186289|XP_020811062.1|DSER, LOC110186287|XP_020811060.1|DSER, LOC110186290|XP_020811063.1|DSER, LOC110186288|XP_020811061.1|DSER, LOC110185901|XP_020810577.1|DSER, LOC110180637|XP_020803993.1|DSER, LOC110187976|XP_020813156.1|DSER, LOC110184825|XP_020809128.1|DSER
OG0000000	LOC117576780|XP_034117723.1|DALB	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC117566658|XP_034102093.1|DALB	LOC110187957|XP_020813134.1|DSER
OG0000000	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB	LOC110190734|XP_020817015.1|DSER, LOC110190733|XP_020817014.1|DSER, LOC110190479|XP_020816650.1|DSER
OG0000000	LOC117570317|XP_034107750.1|DALB	LOC110185197|XP_020809581.1|DSER, LOC110187956|XP_020813133.1|DSER, LOC110182697|XP_020806451.1|DSER, LOC110186018|XP_020810717.1|DSER, LOC110186045|XP_020810747.1|DSER, LOC110186008|XP_020810705.1|DSER, LOC110186038|XP_020810738.1|DSER, LOC110186028|XP_020810726.1|DSER, LOC110186065|XP_020810763.1|DSER, LOC110185933|XP_020810606.1|DSER, LOC110177976|XP_020800628.1|DSER
OG0000002	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB	LOC110191937|XP_020818616.1|DSER, LOC110179128|XP_020802182.1|DSER, LOC110178733|XP_020801621.1|DSER
OG0000002	LOC117571538|XP_034109620.1|DALB	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC117571537|XP_034109617.1|DALB	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC110189677|XP_020815494.1|DSER, LOC110189091|XP_020814726.1|DSER
OG0000002	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB	LOC110184909|XP_020809214.1|DSER, LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER
