Orthogroup	DALB.longest_only	DSEC.longest_only
OG0000000	LOC117572321|XP_034110946.1|DALB	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB	LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC117566676|XP_034102114.1|DALB	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC117567230|XP_034102951.1|DALB	LOC6607083|XP_032579519.1|DSEC, LOC6612938|XP_032579196.1|DSEC, LOC6613111|XP_032569894.1|DSEC, LOC6612936|XP_002037428.1|DSEC, LOC6611813|XP_002036335.1|DSEC, LOC6607813|XP_032578052.1|DSEC, LOC6608931|XP_002033645.2|DSEC, LOC6609340|XP_032572102.1|DSEC, LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC, LOC6616347|XP_002040707.1|DSEC, LOC116800542|XP_032571951.1|DSEC, LOC116803586|XP_032583371.1|DSEC, LOC116801073|XP_032574487.1|DSEC, LOC6612926|XP_032578042.1|DSEC, LOC6612925|XP_002037417.1|DSEC, LOC6611281|XP_032582965.1|DSEC, LOC116801718|XP_032578762.1|DSEC, LOC6614481|XP_002038914.1|DSEC
OG0000000	LOC117564812|XP_034099625.1|DALB	LOC116801308|XP_032576001.1|DSEC
OG0000000	LOC117576780|XP_034117723.1|DALB	LOC6609904|XP_032570140.1|DSEC, LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC
OG0000000	LOC117566658|XP_034102093.1|DALB	LOC6613854|XP_002038323.1|DSEC
OG0000000	LOC117570317|XP_034107750.1|DALB	LOC6605446|XP_002030279.1|DSEC
OG0000002	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB	LOC6609498|XP_002034183.1|DSEC
OG0000002	LOC117571538|XP_034109620.1|DALB	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC117571537|XP_034109617.1|DALB	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC6611325|XP_002035872.2|DSEC, LOC6619439|XP_032575015.1|DSEC
OG0000002	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB	LOC6613615|XP_032570344.1|DSEC
OG0000003	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC
OG0000003	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB	LOC6607893|XP_002032647.1|DSEC
OG0000003	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB	LOC6609222|XP_002033913.1|DSEC
OG0000003	LOC117566351|XP_034101728.1|DALB	LOC6609221|XP_002033912.1|DSEC
OG0000003	LOC117570242|XP_034107635.1|DALB	LOC6608196|XP_002032941.1|DSEC
OG0000003	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB	LOC6608194|XP_002032939.1|DSEC
OG0000003	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB	LOC6613508|XP_002037976.1|DSEC
OG0000007	LOC117571630|XP_034109745.1|DALB	LOC116800972|XP_032573823.1|DSEC
OG0000007	LOC117571629|XP_034109744.1|DALB	LOC6610954|XP_002035511.1|DSEC
OG0000007	LOC117571628|XP_034109743.1|DALB	LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC
OG0000007	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB	LOC6608215|XP_032572281.1|DSEC
OG0000007	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB	LOC6613407|XP_032570241.1|DSEC
OG0000007	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB	LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC
OG0000008	LOC117574613|XP_034114391.1|DALB	LOC6619063|XP_002043304.1|DSEC
OG0000008	LOC117570995|XP_034108835.1|DALB	LOC6610740|XP_002035306.1|DSEC
OG0000008	LOC117565304|XP_034100233.1|DALB	LOC6617678|XP_002041991.1|DSEC
OG0000008	LOC117571003|XP_034108844.1|DALB	LOC6610741|XP_002035307.2|DSEC
OG0000008	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC
OG0000008	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC
OG0000008	LOC117574119|XP_034113664.1|DALB	LOC116801478|XP_032577234.1|DSEC
OG0000008	LOC117574113|XP_034113658.1|DALB	LOC6614149|XP_002038602.2|DSEC
OG0000008	LOC117574115|XP_034113660.1|DALB	LOC116801482|XP_032577264.1|DSEC
OG0000008	LOC117574118|XP_034113663.1|DALB	LOC116801721|XP_032578777.1|DSEC
OG0000009	LOC117574725|XP_034114546.1|DALB	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC
OG0000009	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC
OG0000009	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC
OG0000009	LOC117565287|XP_034100206.1|DALB	LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC
OG0000009	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB	LOC6618810|XP_002043059.1|DSEC
OG0000009	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB	LOC6608841|XP_002033555.1|DSEC
OG0000009	LOC117565994|XP_034101304.1|DALB	LOC6608840|XP_002033554.1|DSEC
OG0000010	LOC117566095|XP_034101458.1|DALB, LOC117564298|XP_034098887.1|DALB, LOC117564299|XP_034098888.1|DALB	LOC6606375|XP_032579311.1|DSEC
OG0000012	LOC117568055|XP_034104297.1|DALB	LOC6609925|XP_002034575.2|DSEC
OG0000012	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB	LOC6609924|XP_002034574.2|DSEC
OG0000012	LOC117569585|XP_034106704.1|DALB	LOC6609923|XP_032571611.1|DSEC
OG0000012	LOC117568054|XP_034104292.1|DALB	LOC6609926|XP_002034576.1|DSEC
