Orthogroup	DALB.longest_only	DSUP.longest_only
OG0000000	LOC117572321|XP_034110946.1|DALB	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP
OG0000000	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB	LOC119551998|XP_037717650.1|DSUP
OG0000000	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC117566676|XP_034102114.1|DALB	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC117567230|XP_034102951.1|DALB	LOC119563094|XP_037732252.1|DSUP, LOC119551506|XP_037716808.1|DSUP, LOC119562944|XP_037732029.1|DSUP, LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP, LOC119553046|XP_037719085.1|DSUP, LOC119546175|XP_037708225.1|DSUP, LOC119549570|XP_037713651.1|DSUP, LOC119549516|XP_037713556.1|DSUP, LOC119555097|XP_037722243.1|DSUP, LOC119548144|XP_037711170.1|DSUP, LOC119562016|XP_037731317.1|DSUP, LOC119554309|XP_037721101.1|DSUP, LOC119563229|XP_037732462.1|DSUP, LOC119547184|XP_037709847.1|DSUP, LOC119552082|XP_037717789.1|DSUP, LOC119547564|XP_037710393.1|DSUP, LOC119546339|XP_037708468.1|DSUP, LOC119548570|XP_037711816.1|DSUP
OG0000000	LOC117576780|XP_034117723.1|DALB	LOC119549506|XP_037713545.1|DSUP, LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP, LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC117566658|XP_034102093.1|DALB	LOC119560562|XP_037730007.1|DSUP
OG0000000	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB	LOC119552808|XP_037718574.1|DSUP, LOC119555364|XP_037722629.1|DSUP, LOC119555366|XP_037722632.1|DSUP, LOC119555360|XP_037722626.1|DSUP, LOC119555363|XP_037722628.1|DSUP
OG0000000	LOC117570317|XP_034107750.1|DALB	LOC119555440|XP_037722739.1|DSUP, LOC119555832|XP_037723387.1|DSUP
OG0000001	LOC117577421|XP_034118225.1|DALB, LOC117563691|XP_034098027.1|DALB, LOC117577317|XP_034118173.1|DALB	LOC119561797|XP_037731208.1|DSUP, LOC119559462|XP_037728496.1|DSUP, LOC119559031|XP_037728088.1|DSUP, LOC119562332|XP_037731421.1|DSUP, LOC119561847|XP_037731255.1|DSUP, LOC119562465|XP_037731580.1|DSUP
