Orthogroup	DALB.longest_only	DMEL.longest_only
OG0000000	LOC117572321|XP_034110946.1|DALB	CG33700|NP_001027121.3|DMEL
OG0000000	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB	CG33775|NP_001027410.1|DMEL
OG0000000	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL
OG0000000	LOC117566676|XP_034102114.1|DALB	CG12849|NP_611969.2|DMEL
OG0000000	LOC117567230|XP_034102951.1|DALB	CG33654|NP_001027165.1|DMEL, CG33920|NP_001027214.1|DMEL, CG33773|NP_001027213.1|DMEL, CG33723|NP_001027235.1|DMEL, CG33658|NP_001027209.1|DMEL, CG33798|NP_001027414.1|DMEL, CG33463|NP_995846.2|DMEL, CG33764|NP_001027107.1|DMEL, CG33912|NP_001027139.1|DMEL, CG33632|NP_001036537.1|DMEL, CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL, CG33777|NP_001027108.1|DMEL, CG33483|NP_001189327.1|DMEL, CG33648|NP_001027265.2|DMEL, CG33721|NP_001036743.1|DMEL, CG33928|NP_001027276.1|DMEL
OG0000000	LOC117576780|XP_034117723.1|DALB	CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC117566658|XP_034102093.1|DALB	CG33927|NP_001027147.1|DMEL
OG0000000	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB	CG33796|NP_001027128.1|DMEL, CG33795|NP_001027129.2|DMEL
OG0000000	LOC117570317|XP_034107750.1|DALB	CG33725|NP_001027125.1|DMEL
OG0000002	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB	CG5550|NP_001246376.1|DMEL
OG0000002	LOC117571538|XP_034109620.1|DALB	CG30281|NP_726164.1|DMEL
OG0000002	LOC117571537|XP_034109617.1|DALB	CG30280|NP_611641.6|DMEL
OG0000002	LOC117565641|XP_034100743.1|DALB	CG31832|NP_723894.2|DMEL, CG7668|NP_649170.1|DMEL
