Orthogroup	DALB.longest_only	DANA.longest_only
OG0000000	LOC117572321|XP_034110946.1|DALB	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB	LOC6494335|XP_001960511.2|DANA
OG0000000	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC117567230|XP_034102951.1|DALB	LOC26515012|XP_032305331.1|DANA, LOC116656224|XP_032311586.1|DANA, LOC6505938|XP_014760853.1|DANA, LOC26515148|XP_014760938.1|DANA, LOC6503296|XP_001967564.2|DANA, LOC26514039|XP_032307416.1|DANA, LOC6502666|XP_032305659.1|DANA, LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA, LOC26514259|XP_032305722.1|DANA, LOC6500855|XP_032305607.1|DANA, LOC6497917|XP_001961708.2|DANA, LOC26514098|XP_032306915.1|DANA
OG0000000	LOC117576780|XP_034117723.1|DALB	LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA
OG0000000	LOC117566658|XP_034102093.1|DALB	LOC6498897|XP_032305704.1|DANA
OG0000000	LOC117570317|XP_034107750.1|DALB	LOC6501674|XP_001955728.1|DANA, LOC116654961|XP_032307689.1|DANA, LOC26515107|XP_032307436.1|DANA, LOC116656571|XP_032312202.1|DANA, LOC6498894|XP_001955724.2|DANA, LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA, LOC6497530|XP_001961898.2|DANA, LOC116654556|XP_032305703.1|DANA, LOC26514196|XP_014767248.1|DANA
OG0000002	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB	LOC6494276|XP_032306810.1|DANA, LOC6502541|XP_001958679.1|DANA
OG0000002	LOC117571538|XP_034109620.1|DALB	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC117571537|XP_034109617.1|DALB	LOC6502577|XP_001960292.2|DANA
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC6502757|XP_014760373.1|DANA, LOC6505775|XP_001965022.2|DANA, LOC116656048|XP_032311202.1|DANA
OG0000002	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB	LOC116655418|XP_032309202.1|DANA
OG0000003	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA
OG0000003	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB	LOC6496624|XP_001961285.3|DANA
OG0000003	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA
OG0000003	LOC117566351|XP_034101728.1|DALB	LOC6495150|XP_014763173.1|DANA
OG0000003	LOC117570242|XP_034107635.1|DALB	LOC6495217|XP_001958825.1|DANA
OG0000003	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA
OG0000004	LOC117566082|XP_034101454.1|DALB, LOC117566081|XP_034101452.1|DALB, LOC117565593|XP_034100683.1|DALB, LOC117566015|XP_034101336.1|DALB, LOC117564273|XP_034098866.1|DALB, LOC117566148|XP_034101526.1|DALB, LOC117564274|XP_034098867.1|DALB	LOC116655976|XP_032310860.1|DANA, LOC26514479|XP_014758928.2|DANA, LOC116655701|XP_032309456.1|DANA, LOC116655709|XP_032309467.1|DANA, LOC116655975|XP_032310859.1|DANA, LOC6501745|XP_001967751.3|DANA, LOC6502880|XP_001967788.3|DANA, LOC6498691|XP_001967677.3|DANA, LOC116655427|XP_032309213.1|DANA, LOC116655702|XP_032309457.1|DANA, LOC6506068|XP_001967797.3|DANA, LOC6504968|XP_001964805.3|DANA, LOC116655977|XP_032310861.1|DANA, LOC116655978|XP_032310862.1|DANA, LOC116655704|XP_032309459.1|DANA, LOC6504908|XP_001964815.2|DANA, LOC6504940|XP_001964810.3|DANA, LOC116655703|XP_032309458.1|DANA, LOC6504875|XP_001964820.3|DANA, LOC6502394|XP_032309212.1|DANA, LOC6504999|XP_001964802.3|DANA
OG0000005	LOC117566149|XP_034101527.1|DALB	LOC6505175|XP_001964801.1|DANA
OG0000005	LOC117564295|XP_034098885.1|DALB	LOC6506069|XP_001967796.1|DANA
OG0000005	LOC117564289|XP_034098879.1|DALB	LOC116655712|XP_032309470.1|DANA
OG0000006	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB	LOC116656005|XP_032310965.1|DANA
OG0000006	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB	LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA
OG0000007	LOC117572105|XP_034110613.1|DALB	LOC6506540|XP_001957688.2|DANA
OG0000007	LOC117571630|XP_034109745.1|DALB	LOC6493534|XP_001957954.1|DANA
OG0000007	LOC117571628|XP_034109743.1|DALB	LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA
OG0000007	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA
OG0000007	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB	LOC6504214|XP_001965140.1|DANA
OG0000007	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB	LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA
OG0000008	LOC117574613|XP_034114391.1|DALB	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC117570995|XP_034108835.1|DALB	LOC6506513|XP_001957739.1|DANA
OG0000008	LOC117565304|XP_034100233.1|DALB	LOC6504295|XP_001965067.1|DANA
OG0000008	LOC117571003|XP_034108844.1|DALB	LOC6506512|XP_001957740.2|DANA
OG0000008	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB	LOC6499974|XP_001953515.1|DANA
OG0000008	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB	LOC6499973|XP_001953518.1|DANA
OG0000008	LOC117574119|XP_034113664.1|DALB	LOC6500585|XP_001953520.1|DANA
OG0000008	LOC117574115|XP_034113660.1|DALB	LOC6500584|XP_001953519.1|DANA
OG0000008	LOC117574118|XP_034113663.1|DALB	LOC6499972|XP_001953521.2|DANA
OG0000009	LOC117574725|XP_034114546.1|DALB	LOC6500401|XP_001953140.1|DANA
OG0000009	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB	LOC6500399|XP_001953138.1|DANA
OG0000009	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB	LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA
OG0000009	LOC117565287|XP_034100206.1|DALB	LOC6506633|XP_001957500.1|DANA
OG0000009	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB	LOC6494113|XP_001960938.1|DANA
OG0000009	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB	LOC6494922|XP_001959416.1|DANA
OG0000009	LOC117565994|XP_034101304.1|DALB	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA
OG0000010	LOC117564301|XP_034098889.1|DALB	LOC116656007|XP_032310968.1|DANA
OG0000012	LOC117568055|XP_034104297.1|DALB	LOC6495461|XP_014763319.1|DANA
OG0000012	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA
OG0000012	LOC117569585|XP_034106704.1|DALB	LOC6495181|XP_001958900.1|DANA
OG0000012	LOC117568054|XP_034104292.1|DALB	LOC6495184|XP_001958896.1|DANA
OG0000012	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB	LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA
OG0000012	LOC117571184|XP_034109105.1|DALB	LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA
OG0000012	LOC117568519|XP_034105112.1|DALB	LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA
OG0000013	LOC117571859|XP_034110145.1|DALB	LOC6494224|XP_001960708.1|DANA
OG0000013	LOC117563213|XP_034097295.1|DALB	LOC6502959|XP_001963513.1|DANA
OG0000013	LOC117576138|XP_034116595.1|DALB	LOC6494241|XP_001965950.1|DANA
OG0000013	LOC117568434|XP_034104988.1|DALB	LOC6506687|XP_032309811.1|DANA
OG0000013	LOC117573950|XP_034113367.1|DALB	LOC6500356|XP_001953043.1|DANA
OG0000013	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB	LOC6500746|XP_001953834.1|DANA
OG0000015	LOC117564021|XP_034098512.1|DALB	LOC26515478|XP_014762438.1|DANA
OG0000015	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB	LOC6497258|XP_001962453.2|DANA, LOC6497259|XP_014761594.1|DANA, LOC26515435|XP_014762433.2|DANA, LOC6502546|XP_001958772.2|DANA, LOC26514507|XP_014762338.1|DANA
OG0000016	LOC117573987|XP_034113425.1|DALB	LOC6500386|XP_001953106.1|DANA
OG0000016	LOC117567642|XP_034103639.1|DALB	LOC6495063|XP_001959144.1|DANA
OG0000016	LOC117574647|XP_034114439.1|DALB	LOC6499904|XP_001953662.1|DANA
OG0000016	LOC117567926|XP_034104102.1|DALB	LOC6494270|XP_001960623.3|DANA
OG0000016	LOC117576743|XP_034117709.1|DALB	LOC6504746|XP_032309021.1|DANA
OG0000016	LOC117567888|XP_034104050.1|DALB	LOC6496662|XP_001961354.1|DANA
OG0000016	LOC117573754|XP_034113029.1|DALB	LOC6501076|XP_001954513.1|DANA
OG0000016	LOC117568261|XP_034104638.1|DALB	LOC6493807|XP_014764542.1|DANA
OG0000017	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB	LOC6493898|XP_001961368.1|DANA
OG0000017	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB	LOC6499101|XP_001955295.3|DANA, LOC6499102|XP_001955294.1|DANA
OG0000017	LOC117568041|XP_034104279.1|DALB	LOC6494709|XP_001959816.1|DANA
OG0000017	LOC117571751|XP_034109992.1|DALB	LOC6496668|XP_001961367.1|DANA
OG0000017	LOC117564917|XP_034099761.1|DALB	LOC6498652|XP_001963246.1|DANA, LOC6498651|XP_001963245.1|DANA, LOC6498650|XP_001963244.2|DANA, LOC26515517|XP_032311043.1|DANA, LOC6498649|XP_001963243.2|DANA
OG0000018	LOC117569762|XP_034106946.1|DALB	LOC6506162|XP_001958433.1|DANA
OG0000018	LOC117569760|XP_034106944.1|DALB	LOC6506161|XP_001958434.1|DANA
OG0000018	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB	LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA
OG0000020	LOC117576477|XP_034117138.1|DALB	LOC6499398|XP_032312200.1|DANA
OG0000020	LOC117568572|XP_034105192.1|DALB	LOC6494967|XP_001959313.1|DANA
OG0000020	LOC117565600|XP_034100691.1|DALB	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA
OG0000020	LOC117576162|XP_034116628.1|DALB	LOC6500139|XP_032312147.1|DANA
OG0000020	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB	LOC6501153|XP_001954651.1|DANA
OG0000020	LOC117565601|XP_034100693.1|DALB	LOC6506852|XP_001965261.1|DANA, LOC6497510|XP_032307412.1|DANA
OG0000021	LOC117570905|XP_034108701.1|DALB	LOC26515395|XP_032312045.1|DANA
OG0000021	LOC117570907|XP_034108703.1|DALB	LOC6502914|XP_001967640.3|DANA
OG0000021	LOC117566492|XP_034101922.1|DALB	LOC6494472|XP_001960263.1|DANA
OG0000021	LOC117570266|XP_034107672.1|DALB	LOC6494465|XP_001960278.1|DANA
OG0000021	LOC117570906|XP_034108702.1|DALB	LOC6502328|XP_014759082.1|DANA
OG0000021	LOC117574572|XP_034114338.1|DALB	LOC6503446|XP_001967498.1|DANA
OG0000021	LOC117576017|XP_034116416.1|DALB	LOC6499833|XP_001953817.3|DANA
OG0000021	LOC117575314|XP_034115363.1|DALB	LOC6503731|XP_032308490.1|DANA
OG0000022	LOC117569951|XP_034107204.1|DALB	LOC6495509|XP_001959002.1|DANA
OG0000022	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB	LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA, LOC6492948|XP_001956720.1|DANA, LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA
OG0000022	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB	LOC6507069|XP_001956716.1|DANA, LOC6492946|XP_001956717.1|DANA
OG0000023	LOC117576456|XP_034117119.1|DALB	LOC6500082|XP_001953260.1|DANA
OG0000023	LOC117568013|XP_034104228.1|DALB	LOC6494760|XP_001959725.1|DANA
OG0000023	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB	LOC6500083|XP_001953259.2|DANA
OG0000023	LOC117576455|XP_034117118.1|DALB	LOC6500087|XP_001953255.2|DANA
OG0000023	LOC117576451|XP_034117113.1|DALB	LOC6500085|XP_032312233.1|DANA
OG0000023	LOC117576915|XP_034117947.1|DALB	LOC6500088|XP_014766376.1|DANA
OG0000024	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB	LOC116654715|XP_032306639.1|DANA, LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA
OG0000024	LOC117569374|XP_034106395.1|DALB	LOC6495252|XP_001958753.1|DANA
