Orthogroup	DALB.longest_only	ASTE.longest_only
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC118514602|XP_035917491.1|ASTE, LOC118514191|XP_035916773.1|ASTE, LOC118506037|XP_035898561.1|ASTE, LOC118503868|XP_035893499.1|ASTE, LOC118508220|XP_035903701.1|ASTE, LOC118508185|XP_035903637.1|ASTE
OG0000002	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE
OG0000006	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB	LOC118517636|XP_035919841.1|ASTE
OG0000006	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC117574613|XP_034114391.1|DALB	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC117570995|XP_034108835.1|DALB	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE
OG0000008	LOC117565304|XP_034100233.1|DALB	LOC118509007|XP_035904915.1|ASTE
OG0000008	LOC117571003|XP_034108844.1|DALB	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC117574725|XP_034114546.1|DALB, LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB, LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB, LOC117565287|XP_034100206.1|DALB, LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB, LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB, LOC117565994|XP_034101304.1|DALB	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC117564299|XP_034098888.1|DALB	LOC118509785|XP_035906820.1|ASTE
OG0000012	LOC117568055|XP_034104297.1|DALB, LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB, LOC117569585|XP_034106704.1|DALB, LOC117568054|XP_034104292.1|DALB, LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB, LOC117571184|XP_034109105.1|DALB, LOC117568519|XP_034105112.1|DALB	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC117571859|XP_034110145.1|DALB	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC117563213|XP_034097295.1|DALB	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC117576138|XP_034116595.1|DALB	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000016	LOC117573987|XP_034113425.1|DALB, LOC117567642|XP_034103639.1|DALB	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC117574647|XP_034114439.1|DALB	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC117576743|XP_034117709.1|DALB	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC117568261|XP_034104638.1|DALB	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000020	LOC117576477|XP_034117138.1|DALB, LOC117568572|XP_034105192.1|DALB	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC117565600|XP_034100691.1|DALB, LOC117576162|XP_034116628.1|DALB, LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB, LOC117565601|XP_034100693.1|DALB	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC117573953|XP_034113413.1|DALB	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC117574572|XP_034114338.1|DALB, LOC117576017|XP_034116416.1|DALB, LOC117575314|XP_034115363.1|DALB	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC117569951|XP_034107204.1|DALB, LOC117567521|XP_034103458.1|DALB, LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB, LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB, LOC117569847|XP_034107067.1|DALB	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC117576456|XP_034117119.1|DALB, LOC117565137|XP_034099998.1|DALB, LOC117568013|XP_034104228.1|DALB, LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB, LOC117576455|XP_034117118.1|DALB, LOC117576451|XP_034117113.1|DALB, LOC117576915|XP_034117947.1|DALB	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB, LOC117569381|XP_034106402.1|DALB, LOC117566757|XP_034102189.1|DALB, LOC117569374|XP_034106395.1|DALB, LOC117575969|XP_034116339.1|DALB, LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB, LOC117571483|XP_034109539.1|DALB	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC117570342|XP_034107792.1|DALB	LOC118514136|XP_035916629.1|ASTE
OG0000025	LOC117566085|XP_034101455.1|DALB	LOC118509777|XP_035906810.1|ASTE
