Orthogroup	DALB.longest_only	DBUS.longest_only
OG0000000	LOC117568019|XP_034104238.1|DALB, LOC117566662|XP_034102098.1|DALB	LOC117134726|XP_033149242.1|DBUS
OG0000000	LOC117572321|XP_034110946.1|DALB	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC117566676|XP_034102114.1|DALB	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC117564812|XP_034099625.1|DALB	LOC108601225|XP_033150109.1|DBUS
OG0000000	LOC117576780|XP_034117723.1|DALB	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC117574149|XP_034113717.1|DALB, LOC117574151|XP_034113720.1|DALB, LOC117574150|XP_034113719.1|DALB, LOC117574458|XP_034114187.1|DALB	LOC108594727|XP_017835355.1|DBUS
OG0000002	LOC117570812|XP_034108562.1|DALB	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS
OG0000002	LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB	LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC117571538|XP_034109620.1|DALB	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC117571537|XP_034109617.1|DALB	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC117572767|XP_034111746.1|DALB	LOC108598887|XP_017841137.1|DBUS
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC108601753|XP_017845169.2|DBUS, LOC108595831|XP_017836611.1|DBUS, LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC117571106|XP_034108978.1|DALB	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
