Orthogroup	DSAN.longest_only	DANA.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC120454272|XP_039495370.1|DSAN	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA
OG0000000	LOC120458328|XP_039501883.1|DSAN	LOC6496234|XP_001960509.1|DANA
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC6494335|XP_001960511.2|DANA
OG0000000	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC120453329|XP_039493924.1|DSAN	LOC6503296|XP_001967564.2|DANA
OG0000000	LOC120443793|XP_039479056.1|DSAN, LOC120454315|XP_039495452.1|DSAN, LOC120446300|XP_039483141.1|DSAN, LOC120444898|XP_039480821.1|DSAN, LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN, LOC120458417|XP_039501988.1|DSAN, LOC120455242|XP_039497157.1|DSAN, LOC120443964|XP_039479362.1|DSAN	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA
OG0000000	LOC120454324|XP_039495461.1|DSAN	LOC26514259|XP_032305722.1|DANA
OG0000000	LOC120453013|XP_039493463.1|DSAN	LOC6500855|XP_032305607.1|DANA
OG0000000	LOC120444807|XP_039480688.1|DSAN	LOC6497917|XP_001961708.2|DANA
OG0000000	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN	LOC6494112|XP_001960945.2|DANA
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC6499064|XP_032305682.1|DANA
OG0000000	LOC120453562|XP_039494248.1|DSAN	LOC6498897|XP_032305704.1|DANA
OG0000000	LOC120448603|XP_039486639.1|DSAN	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA
OG0000002	LOC120446478|XP_039483414.1|DSAN	LOC6494276|XP_032306810.1|DANA
