Orthogroup	DSAN.longest_only	DVIR.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC120454272|XP_039495370.1|DSAN, LOC120444734|XP_039480595.1|DSAN, LOC120458328|XP_039501883.1|DSAN	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN, LOC120454169|XP_039495171.1|DSAN	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC120447885|XP_039485430.1|DSAN, LOC120447884|XP_039485429.1|DSAN	LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC120445604|XP_039482044.1|DSAN	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR
OG0000001	LOC120449510|XP_039487947.1|DSAN	LOC116650083|XP_032289319.1|DVIR
OG0000002	LOC120446478|XP_039483414.1|DSAN	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC120448038|XP_039485719.1|DSAN	LOC6626597|XP_002049033.2|DVIR
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC6628707|XP_002051325.3|DVIR
OG0000003	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC6627946|XP_002051419.1|DVIR
OG0000006	LOC120457931|XP_039501371.1|DSAN	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC120457670|XP_039501096.1|DSAN	LOC6630084|XP_002053094.1|DVIR
OG0000006	LOC120457943|XP_039501383.1|DSAN	LOC6637312|XP_002060557.1|DVIR
OG0000006	LOC120457674|XP_039501100.1|DSAN	LOC116649807|XP_032288833.1|DVIR
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC116650729|XP_032291101.1|DVIR
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
OG0000007	LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC26531283|XP_015031719.1|DVIR
OG0000008	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC120453056|XP_039493512.1|DSAN	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR
OG0000008	LOC120453871|XP_039494710.1|DSAN	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC120453053|XP_039493508.1|DSAN	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC120452274|XP_039492339.1|DSAN	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC120453887|XP_039494738.1|DSAN	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC120452846|XP_039493217.1|DSAN	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC120453968|XP_039494853.1|DSAN	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC120446532|XP_039483479.1|DSAN	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC120445192|XP_039481349.1|DSAN	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC120446204|XP_039482989.1|DSAN	LOC116649833|XP_032288875.1|DVIR, LOC6630085|XP_002053095.1|DVIR, LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR
OG0000010	LOC120457684|XP_039501107.1|DSAN	LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR
OG0000010	LOC120457970|XP_039501405.1|DSAN, LOC120457962|XP_039501399.1|DSAN	LOC6637029|XP_002060450.1|DVIR
OG0000011	LOC120449537|XP_039487993.1|DSAN	LOC6623065|XP_002048503.2|DVIR
OG0000011	LOC120452178|XP_039492220.1|DSAN	LOC6635697|XP_002059270.2|DVIR
OG0000012	LOC120445821|XP_039482372.1|DSAN	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC120445820|XP_039482371.1|DSAN	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC120446192|XP_039482973.1|DSAN	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC120446256|XP_039483062.1|DSAN	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC120444865|XP_039480765.1|DSAN	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC120450753|XP_039489810.1|DSAN	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC120447659|XP_039485107.1|DSAN	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC120450808|XP_039489911.1|DSAN	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC120452623|XP_039492863.1|DSAN	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000014	LOC120450089|XP_039488815.1|DSAN	LOC116652015|XP_032295550.1|DVIR
OG0000014	LOC120458585|XP_039502218.1|DSAN	LOC116649966|XP_032289172.1|DVIR, LOC116649899|XP_032289057.1|DVIR
OG0000015	LOC120446987|XP_039484221.1|DSAN	LOC6633997|XP_032293758.1|DVIR
OG0000015	LOC120445789|XP_039482329.1|DSAN, LOC120454309|XP_039495442.1|DSAN	LOC26531562|XP_032293636.1|DVIR
OG0000016	LOC120451140|XP_039490495.1|DSAN	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC120444605|XP_039480314.1|DSAN	LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC120454635|XP_039496058.1|DSAN	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC120445231|XP_039481423.1|DSAN	LOC6625554|XP_002049004.2|DVIR
OG0000016	LOC120457379|XP_039500852.1|DSAN	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC120444059|XP_039479503.1|DSAN	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC120450954|XP_039490174.1|DSAN	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC120450393|XP_039489322.1|DSAN	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC120453270|XP_039493835.1|DSAN	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC120452471|XP_039492644.1|DSAN, LOC120452472|XP_039492645.1|DSAN	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR
OG0000017	LOC120445309|XP_039481553.1|DSAN	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC120454864|XP_039496354.1|DSAN	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC120454377|XP_039495551.1|DSAN	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC120448958|XP_039487148.1|DSAN	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC120447671|XP_039485130.1|DSAN	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC120448951|XP_039487134.1|DSAN, LOC120448952|XP_039487135.1|DSAN, LOC120448659|XP_039486726.1|DSAN	LOC6623391|XP_002046158.1|DVIR
OG0000019	LOC120453199|XP_039493718.1|DSAN	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR
OG0000019	LOC120453194|XP_039493696.1|DSAN	LOC6630458|XP_002053919.1|DVIR
OG0000019	LOC120453200|XP_039493720.1|DSAN	LOC6630457|XP_002053918.1|DVIR
OG0000019	LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN	LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC120451285|XP_039490765.1|DSAN	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC120445014|XP_039481012.1|DSAN	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC120450860|XP_039490007.1|DSAN	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC120453863|XP_039494701.1|DSAN	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC120457706|XP_039501135.1|DSAN, LOC120444385|XP_039479926.1|DSAN	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC120458794|XP_039502520.1|DSAN	LOC6627018|XP_002049728.2|DVIR
OG0000021	LOC120445641|XP_039482116.1|DSAN	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC120445227|XP_039481419.1|DSAN	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC120444372|XP_039479913.1|DSAN	LOC6625029|XP_002050452.1|DVIR
OG0000021	LOC120456405|XP_039499169.1|DSAN	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC120450748|XP_039489804.1|DSAN	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC120454061|XP_039495000.1|DSAN	LOC6629847|XP_002054468.1|DVIR
OG0000021	LOC120456471|XP_039499263.1|DSAN	LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC120445477|XP_039481858.1|DSAN	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR
OG0000022	LOC120449730|XP_039488293.1|DSAN, LOC120449731|XP_039488294.1|DSAN, LOC120449729|XP_039488292.1|DSAN	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR
OG0000023	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN	LOC6632666|XP_032289605.1|DVIR
OG0000023	LOC120454388|XP_039495572.1|DSAN	LOC6632669|XP_002056438.1|DVIR
OG0000023	LOC120444959|XP_039480909.1|DSAN	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC120453781|XP_039494563.1|DSAN	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC120453806|XP_039494614.1|DSAN	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC120450927|XP_039490127.1|DSAN	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC120453011|XP_039493460.1|DSAN	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC120450929|XP_039490129.1|DSAN	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC120445294|XP_039481531.1|DSAN, LOC120446529|XP_039483475.1|DSAN, LOC120446530|XP_039483476.1|DSAN, LOC120445292|XP_039481529.1|DSAN	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR
OG0000024	LOC120445293|XP_039481530.1|DSAN	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC120446616|XP_039483595.1|DSAN	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC120446257|XP_039483064.1|DSAN	LOC6625429|XP_002049266.1|DVIR
OG0000024	LOC120446965|XP_039484167.1|DSAN	LOC6625162|XP_002048929.1|DVIR
OG0000025	LOC120456451|XP_039499224.1|DSAN	LOC6635606|XP_002058949.1|DVIR
OG0000025	LOC120446199|XP_039482982.1|DSAN, LOC120457929|XP_039501366.1|DSAN	LOC6637233|XP_002060537.1|DVIR
OG0000026	LOC120456669|XP_039499542.1|DSAN	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC120458576|XP_039502209.1|DSAN	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC120453885|XP_039494736.1|DSAN	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC120458674|XP_039502344.1|DSAN	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC120458684|XP_039502355.1|DSAN	LOC6627465|XP_002052896.1|DVIR
OG0000028	LOC120447587|XP_039484989.1|DSAN	LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC120452245|XP_039492306.1|DSAN	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR
OG0000029	LOC120448524|XP_039486496.1|DSAN	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC120458250|XP_039501773.1|DSAN	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC120458849|XP_039502609.1|DSAN	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC120445779|XP_039482317.1|DSAN	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC120455262|XP_039497197.1|DSAN	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC120456032|XP_039498536.1|DSAN	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC120455351|XP_039497383.1|DSAN, LOC120458683|XP_039502393.1|DSAN, LOC120443942|XP_039479323.1|DSAN	LOC6634268|XP_002057550.2|DVIR
OG0000031	LOC120446453|XP_039483382.1|DSAN, LOC120444733|XP_039480594.1|DSAN, LOC120450501|XP_039489486.1|DSAN, LOC120458846|XP_039502606.1|DSAN, LOC120443941|XP_039479322.1|DSAN	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR
OG0000031	LOC120456119|XP_039498683.1|DSAN	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC120451694|XP_039491522.1|DSAN	LOC6629979|XP_002054337.1|DVIR
OG0000032	LOC120453694|XP_039494449.1|DSAN, LOC120453066|XP_039493525.1|DSAN, LOC120451611|XP_039491379.1|DSAN	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000033	LOC120445509|XP_039481901.1|DSAN, LOC120443742|XP_039478933.1|DSAN, LOC120443740|XP_039478930.1|DSAN	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC120443741|XP_039478932.1|DSAN	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR
OG0000034	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC120447093|XP_039484433.1|DSAN	LOC6627931|XP_002051997.2|DVIR
OG0000034	LOC120447092|XP_039484432.1|DSAN	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC120458883|XP_039502653.1|DSAN	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC120453442|XP_039494083.1|DSAN	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC120450981|XP_039490212.1|DSAN	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC120452669|XP_039492941.1|DSAN	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC120454541|XP_039495854.1|DSAN, LOC120454540|XP_039495853.1|DSAN	LOC6630607|XP_002054482.2|DVIR
OG0000037	LOC120445359|XP_039481651.1|DSAN	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN	LOC6629970|XP_002053079.1|DVIR
OG0000038	LOC120447582|XP_039484984.1|DSAN	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC120448623|XP_039486674.1|DSAN	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC120453556|XP_039494243.1|DSAN	LOC6630003|XP_002054716.2|DVIR
OG0000039	LOC120456815|XP_039499797.1|DSAN	LOC6631924|XP_002055751.1|DVIR
OG0000039	LOC120456766|XP_039499698.1|DSAN	LOC6636063|XP_002059594.1|DVIR
OG0000039	LOC120455951|XP_039498428.1|DSAN	LOC6636702|XP_002060175.3|DVIR
OG0000040	LOC120453842|XP_039494671.1|DSAN, LOC120453227|XP_039493756.1|DSAN	LOC6629625|XP_002054865.1|DVIR
OG0000040	LOC120453230|XP_039493764.1|DSAN	LOC6629626|XP_002054866.2|DVIR
OG0000040	LOC120453844|XP_039494674.1|DSAN, LOC120453843|XP_039494672.1|DSAN	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR
OG0000040	LOC120453846|XP_039494677.1|DSAN	LOC6629621|XP_002054861.1|DVIR
OG0000040	LOC120454621|XP_039496023.1|DSAN	LOC6629744|XP_002053886.1|DVIR
OG0000041	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN, LOC120453724|XP_039494486.1|DSAN, LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000042	LOC120446237|XP_039483042.1|DSAN, LOC120446238|XP_039483043.1|DSAN, LOC120446233|XP_039483037.1|DSAN, LOC120446235|XP_039483039.1|DSAN, LOC120446236|XP_039483040.1|DSAN	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR
OG0000043	LOC120453019|XP_039493471.1|DSAN	LOC6630320|XP_002053430.1|DVIR
