Orthogroup	DSAN.longest_only	DGUA.longest_only
OG0000000	LOC120454272|XP_039495370.1|DSAN	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC120454013|XP_039494937.1|DSAN	LOC117583189|XP_034127284.1|DGUA
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC120447883|XP_039485428.1|DSAN	LOC117589025|XP_034136545.1|DGUA
OG0000000	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN	LOC117588940|XP_034136409.1|DGUA
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC120453329|XP_039493924.1|DSAN	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA
OG0000000	LOC120444898|XP_039480821.1|DSAN	LOC117583194|XP_034127289.1|DGUA
OG0000000	LOC120453013|XP_039493463.1|DSAN	LOC117583318|XP_034127468.1|DGUA
OG0000000	LOC120444807|XP_039480688.1|DSAN	LOC117582218|XP_034125717.1|DGUA
OG0000000	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC120448603|XP_039486639.1|DSAN	LOC117592344|XP_034141927.1|DGUA
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA
OG0000003	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC120452715|XP_039493011.1|DSAN, LOC120446686|XP_039483713.1|DSAN	LOC117592350|XP_034141940.1|DGUA
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC120446973|XP_039484178.1|DSAN, LOC120446976|XP_039484181.1|DSAN	LOC117583299|XP_034127435.1|DGUA
OG0000003	LOC120446975|XP_039484180.1|DSAN, LOC120446688|XP_039483715.1|DSAN	LOC117592340|XP_034141928.1|DGUA
OG0000003	LOC120446977|XP_039484182.1|DSAN	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN	LOC117583987|XP_034128590.1|DGUA
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC117587981|XP_034134880.1|DGUA
OG0000005	LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN	LOC117581361|XP_034124384.1|DGUA
OG0000006	LOC120457930|XP_039501368.1|DSAN, LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN	LOC117591658|XP_034140872.1|DGUA
OG0000006	LOC120457935|XP_039501376.1|DSAN	LOC117591672|XP_034140886.1|DGUA
OG0000006	LOC120457940|XP_039501381.1|DSAN, LOC120446201|XP_039482984.1|DSAN, LOC120457933|XP_039501373.1|DSAN, LOC120457937|XP_039501378.1|DSAN, LOC120457936|XP_039501377.1|DSAN, LOC120457670|XP_039501096.1|DSAN	LOC117591645|XP_034140861.1|DGUA
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC120449309|XP_039487635.1|DSAN	LOC117587428|XP_034133991.1|DGUA
OG0000007	LOC120458533|XP_039502144.1|DSAN	LOC117584024|XP_034128652.1|DGUA
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC117592308|XP_034141873.1|DGUA
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC117584026|XP_034128654.1|DGUA
OG0000007	LOC120448331|XP_039486219.1|DSAN	LOC117587067|XP_034133401.1|DGUA
OG0000007	LOC120450012|XP_039488670.1|DSAN	LOC117584025|XP_034128653.1|DGUA
OG0000007	LOC120449828|XP_039488411.1|DSAN	LOC117587430|XP_034133997.1|DGUA
OG0000007	LOC120449911|XP_039488536.1|DSAN	LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC117579398|XP_034121168.1|DGUA
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC117579400|XP_034121171.1|DGUA
OG0000008	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	LOC120453871|XP_039494710.1|DSAN	LOC117586165|XP_034131957.1|DGUA
OG0000008	LOC120453053|XP_039493508.1|DSAN	LOC117586221|XP_034132048.1|DGUA
OG0000008	LOC120452274|XP_039492339.1|DSAN	LOC117586120|XP_034131875.1|DGUA
OG0000008	LOC120453887|XP_039494738.1|DSAN	LOC117586582|XP_034132641.1|DGUA
OG0000009	LOC120452846|XP_039493217.1|DSAN	LOC117586341|XP_034132234.1|DGUA
OG0000009	LOC120453968|XP_039494853.1|DSAN	LOC117586454|XP_034132388.1|DGUA
OG0000009	LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA
OG0000009	LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA
OG0000009	LOC120446532|XP_039483479.1|DSAN	LOC117587230|XP_034133688.1|DGUA
OG0000009	LOC120453301|XP_039493868.1|DSAN	LOC117586357|XP_034132268.1|DGUA
OG0000009	LOC120445192|XP_039481349.1|DSAN	LOC117588654|XP_034135988.1|DGUA
OG0000009	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC117588663|XP_034136000.1|DGUA
OG0000010	LOC120446204|XP_039482989.1|DSAN	LOC117591647|XP_034140863.1|DGUA, LOC117583778|XP_034128224.1|DGUA
OG0000010	LOC120457684|XP_039501107.1|DSAN	LOC117591688|XP_034140902.1|DGUA
OG0000010	LOC120446203|XP_039482988.1|DSAN, LOC120457971|XP_039501406.1|DSAN, LOC120457968|XP_039501404.1|DSAN, LOC120457970|XP_039501405.1|DSAN, LOC120457962|XP_039501399.1|DSAN	LOC117591679|XP_034140894.1|DGUA
OG0000011	LOC120456909|XP_039499973.1|DSAN, LOC120458387|XP_039501940.1|DSAN, LOC120458388|XP_039501941.1|DSAN, LOC120458054|XP_039501501.1|DSAN, LOC120458044|XP_039501490.1|DSAN, LOC120449699|XP_039488248.1|DSAN, LOC120454523|XP_039495825.1|DSAN, LOC120444818|XP_039480708.1|DSAN, LOC120447070|XP_039484395.1|DSAN, LOC120445760|XP_039482290.1|DSAN, LOC120454945|XP_039496647.1|DSAN	LOC117587656|XP_034134438.1|DGUA, LOC117584846|XP_034129875.1|DGUA, LOC117582569|XP_034126300.1|DGUA, LOC117582570|XP_034126301.1|DGUA, LOC117584825|XP_034129842.1|DGUA, LOC117584102|XP_034128742.1|DGUA, LOC117584843|XP_034129873.1|DGUA, LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA, LOC117582571|XP_034126303.1|DGUA, LOC117582572|XP_034126307.1|DGUA, LOC117582573|XP_034126310.1|DGUA
OG0000011	LOC120449538|XP_039487994.1|DSAN	LOC117579965|XP_034122030.1|DGUA
OG0000011	LOC120449537|XP_039487993.1|DSAN	LOC117579216|XP_034120874.1|DGUA
OG0000011	LOC120452178|XP_039492220.1|DSAN	LOC117585951|XP_034131639.1|DGUA
OG0000012	LOC120445821|XP_039482372.1|DSAN	LOC117578829|XP_034120480.1|DGUA
OG0000012	LOC120445820|XP_039482371.1|DSAN	LOC117578830|XP_034120484.1|DGUA
