Orthogroup	DSAN.longest_only	DMEL.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	CG33700|NP_001027121.3|DMEL
OG0000000	LOC120444734|XP_039480595.1|DSAN	CG33752|NP_001027409.1|DMEL
OG0000000	LOC120458328|XP_039501883.1|DSAN	CG33679|NP_001027273.1|DMEL
OG0000000	LOC120454013|XP_039494937.1|DSAN	CG33784|NP_001027169.1|DMEL
OG0000000	LOC120444836|XP_039480727.1|DSAN	CG33775|NP_001027410.1|DMEL
OG0000000	LOC120447883|XP_039485428.1|DSAN	CG33687|NP_001027130.2|DMEL
OG0000000	LOC120447886|XP_039485431.1|DSAN	CG33690|NP_001368948.1|DMEL
OG0000000	LOC120447820|XP_039485331.1|DSAN	CG33688|NP_001027131.1|DMEL
OG0000000	LOC120447882|XP_039485427.1|DSAN	CG33689|NP_001027132.2|DMEL
OG0000000	LOC120444952|XP_039480891.1|DSAN	CG12849|NP_611969.2|DMEL
OG0000000	LOC120453403|XP_039494026.1|DSAN	CG33654|NP_001027165.1|DMEL
OG0000000	LOC120453829|XP_039494657.1|DSAN	CG33920|NP_001027214.1|DMEL
OG0000000	LOC120453329|XP_039493924.1|DSAN	CG33773|NP_001027213.1|DMEL
OG0000000	LOC120443793|XP_039479056.1|DSAN	CG33723|NP_001027235.1|DMEL
OG0000000	LOC120454315|XP_039495452.1|DSAN	CG33658|NP_001027209.1|DMEL
OG0000000	LOC120446300|XP_039483141.1|DSAN	CG33798|NP_001027414.1|DMEL
OG0000000	LOC120444898|XP_039480821.1|DSAN	CG33463|NP_995846.2|DMEL
OG0000000	LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN	CG33764|NP_001027107.1|DMEL
OG0000000	LOC120458417|XP_039501988.1|DSAN	CG33632|NP_001036537.1|DMEL
OG0000000	LOC120458841|XP_039502600.1|DSAN	CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL
OG0000000	LOC120447669|XP_039485129.1|DSAN	CG33777|NP_001027108.1|DMEL
OG0000000	LOC120453354|XP_039493961.1|DSAN	CG33483|NP_001189327.1|DMEL
OG0000000	LOC120453013|XP_039493463.1|DSAN	CG33721|NP_001036743.1|DMEL
OG0000000	LOC120444807|XP_039480688.1|DSAN	CG33928|NP_001027276.1|DMEL
OG0000000	LOC120446643|XP_039483646.1|DSAN	CG33453|NP_995888.1|DMEL
OG0000000	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN	CG13590|NP_611919.1|DMEL
OG0000000	LOC120444942|XP_039480879.1|DSAN	CG13589|NP_611918.2|DMEL
OG0000000	LOC120454169|XP_039495171.1|DSAN	CG14518|NP_651653.2|DMEL
