Orthogroup	DSAN.longest_only	AEAL.longest_only
OG0000001	LOC120450630|XP_039489712.1|DSAN, LOC120453894|XP_039494745.1|DSAN, LOC120448972|XP_039487206.1|DSAN, LOC120452701|XP_039492991.1|DSAN	LOC115266839|XP_029729303.1|AEAL, LOC109406607|XP_019535244.2|AEAL, LOC109400564|XP_019528597.2|AEAL, LOC109404313|XP_029722627.1|AEAL
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL, LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL
OG0000005	LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN	LOC115255470|XP_029709453.1|AEAL, LOC115262910|XP_029721668.1|AEAL, LOC109621766|XP_019931446.2|AEAL, LOC115265236|XP_029725377.1|AEAL, LOC115263152|XP_029721939.1|AEAL, LOC115261259|XP_029718493.1|AEAL, LOC115261266|XP_029718501.1|AEAL, LOC115261255|XP_029718489.1|AEAL, LOC115261257|XP_029718491.1|AEAL, LOC115261289|XP_029718530.1|AEAL, LOC115261597|XP_029719357.1|AEAL, LOC115261594|XP_029719355.1|AEAL, LOC115261223|XP_029718457.1|AEAL, LOC115261254|XP_029718488.1|AEAL, LOC115261256|XP_029718490.1|AEAL, LOC115261258|XP_029718492.1|AEAL, LOC115261260|XP_029718495.1|AEAL, LOC109398605|XP_019526537.1|AEAL, LOC109398661|XP_029714684.1|AEAL
OG0000006	LOC120457932|XP_039501372.1|DSAN	LOC109431199|XP_019562958.1|AEAL
OG0000006	LOC120457931|XP_039501371.1|DSAN	LOC109431221|XP_019562978.1|AEAL, LOC109621653|XP_019931303.1|AEAL
OG0000006	LOC120457670|XP_039501096.1|DSAN	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL
OG0000007	LOC120450299|XP_039489171.1|DSAN, LOC120449593|XP_039488092.1|DSAN, LOC120449309|XP_039487635.1|DSAN, LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN, LOC120458533|XP_039502144.1|DSAN, LOC120455948|XP_039498425.1|DSAN, LOC120453571|XP_039494262.1|DSAN, LOC120453413|XP_039494045.1|DSAN, LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN, LOC120458508|XP_039502112.1|DSAN, LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN, LOC120449828|XP_039488411.1|DSAN, LOC120449911|XP_039488536.1|DSAN	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL, LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC109409014|XP_019537968.1|AEAL
