Orthogroup	DSAN.longest_only	DMIR.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	LOC108150869|XP_017134661.1|DMIR
OG0000000	LOC120454272|XP_039495370.1|DSAN	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR
OG0000000	LOC120444734|XP_039480595.1|DSAN	LOC117187734|XP_033246410.1|DMIR
OG0000000	LOC120458328|XP_039501883.1|DSAN	LOC108158045|XP_017145679.2|DMIR
OG0000000	LOC120454013|XP_039494937.1|DSAN	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR
OG0000000	LOC120447883|XP_039485428.1|DSAN	LOC117185812|XP_033243800.1|DMIR
OG0000000	LOC120447886|XP_039485431.1|DSAN	LOC108165373|XP_017156898.2|DMIR
OG0000000	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN	LOC108151290|XP_017135310.1|DMIR
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	LOC120453403|XP_039494026.1|DSAN, LOC120453829|XP_039494657.1|DSAN	LOC108153842|XP_033245237.1|DMIR
OG0000000	LOC120453329|XP_039493924.1|DSAN	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR
OG0000000	LOC120454324|XP_039495461.1|DSAN	LOC108154033|XP_017139614.1|DMIR
OG0000000	LOC120453013|XP_039493463.1|DSAN	LOC108153951|XP_017139538.1|DMIR
OG0000000	LOC120444807|XP_039480688.1|DSAN	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR
OG0000000	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC108154608|XP_017140414.2|DMIR
OG0000001	LOC120445604|XP_039482044.1|DSAN	LOC117188214|XP_033247602.1|DMIR, LOC117191840|XP_033252499.1|DMIR, LOC117190823|XP_033251752.1|DMIR, LOC117192642|XP_033253256.1|DMIR, LOC117188305|XP_033247831.1|DMIR, LOC117186228|XP_033242549.1|DMIR, LOC117193366|XP_033253976.1|DMIR, LOC117190168|XP_033251121.1|DMIR, LOC117188399|XP_033248125.1|DMIR
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC108159521|XP_017148375.1|DMIR
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC108152350|XP_017137109.1|DMIR
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC108161232|XP_017150945.1|DMIR
OG0000003	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN	LOC108160528|XP_017150077.1|DMIR
OG0000003	LOC120452715|XP_039493011.1|DSAN, LOC120446686|XP_039483713.1|DSAN	LOC108160529|XP_017150078.1|DMIR
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC108160375|XP_017149841.1|DMIR
OG0000003	LOC120446973|XP_039484178.1|DSAN, LOC120446976|XP_039484181.1|DSAN	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR
OG0000003	LOC120446975|XP_039484180.1|DSAN, LOC120446688|XP_039483715.1|DSAN	LOC108160818|XP_017150534.1|DMIR
OG0000003	LOC120446977|XP_039484182.1|DSAN	LOC108160275|XP_017149646.1|DMIR
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR
OG0000003	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC108163634|XP_017154532.1|DMIR
OG0000005	LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN	LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR
OG0000006	LOC120457931|XP_039501371.1|DSAN	LOC117187301|XP_033245562.1|DMIR
OG0000006	LOC120457937|XP_039501378.1|DSAN, LOC120457936|XP_039501377.1|DSAN, LOC120457670|XP_039501096.1|DSAN	LOC108156704|XP_017143842.2|DMIR
OG0000007	LOC120450299|XP_039489171.1|DSAN	LOC108153040|XP_017138288.1|DMIR
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR
OG0000007	LOC120449309|XP_039487635.1|DSAN	LOC108152481|XP_017137344.1|DMIR
OG0000007	LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN	LOC108152482|XP_017137345.1|DMIR
OG0000007	LOC120458533|XP_039502144.1|DSAN	LOC108163948|XP_017154978.1|DMIR
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC108164248|XP_017155372.1|DMIR
OG0000007	LOC120448331|XP_039486219.1|DSAN	LOC108165521|XP_017157067.1|DMIR
OG0000007	LOC120450012|XP_039488670.1|DSAN	LOC108164169|XP_017155268.2|DMIR
OG0000007	LOC120449828|XP_039488411.1|DSAN	LOC108152483|XP_017137346.1|DMIR
OG0000007	LOC120449911|XP_039488536.1|DSAN	LOC108152484|XP_017137347.1|DMIR
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC108154982|XP_017141010.1|DMIR
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC108151537|XP_017135681.1|DMIR
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC108151536|XP_017135679.1|DMIR
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC108161577|XP_017151355.1|DMIR
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC108151539|XP_017135683.2|DMIR
OG0000008	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN	LOC108154402|XP_017140161.1|DMIR
OG0000008	LOC120453871|XP_039494710.1|DSAN	LOC108153895|XP_033244232.1|DMIR
OG0000008	LOC120453053|XP_039493508.1|DSAN	LOC108154515|XP_017140305.2|DMIR
OG0000008	LOC120452274|XP_039492339.1|DSAN	LOC108153896|XP_017139483.1|DMIR
OG0000008	LOC120453887|XP_039494738.1|DSAN	LOC108154491|XP_017140280.1|DMIR
OG0000009	LOC120452846|XP_039493217.1|DSAN	LOC108157813|XP_017145500.1|DMIR
OG0000009	LOC120453968|XP_039494853.1|DSAN	LOC108154360|XP_017140115.1|DMIR
OG0000009	LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR
OG0000009	LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR
OG0000009	LOC120446532|XP_039483479.1|DSAN	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR
OG0000009	LOC120453301|XP_039493868.1|DSAN	LOC108154377|XP_017140130.1|DMIR
OG0000009	LOC120445192|XP_039481349.1|DSAN	LOC108160943|XP_017150721.1|DMIR
OG0000009	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC108158336|XP_017146065.1|DMIR
OG0000010	LOC120446204|XP_039482989.1|DSAN	LOC117187311|XP_033245575.1|DMIR, LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR
OG0000010	LOC120457684|XP_039501107.1|DSAN, LOC120457972|XP_039501407.1|DSAN	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR
OG0000010	LOC120457962|XP_039501399.1|DSAN	LOC117187316|XP_033245580.1|DMIR
OG0000011	LOC120456909|XP_039499973.1|DSAN, LOC120458387|XP_039501940.1|DSAN, LOC120458388|XP_039501941.1|DSAN, LOC120458054|XP_039501501.1|DSAN, LOC120458044|XP_039501490.1|DSAN, LOC120449699|XP_039488248.1|DSAN, LOC120454523|XP_039495825.1|DSAN, LOC120444818|XP_039480708.1|DSAN, LOC120447070|XP_039484395.1|DSAN, LOC120445760|XP_039482290.1|DSAN, LOC120454945|XP_039496647.1|DSAN	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR
OG0000011	LOC120449538|XP_039487994.1|DSAN	LOC108165384|XP_017156911.1|DMIR
OG0000011	LOC120449537|XP_039487993.1|DSAN	LOC108153161|XP_017138453.1|DMIR
OG0000011	LOC120452178|XP_039492220.1|DSAN	LOC108154131|XP_017139754.1|DMIR
OG0000012	LOC120445821|XP_039482372.1|DSAN	LOC108159199|XP_017147755.1|DMIR
OG0000012	LOC120445820|XP_039482371.1|DSAN	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR
OG0000012	LOC120446192|XP_039482973.1|DSAN	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR
OG0000012	LOC120446256|XP_039483062.1|DSAN	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR
OG0000012	LOC120444865|XP_039480765.1|DSAN	LOC108160910|XP_017150675.1|DMIR
OG0000012	LOC120445730|XP_039482234.1|DSAN	LOC108158925|XP_017147218.1|DMIR
OG0000012	LOC120446629|XP_039483624.1|DSAN	LOC108158929|XP_017147224.1|DMIR
OG0000012	LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN	LOC108158928|XP_017147221.1|DMIR
OG0000012	LOC120446006|XP_039482689.1|DSAN	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR
OG0000012	LOC120446007|XP_039482691.1|DSAN	LOC108158927|XP_017147219.1|DMIR
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC108152903|XP_017138042.1|DMIR
OG0000013	LOC120450753|XP_039489810.1|DSAN	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR
OG0000013	LOC120447659|XP_039485107.1|DSAN	LOC108151516|XP_033243870.1|DMIR
OG0000013	LOC120452623|XP_039492863.1|DSAN	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR
OG0000013	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR
OG0000014	LOC120450089|XP_039488815.1|DSAN	LOC117194202|XP_033254747.1|DMIR
OG0000014	LOC120457516|XP_039500998.1|DSAN	LOC117186505|XP_033243277.1|DMIR
OG0000014	LOC120458585|XP_039502218.1|DSAN	LOC117193488|XP_033254130.1|DMIR
OG0000015	LOC120445789|XP_039482329.1|DSAN	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR
