Orthogroup	DSAN.longest_only	CPIP.longest_only
OG0000001	LOC120449510|XP_039487947.1|DSAN	LOC120431875|XP_039452940.1|CPIP
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC120432609|XP_039453790.1|CPIP, LOC120426099|XP_039446736.1|CPIP, LOC120422400|XP_039441752.1|CPIP, LOC120426484|XP_039447184.1|CPIP, LOC120414036|XP_039430992.1|CPIP, LOC120421041|XP_039440119.1|CPIP, LOC120421040|XP_039440118.1|CPIP, LOC120420327|XP_039439256.1|CPIP, LOC120428552|XP_039449518.1|CPIP, LOC120419373|XP_039437975.1|CPIP, LOC120419367|XP_039437970.1|CPIP, LOC120419375|XP_039437981.1|CPIP, LOC120419374|XP_039437979.1|CPIP
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC120419546|XP_039438193.1|CPIP, LOC120419521|XP_039438165.1|CPIP, LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP, LOC120421142|XP_039440266.1|CPIP, LOC120424995|XP_039445299.1|CPIP, LOC120422665|XP_039442103.1|CPIP, LOC120422680|XP_039442124.1|CPIP, LOC120420901|XP_039439958.1|CPIP, LOC120422657|XP_039442096.1|CPIP, LOC120422666|XP_039442104.1|CPIP, LOC120422654|XP_039442094.1|CPIP, LOC120422658|XP_039442097.1|CPIP, LOC120420898|XP_039439952.1|CPIP, LOC120419545|XP_039438192.1|CPIP, LOC120419977|XP_039438786.1|CPIP, LOC120424991|XP_039445294.1|CPIP
OG0000006	LOC120457670|XP_039501096.1|DSAN	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP
OG0000007	LOC120450299|XP_039489171.1|DSAN, LOC120449593|XP_039488092.1|DSAN, LOC120449309|XP_039487635.1|DSAN, LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN, LOC120458533|XP_039502144.1|DSAN, LOC120455948|XP_039498425.1|DSAN, LOC120453571|XP_039494262.1|DSAN, LOC120453413|XP_039494045.1|DSAN, LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN, LOC120458508|XP_039502112.1|DSAN, LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN, LOC120449828|XP_039488411.1|DSAN, LOC120449911|XP_039488536.1|DSAN	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC120421619|XP_039440783.1|CPIP
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC120421726|XP_039440908.1|CPIP
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC120421683|XP_039440852.1|CPIP
