Orthogroup	DSAN.longest_only	DSUP.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP
OG0000000	LOC120458328|XP_039501883.1|DSAN	LOC119548573|XP_037711818.1|DSUP
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC119551998|XP_037717650.1|DSUP
OG0000000	LOC120447883|XP_039485428.1|DSAN	LOC119555358|XP_037722624.1|DSUP
OG0000000	LOC120447886|XP_039485431.1|DSAN	LOC119555354|XP_037722619.1|DSUP
OG0000000	LOC120447820|XP_039485331.1|DSAN	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP
OG0000000	LOC120447882|XP_039485427.1|DSAN	LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC120453329|XP_039493924.1|DSAN	LOC119554400|XP_037721217.1|DSUP
OG0000000	LOC120443793|XP_039479056.1|DSAN	LOC119546175|XP_037708225.1|DSUP
OG0000000	LOC120444898|XP_039480821.1|DSAN	LOC119549570|XP_037713651.1|DSUP
OG0000000	LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN, LOC120458417|XP_039501988.1|DSAN, LOC120455242|XP_039497157.1|DSAN, LOC120443964|XP_039479362.1|DSAN	LOC119555097|XP_037722243.1|DSUP
OG0000000	LOC120458841|XP_039502600.1|DSAN	LOC119548144|XP_037711170.1|DSUP
OG0000000	LOC120454324|XP_039495461.1|DSAN	LOC119554309|XP_037721101.1|DSUP
OG0000000	LOC120453354|XP_039493961.1|DSAN	LOC119563229|XP_037732462.1|DSUP
OG0000000	LOC120444807|XP_039480688.1|DSAN	LOC119546339|XP_037708468.1|DSUP
OG0000000	LOC120446643|XP_039483646.1|DSAN	LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP
OG0000000	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC119563146|XP_037732330.1|DSUP
OG0000000	LOC120453562|XP_039494248.1|DSAN	LOC119560562|XP_037730007.1|DSUP
OG0000000	LOC120447885|XP_039485430.1|DSAN	LOC119552808|XP_037718574.1|DSUP
OG0000000	LOC120447884|XP_039485429.1|DSAN	LOC119555360|XP_037722626.1|DSUP
OG0000000	LOC120448603|XP_039486639.1|DSAN	LOC119555832|XP_037723387.1|DSUP
OG0000001	LOC120457602|XP_039501048.1|DSAN	LOC119561839|XP_037731247.1|DSUP
OG0000001	LOC120449510|XP_039487947.1|DSAN	LOC119561984|XP_037731306.1|DSUP
OG0000002	LOC120446478|XP_039483414.1|DSAN	LOC119550810|XP_037715678.1|DSUP
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP
OG0000002	LOC120448038|XP_039485719.1|DSAN	LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP
OG0000003	LOC120446974|XP_039484179.1|DSAN	LOC119549193|XP_037712950.1|DSUP
OG0000003	LOC120446687|XP_039483714.1|DSAN	LOC119549691|XP_037713842.1|DSUP
OG0000003	LOC120452715|XP_039493011.1|DSAN	LOC119553060|XP_037719113.1|DSUP
OG0000003	LOC120446686|XP_039483713.1|DSAN	LOC119549692|XP_037713843.1|DSUP
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC119548975|XP_037712493.1|DSUP
OG0000003	LOC120446973|XP_039484178.1|DSAN	LOC119549192|XP_037712949.1|DSUP
OG0000003	LOC120446976|XP_039484181.1|DSAN	LOC119549585|XP_037713671.1|DSUP
OG0000003	LOC120446688|XP_039483715.1|DSAN	LOC119550953|XP_037715907.1|DSUP
OG0000003	LOC120446977|XP_039484182.1|DSAN	LOC119549586|XP_037713672.1|DSUP
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC119551761|XP_037717216.1|DSUP
OG0000003	LOC120458377|XP_039501931.1|DSAN	LOC119551759|XP_037717214.1|DSUP
OG0000003	LOC120458378|XP_039501932.1|DSAN	LOC119551760|XP_037717215.1|DSUP
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC119546510|XP_037708761.1|DSUP
OG0000005	LOC120457948|XP_039501388.1|DSAN	LOC119559198|XP_037728191.1|DSUP
OG0000005	LOC120457950|XP_039501390.1|DSAN	LOC119559194|XP_037728183.1|DSUP, LOC119547945|XP_037710922.1|DSUP, LOC119559201|XP_037728196.1|DSUP
OG0000005	LOC120457955|XP_039501394.1|DSAN	LOC119559197|XP_037728189.1|DSUP
OG0000005	LOC120457946|XP_039501386.1|DSAN	LOC119561470|XP_037731051.1|DSUP
OG0000005	LOC120457671|XP_039501098.1|DSAN	LOC119559196|XP_037728187.1|DSUP
OG0000005	LOC120457952|XP_039501392.1|DSAN	LOC119546624|XP_037708989.1|DSUP
OG0000005	LOC120457949|XP_039501389.1|DSAN	LOC119561415|XP_037730997.1|DSUP
OG0000006	LOC120457932|XP_039501372.1|DSAN	LOC119546623|XP_037708988.1|DSUP
OG0000006	LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN	LOC119559257|XP_037728256.1|DSUP
OG0000006	LOC120457935|XP_039501376.1|DSAN	LOC119559184|XP_037728173.1|DSUP
OG0000006	LOC120457936|XP_039501377.1|DSAN, LOC120457670|XP_039501096.1|DSAN	LOC119547943|XP_037710919.1|DSUP
OG0000007	LOC120450299|XP_039489171.1|DSAN	LOC119555653|XP_037723160.1|DSUP
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC119554492|XP_037721353.1|DSUP
OG0000007	LOC120449309|XP_039487635.1|DSAN	LOC119554489|XP_037721348.1|DSUP
OG0000007	LOC120449521|XP_039487968.1|DSAN	LOC119554495|XP_037721355.1|DSUP
OG0000007	LOC120448495|XP_039486458.1|DSAN	LOC119554490|XP_037721351.1|DSUP
OG0000007	LOC120458533|XP_039502144.1|DSAN	LOC119546692|XP_037709098.1|DSUP
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC119550735|XP_037715578.1|DSUP
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC119546891|XP_037709439.1|DSUP
OG0000007	LOC120448335|XP_039486223.1|DSAN	LOC119553820|XP_037720375.1|DSUP
OG0000007	LOC120448331|XP_039486219.1|DSAN	LOC119553445|XP_037719763.1|DSUP
OG0000007	LOC120450012|XP_039488670.1|DSAN	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP
OG0000007	LOC120449911|XP_039488536.1|DSAN	LOC119554496|XP_037721356.1|DSUP
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC119554295|XP_037721083.1|DSUP
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC119546547|XP_037708827.1|DSUP
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC119554296|XP_037721084.1|DSUP
OG0000008	LOC120456894|XP_039499926.1|DSAN	LOC119556861|XP_037725260.1|DSUP
OG0000008	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN	LOC119560392|XP_037729748.1|DSUP
OG0000008	LOC120453056|XP_039493512.1|DSAN	LOC119560393|XP_037729749.1|DSUP
OG0000008	LOC120453871|XP_039494710.1|DSAN	LOC119560395|XP_037729751.1|DSUP
OG0000008	LOC120452274|XP_039492339.1|DSAN	LOC119560394|XP_037729750.1|DSUP
OG0000008	LOC120453887|XP_039494738.1|DSAN	LOC119560107|XP_037729380.1|DSUP
OG0000009	LOC120452846|XP_039493217.1|DSAN	LOC119560146|XP_037729428.1|DSUP
OG0000009	LOC120453968|XP_039494853.1|DSAN	LOC119560480|XP_037729870.1|DSUP
OG0000009	LOC120454581|XP_039495924.1|DSAN	LOC119560408|XP_037729769.1|DSUP
OG0000009	LOC120452847|XP_039493218.1|DSAN	LOC119560481|XP_037729871.1|DSUP
OG0000009	LOC120446532|XP_039483479.1|DSAN	LOC119550480|XP_037715097.1|DSUP
OG0000009	LOC120453301|XP_039493868.1|DSAN	LOC119560195|XP_037729489.1|DSUP
OG0000009	LOC120445192|XP_039481349.1|DSAN	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP
OG0000009	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP
OG0000010	LOC120446204|XP_039482989.1|DSAN	LOC119559209|XP_037728208.1|DSUP, LOC119547995|XP_037710980.1|DSUP, LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP, LOC119559208|XP_037728207.1|DSUP
OG0000010	LOC120457684|XP_039501107.1|DSAN	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP, LOC119559234|XP_037728233.1|DSUP
OG0000010	LOC120457962|XP_039501399.1|DSAN	LOC119547947|XP_037710925.1|DSUP
OG0000011	LOC120456909|XP_039499973.1|DSAN	LOC119558003|XP_037727039.1|DSUP
OG0000011	LOC120458387|XP_039501940.1|DSAN	LOC119548095|XP_037711111.1|DSUP, LOC119548094|XP_037711110.1|DSUP, LOC119548461|XP_037711657.1|DSUP, LOC119548363|XP_037711507.1|DSUP
OG0000011	LOC120458388|XP_039501941.1|DSAN	LOC119548364|XP_037711508.1|DSUP
OG0000011	LOC120458054|XP_039501501.1|DSAN, LOC120458044|XP_039501490.1|DSAN	LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP
OG0000011	LOC120449699|XP_039488248.1|DSAN	LOC119555066|XP_037722201.1|DSUP
OG0000011	LOC120454523|XP_039495825.1|DSAN	LOC119547435|XP_037710223.1|DSUP
OG0000011	LOC120444818|XP_039480708.1|DSAN	LOC119546050|XP_037708041.1|DSUP
OG0000011	LOC120445760|XP_039482290.1|DSAN	LOC119547347|XP_037710088.1|DSUP
OG0000011	LOC120454945|XP_039496647.1|DSAN	LOC119556682|XP_037724981.1|DSUP
OG0000011	LOC120449538|XP_039487994.1|DSAN	LOC119554627|XP_037721551.1|DSUP
OG0000011	LOC120449537|XP_039487993.1|DSAN	LOC119554626|XP_037721550.1|DSUP
OG0000011	LOC120452178|XP_039492220.1|DSAN	LOC119554762|XP_037721730.1|DSUP
OG0000012	LOC120445821|XP_039482372.1|DSAN	LOC119550822|XP_037715693.1|DSUP
OG0000012	LOC120445820|XP_039482371.1|DSAN	LOC119550821|XP_037715691.1|DSUP
OG0000012	LOC120446192|XP_039482973.1|DSAN	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP
OG0000012	LOC120446256|XP_039483062.1|DSAN	LOC119551494|XP_037716788.1|DSUP
OG0000012	LOC120444865|XP_039480765.1|DSAN	LOC119550378|XP_037714954.1|DSUP
OG0000012	LOC120445730|XP_039482234.1|DSAN	LOC119549965|XP_037714285.1|DSUP
OG0000012	LOC120446629|XP_039483624.1|DSAN	LOC119551851|XP_037717353.1|DSUP
OG0000012	LOC120446410|XP_039483290.1|DSAN	LOC119551850|XP_037717352.1|DSUP
OG0000012	LOC120445226|XP_039481417.1|DSAN	LOC119550449|XP_037715053.1|DSUP
OG0000012	LOC120446006|XP_039482689.1|DSAN	LOC119551476|XP_037716767.1|DSUP
OG0000012	LOC120446007|XP_039482691.1|DSAN	LOC119551477|XP_037716768.1|DSUP
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC119549437|XP_037713458.1|DSUP
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC119558255|XP_037727511.1|DSUP
OG0000013	LOC120450753|XP_039489810.1|DSAN	LOC119563541|XP_037732953.1|DSUP
OG0000013	LOC120447659|XP_039485107.1|DSAN	LOC119555401|XP_037722683.1|DSUP
OG0000013	LOC120450808|XP_039489911.1|DSAN	LOC119556345|XP_037724379.1|DSUP
OG0000013	LOC120452623|XP_039492863.1|DSAN	LOC119545787|XP_037707587.1|DSUP
OG0000013	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP
OG0000015	LOC120446987|XP_039484221.1|DSAN	LOC119548635|XP_037711952.1|DSUP
OG0000015	LOC120456360|XP_039499095.1|DSAN	LOC119546298|XP_037708414.1|DSUP, LOC119546326|XP_037708454.1|DSUP
OG0000015	LOC120458799|XP_039502526.1|DSAN	LOC119547138|XP_037709780.1|DSUP
OG0000015	LOC120458791|XP_039502509.1|DSAN	LOC119547086|XP_037709714.1|DSUP
OG0000015	LOC120445789|XP_039482329.1|DSAN	LOC119550622|XP_037715380.1|DSUP
OG0000015	LOC120454309|XP_039495442.1|DSAN	LOC119546949|XP_037709517.1|DSUP
OG0000016	LOC120451140|XP_039490495.1|DSAN	LOC119560964|XP_037730645.1|DSUP
OG0000016	LOC120444605|XP_039480314.1|DSAN	LOC119551792|XP_037717267.1|DSUP
