Orthogroup	DSAN.longest_only	CQUI.longest_only
OG0000001	LOC120449510|XP_039487947.1|DSAN	LOC119770898|XP_038122395.1|CQUI, LOC119769341|XP_038117296.1|CQUI
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI
OG0000006	LOC120457930|XP_039501368.1|DSAN, LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN	LOC6045306|XP_001862695.1|CQUI
OG0000006	LOC120457670|XP_039501096.1|DSAN	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI
OG0000007	LOC120450299|XP_039489171.1|DSAN, LOC120449593|XP_039488092.1|DSAN, LOC120449309|XP_039487635.1|DSAN, LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN, LOC120458533|XP_039502144.1|DSAN, LOC120455948|XP_039498425.1|DSAN, LOC120453571|XP_039494262.1|DSAN, LOC120453413|XP_039494045.1|DSAN, LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN, LOC120458508|XP_039502112.1|DSAN, LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN, LOC120449828|XP_039488411.1|DSAN, LOC120449911|XP_039488536.1|DSAN	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC6041962|XP_038113753.1|CQUI
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC6035809|XP_001845931.2|CQUI
