Orthogroup	DSAN.longest_only	DALB.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	LOC117572321|XP_034110946.1|DALB
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB
OG0000000	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC117566676|XP_034102114.1|DALB
OG0000000	LOC120453403|XP_039494026.1|DSAN, LOC120453829|XP_039494657.1|DSAN, LOC120453329|XP_039493924.1|DSAN, LOC120443793|XP_039479056.1|DSAN, LOC120454315|XP_039495452.1|DSAN, LOC120446300|XP_039483141.1|DSAN, LOC120444898|XP_039480821.1|DSAN, LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN, LOC120458417|XP_039501988.1|DSAN, LOC120455242|XP_039497157.1|DSAN, LOC120443964|XP_039479362.1|DSAN, LOC120458841|XP_039502600.1|DSAN, LOC120447669|XP_039485129.1|DSAN, LOC120454324|XP_039495461.1|DSAN, LOC120453354|XP_039493961.1|DSAN, LOC120453013|XP_039493463.1|DSAN, LOC120444807|XP_039480688.1|DSAN	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC120453562|XP_039494248.1|DSAN	LOC117566658|XP_034102093.1|DALB
OG0000000	LOC120447885|XP_039485430.1|DSAN, LOC120447884|XP_039485429.1|DSAN	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB
OG0000000	LOC120448603|XP_039486639.1|DSAN	LOC117570317|XP_034107750.1|DALB
OG0000001	LOC120457515|XP_039500997.1|DSAN, LOC120444320|XP_039479805.1|DSAN	LOC117573170|XP_034112033.1|DALB
OG0000001	LOC120445604|XP_039482044.1|DSAN	LOC117577421|XP_034118225.1|DALB, LOC117563691|XP_034098027.1|DALB, LOC117577317|XP_034118173.1|DALB
OG0000002	LOC120446478|XP_039483414.1|DSAN	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC120448038|XP_039485719.1|DSAN	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB
OG0000003	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
