Orthogroup	DSAN.longest_only	DSIM.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM
OG0000000	LOC120454272|XP_039495370.1|DSAN	LOC27208741|XP_016036703.2|DSIM
OG0000000	LOC120444734|XP_039480595.1|DSAN	LOC6734181|XP_016027194.1|DSIM
OG0000000	LOC120458328|XP_039501883.1|DSAN	LOC6732391|XP_002079512.1|DSIM
OG0000000	LOC120454013|XP_039494937.1|DSAN	LOC6728685|XP_002104021.1|DSIM
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC120447883|XP_039485428.1|DSAN	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC120447886|XP_039485431.1|DSAN	LOC6738257|XP_016032137.1|DSIM
OG0000000	LOC120447820|XP_039485331.1|DSAN	LOC6738255|XP_016032135.1|DSIM
OG0000000	LOC120447882|XP_039485427.1|DSAN	LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC120453403|XP_039494026.1|DSAN	LOC6728763|XP_002104098.1|DSIM
OG0000000	LOC120453829|XP_039494657.1|DSAN	LOC6730295|XP_016037057.1|DSIM
OG0000000	LOC120453329|XP_039493924.1|DSAN	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC120443793|XP_039479056.1|DSAN	LOC6731633|XP_002078773.1|DSIM
OG0000000	LOC120454315|XP_039495452.1|DSAN	LOC6729478|XP_002104788.3|DSIM
OG0000000	LOC120446300|XP_039483141.1|DSAN	LOC6734251|XP_039147854.1|DSIM
OG0000000	LOC120444898|XP_039480821.1|DSAN	LOC6734670|XP_039148016.1|DSIM
OG0000000	LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN	LOC27209298|XP_016030381.1|DSIM
OG0000000	LOC120458417|XP_039501988.1|DSAN	LOC6734178|XP_002081207.1|DSIM
OG0000000	LOC120458841|XP_039502600.1|DSAN	LOC6730565|XP_016023011.1|DSIM, LOC6730566|XP_002077745.1|DSIM
OG0000000	LOC120447669|XP_039485129.1|DSAN	LOC6736799|XP_039149212.1|DSIM
OG0000000	LOC120454324|XP_039495461.1|DSAN	LOC6730283|XP_016037045.1|DSIM
OG0000000	LOC120453354|XP_039493961.1|DSAN	LOC6730282|XP_002105565.2|DSIM
OG0000000	LOC120453013|XP_039493463.1|DSAN	LOC6729069|XP_016035716.1|DSIM
OG0000000	LOC120444807|XP_039480688.1|DSAN	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC120446643|XP_039483646.1|DSAN	LOC6735228|XP_002082201.1|DSIM
OG0000000	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN	LOC6736069|XP_002082970.1|DSIM
OG0000000	LOC120444942|XP_039480879.1|DSAN	LOC6736068|XP_002082969.1|DSIM
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC6729989|XP_002105283.1|DSIM
OG0000000	LOC120453562|XP_039494248.1|DSAN	LOC6726722|XP_002102133.3|DSIM
OG0000000	LOC120447885|XP_039485430.1|DSAN	LOC6738252|XP_002085064.1|DSIM
OG0000000	LOC120447884|XP_039485429.1|DSAN	LOC6738253|XP_039150090.1|DSIM
OG0000000	LOC120448603|XP_039486639.1|DSAN	LOC6737828|XP_002084656.1|DSIM
OG0000001	LOC120457515|XP_039500997.1|DSAN, LOC120444320|XP_039479805.1|DSAN	LOC120284346|XP_039147371.1|DSIM, LOC120284769|XP_039149499.1|DSIM, LOC120284971|XP_039150785.1|DSIM
OG0000001	LOC120450630|XP_039489712.1|DSAN, LOC120453894|XP_039494745.1|DSAN, LOC120448972|XP_039487206.1|DSAN, LOC120452701|XP_039492991.1|DSAN	LOC120285672|XP_039154228.1|DSIM, LOC120284833|XP_039150170.1|DSIM, LOC120284434|XP_039148214.1|DSIM
OG0000001	LOC120449510|XP_039487947.1|DSAN	LOC120284706|XP_039149044.1|DSIM
OG0000002	LOC120446478|XP_039483414.1|DSAN	LOC6734821|XP_002081824.1|DSIM
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC6738777|XP_016032596.1|DSIM
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC6731201|XP_002078360.1|DSIM
OG0000003	LOC120446974|XP_039484179.1|DSAN	LOC6734558|XP_002081567.1|DSIM
OG0000003	LOC120446687|XP_039483714.1|DSAN	LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC120452715|XP_039493011.1|DSAN	LOC6729847|XP_016036585.1|DSIM
OG0000003	LOC120446686|XP_039483713.1|DSAN	LOC6734561|XP_002081570.1|DSIM
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC120446976|XP_039484181.1|DSAN	LOC6734555|XP_002081564.3|DSIM
OG0000003	LOC120446688|XP_039483715.1|DSAN	LOC6734559|XP_002081568.1|DSIM
OG0000003	LOC120446977|XP_039484182.1|DSAN	LOC6734554|XP_039147555.1|DSIM
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC6733557|XP_016026506.1|DSIM
OG0000003	LOC120458377|XP_039501931.1|DSAN	LOC6733555|XP_039148197.1|DSIM
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC6731100|XP_002078257.3|DSIM
OG0000004	LOC120457677|XP_039501102.1|DSAN, LOC120457917|XP_039501356.1|DSAN, LOC120457922|XP_039501362.1|DSAN, LOC120457921|XP_039501361.1|DSAN, LOC120457915|XP_039501354.1|DSAN, LOC120457914|XP_039501353.1|DSAN, LOC120457919|XP_039501359.1|DSAN, LOC120446198|XP_039482981.1|DSAN, LOC120457920|XP_039501360.1|DSAN, LOC120457916|XP_039501355.1|DSAN, LOC120457918|XP_039501357.1|DSAN, LOC120457924|XP_039501363.1|DSAN, LOC120457925|XP_039501364.1|DSAN	LOC27206793|XP_016022768.2|DSIM, LOC120285540|XP_039154131.1|DSIM, LOC120285538|XP_039154129.1|DSIM, LOC120285535|XP_039154126.1|DSIM, LOC120285537|XP_039154128.1|DSIM, LOC120285539|XP_039154130.1|DSIM, LOC120285536|XP_039154127.1|DSIM, LOC120285792|XP_039154341.1|DSIM, LOC120285796|XP_039154345.1|DSIM, LOC120285257|XP_039152608.1|DSIM, LOC120285256|XP_039152600.1|DSIM, LOC120285795|XP_039154344.1|DSIM, LOC120285791|XP_039154340.1|DSIM, LOC6733079|XP_002080156.3|DSIM, LOC120285793|XP_039154342.1|DSIM, LOC120285794|XP_039154343.1|DSIM, LOC6740700|XP_002077499.3|DSIM
OG0000005	LOC120457948|XP_039501388.1|DSAN	LOC120285548|XP_039154138.1|DSIM
OG0000005	LOC120457950|XP_039501390.1|DSAN	LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM, LOC120285271|XP_039152664.1|DSIM
OG0000005	LOC120457955|XP_039501394.1|DSAN	LOC120285805|XP_039154355.1|DSIM
OG0000005	LOC120457946|XP_039501386.1|DSAN	LOC120285268|XP_039152661.1|DSIM
OG0000006	LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN	LOC120285545|XP_039154135.1|DSIM
OG0000006	LOC120457670|XP_039501096.1|DSAN	LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM, LOC120285266|XP_039152652.1|DSIM
OG0000007	LOC120450299|XP_039489171.1|DSAN	LOC6738477|XP_016032322.1|DSIM
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC6736955|XP_002083802.1|DSIM
OG0000007	LOC120449309|XP_039487635.1|DSAN	LOC6736956|XP_002083803.1|DSIM
OG0000007	LOC120449521|XP_039487968.1|DSAN	LOC6736953|XP_002083800.1|DSIM
OG0000007	LOC120448495|XP_039486458.1|DSAN	LOC6736948|XP_039149135.1|DSIM
OG0000007	LOC120448563|XP_039486553.1|DSAN	LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM
OG0000007	LOC120458533|XP_039502144.1|DSAN	LOC6731020|XP_002078181.1|DSIM
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC6733581|XP_002080635.1|DSIM
OG0000007	LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN	LOC120284928|XP_039150400.1|DSIM, LOC6730135|XP_039150399.1|DSIM
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC6731021|XP_002078182.1|DSIM
OG0000007	LOC120448335|XP_039486223.1|DSAN	LOC6737273|XP_039149649.1|DSIM
OG0000007	LOC120448331|XP_039486219.1|DSAN	LOC27206286|XP_016030986.1|DSIM
OG0000007	LOC120450012|XP_039488670.1|DSAN	LOC6731019|XP_002078180.2|DSIM
OG0000007	LOC120449828|XP_039488411.1|DSAN	LOC6736957|XP_016030597.1|DSIM
OG0000007	LOC120449911|XP_039488536.1|DSAN	LOC27207276|XP_016030598.2|DSIM
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC6736742|XP_002083598.1|DSIM
OG0000008	LOC120456894|XP_039499926.1|DSAN	LOC6725212|XP_002106235.2|DSIM
OG0000008	LOC120453056|XP_039493512.1|DSAN	LOC6726998|XP_016033494.2|DSIM
OG0000008	LOC120453871|XP_039494710.1|DSAN	LOC6726996|XP_002102397.1|DSIM
OG0000008	LOC120452274|XP_039492339.1|DSAN	LOC6726997|XP_002102398.2|DSIM
OG0000008	LOC120453887|XP_039494738.1|DSAN	LOC6726995|XP_002102396.1|DSIM
OG0000009	LOC120452846|XP_039493217.1|DSAN	LOC6727419|XP_002102801.1|DSIM
OG0000009	LOC120453968|XP_039494853.1|DSAN	LOC6727422|XP_002102804.2|DSIM
OG0000009	LOC120454581|XP_039495924.1|DSAN	LOC6727423|XP_016033975.1|DSIM
OG0000009	LOC120452847|XP_039493218.1|DSAN	LOC6727420|XP_002102802.1|DSIM
OG0000009	LOC120447920|XP_039485510.1|DSAN	LOC6736925|XP_002083772.1|DSIM
OG0000009	LOC120447921|XP_039485511.1|DSAN	LOC6736926|XP_002083773.1|DSIM
OG0000009	LOC120446532|XP_039483479.1|DSAN	LOC6736062|XP_002082963.1|DSIM
OG0000009	LOC120453301|XP_039493868.1|DSAN	LOC6728414|XP_016035007.1|DSIM
OG0000009	LOC120445192|XP_039481349.1|DSAN	LOC6734157|XP_002081186.1|DSIM
OG0000009	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM
OG0000010	LOC120446204|XP_039482989.1|DSAN	LOC120285551|XP_039154142.1|DSIM, LOC120285283|XP_039152704.1|DSIM, LOC120285812|XP_039154361.1|DSIM, LOC120285811|XP_039154360.1|DSIM, LOC120285555|XP_039154146.1|DSIM, LOC120285552|XP_039154143.1|DSIM, LOC120285280|XP_039152696.1|DSIM
OG0000010	LOC120457684|XP_039501107.1|DSAN	LOC120285553|XP_039154144.1|DSIM, LOC120285282|XP_039152699.1|DSIM
OG0000010	LOC120457962|XP_039501399.1|DSAN	LOC6728075|XP_016034694.1|DSIM
OG0000011	LOC120458387|XP_039501940.1|DSAN	LOC6730832|XP_016023246.1|DSIM
OG0000011	LOC120458388|XP_039501941.1|DSAN	LOC6730831|XP_002077997.2|DSIM
OG0000011	LOC120458044|XP_039501490.1|DSAN	LOC27207823|XP_016023441.1|DSIM
OG0000011	LOC120449699|XP_039488248.1|DSAN	LOC27206207|XP_039149631.1|DSIM
OG0000011	LOC120444818|XP_039480708.1|DSAN	LOC27208182|XP_016025194.2|DSIM
OG0000011	LOC120445760|XP_039482290.1|DSAN	LOC6732545|XP_016025201.1|DSIM
OG0000011	LOC120454945|XP_039496647.1|DSAN	LOC6725826|XP_016039150.1|DSIM, LOC27206349|XP_016039152.1|DSIM
OG0000011	LOC120449538|XP_039487994.1|DSAN	LOC6737998|XP_002084813.2|DSIM
OG0000011	LOC120449537|XP_039487993.1|DSAN	LOC27206230|XP_016031794.1|DSIM
OG0000011	LOC120452178|XP_039492220.1|DSAN	LOC6728756|XP_002104091.1|DSIM
OG0000012	LOC120445821|XP_039482372.1|DSAN	LOC6735247|XP_016028572.1|DSIM
OG0000012	LOC120445820|XP_039482371.1|DSAN	LOC6735246|XP_016028570.1|DSIM
OG0000012	LOC120446192|XP_039482973.1|DSAN	LOC6735245|XP_016028569.1|DSIM
OG0000012	LOC120446256|XP_039483062.1|DSAN	LOC6735248|XP_016028574.1|DSIM
OG0000012	LOC120444865|XP_039480765.1|DSAN	LOC6735249|XP_016028575.1|DSIM
OG0000012	LOC120445730|XP_039482234.1|DSAN	LOC6734131|XP_002081160.1|DSIM
OG0000012	LOC120446629|XP_039483624.1|DSAN	LOC6734132|XP_016027145.1|DSIM
OG0000012	LOC120446410|XP_039483290.1|DSAN	LOC6734133|XP_002081162.3|DSIM
OG0000012	LOC120445226|XP_039481417.1|DSAN	LOC6734134|XP_016027146.1|DSIM
OG0000012	LOC120446006|XP_039482689.1|DSAN	LOC6734135|XP_002081164.1|DSIM
