Orthogroup	DSAN.longest_only	DPER.longest_only
OG0000000	LOC120454272|XP_039495370.1|DSAN	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER
OG0000000	LOC120458328|XP_039501883.1|DSAN	LOC6603458|XP_002028438.2|DPER
OG0000000	LOC120454013|XP_039494937.1|DSAN	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC6603462|XP_002028442.1|DPER
OG0000000	LOC120447883|XP_039485428.1|DSAN	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC120453403|XP_039494026.1|DSAN, LOC120453829|XP_039494657.1|DSAN	LOC6594745|XP_002020397.2|DPER
OG0000000	LOC120453329|XP_039493924.1|DSAN	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER
OG0000000	LOC120454324|XP_039495461.1|DSAN	LOC113564899|XP_026839990.1|DPER
OG0000000	LOC120453013|XP_039493463.1|DSAN	LOC6588283|XP_026842223.1|DPER
OG0000000	LOC120444807|XP_039480688.1|DSAN	LOC113565649|XP_026844091.1|DPER
OG0000000	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC6587480|XP_002013644.2|DPER
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC6595741|XP_026845259.1|DPER
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER
OG0000003	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC120452715|XP_039493011.1|DSAN, LOC120446686|XP_039483713.1|DSAN	LOC6590819|XP_026841177.1|DPER
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC6590049|XP_002015522.1|DPER
