Orthogroup	DSAN.longest_only	DKIK.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	LOC108078585|XP_017027994.1|DKIK
OG0000000	LOC120454013|XP_039494937.1|DSAN	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC120447883|XP_039485428.1|DSAN	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC120447886|XP_039485431.1|DSAN	LOC108078603|XP_017028013.1|DKIK
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC120453403|XP_039494026.1|DSAN	LOC108080866|XP_017031258.1|DKIK
OG0000000	LOC120453329|XP_039493924.1|DSAN	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	LOC120446300|XP_039483141.1|DSAN	LOC108080870|XP_017031262.1|DKIK
OG0000000	LOC120447669|XP_039485129.1|DSAN	LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK
OG0000000	LOC120454324|XP_039495461.1|DSAN	LOC108073703|XP_017020927.1|DKIK
OG0000000	LOC120453013|XP_039493463.1|DSAN	LOC108075384|XP_017023284.1|DKIK
OG0000000	LOC120444807|XP_039480688.1|DSAN	LOC108076851|XP_017025370.1|DKIK
OG0000000	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC120453562|XP_039494248.1|DSAN	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK
OG0000000	LOC120447885|XP_039485430.1|DSAN	LOC108078601|XP_017028010.1|DKIK
OG0000002	LOC120446478|XP_039483414.1|DSAN	LOC108082125|XP_017032915.1|DKIK
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC108082669|XP_017033655.1|DKIK
OG0000003	LOC120446974|XP_039484179.1|DSAN	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC120446686|XP_039483713.1|DSAN	LOC108072446|XP_017019063.1|DKIK
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC108070524|XP_017016527.1|DKIK
