Orthogroup	DSAN.longest_only	SLEB.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	LOC115634489|XP_030388106.1|SLEB
OG0000000	LOC120454272|XP_039495370.1|DSAN, LOC120444734|XP_039480595.1|DSAN, LOC120458328|XP_039501883.1|DSAN, LOC120454013|XP_039494937.1|DSAN, LOC120444836|XP_039480727.1|DSAN	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC120447883|XP_039485428.1|DSAN, LOC120447886|XP_039485431.1|DSAN, LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC120453403|XP_039494026.1|DSAN	LOC115625399|XP_030376298.1|SLEB
OG0000000	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC115632651|XP_030385741.1|SLEB
OG0000001	LOC120449510|XP_039487947.1|DSAN	LOC115633656|XP_030386961.1|SLEB
OG0000002	LOC120448038|XP_039485719.1|DSAN	LOC115633967|XP_030387348.1|SLEB
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB
OG0000003	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC120452715|XP_039493011.1|DSAN, LOC120446686|XP_039483713.1|DSAN	LOC115620049|XP_030369030.1|SLEB
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC115634646|XP_030388364.1|SLEB
