Orthogroup	DEUG.longest_only	AALB.longest_only
OG0000002	LOC108110911|XP_017075671.1|DEUG, LOC108102651|XP_017063276.1|DEUG, LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG	LOC118458183|XP_035776304.1|AALB
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC118467565|XP_035794086.1|AALB, LOC118464040|XP_035786990.1|AALB, LOC118465125|XP_035788959.1|AALB
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC108117308|XP_017085159.1|DEUG, LOC108117290|XP_017085135.1|DEUG, LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG, LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG, LOC108107216|XP_017070122.1|DEUG, LOC108111728|XP_017076770.1|DEUG, LOC108106283|XP_017068739.1|DEUG, LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC108105230|XP_017067186.1|DEUG	LOC118464063|XP_035787003.1|AALB, LOC118465132|XP_035788964.1|AALB, LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB, LOC118467569|XP_035794089.1|AALB
OG0000012	LOC108113192|XP_017079208.1|DEUG, LOC108113191|XP_017079207.1|DEUG, LOC108113343|XP_017079393.1|DEUG, LOC108113377|XP_017079435.1|DEUG, LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG, LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG, LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG, LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC108105962|XP_017068250.1|DEUG	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC108116618|XP_017084081.1|DEUG, LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC108104162|XP_017065556.1|DEUG, LOC108111829|XP_017076924.1|DEUG, LOC108118106|XP_017086149.1|DEUG, LOC108118096|XP_017086142.1|DEUG, LOC108117407|XP_017085303.1|DEUG, LOC108112994|XP_017078897.1|DEUG, LOC108110723|XP_017075400.1|DEUG, LOC108103093|XP_017063939.1|DEUG, LOC108117404|XP_017085301.1|DEUG, LOC108105912|XP_017068177.1|DEUG	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB
OG0000016	LOC108116882|XP_017084468.1|DEUG, LOC108109063|XP_017072885.1|DEUG	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC108117273|XP_017085115.1|DEUG	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC108103209|XP_017064088.1|DEUG	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC108108726|XP_017072348.1|DEUG	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC108107641|XP_017070716.1|DEUG	LOC118463128|XP_035785378.1|AALB
OG0000019	LOC108115822|XP_017082901.1|DEUG, LOC108115824|XP_017082904.1|DEUG, LOC108115825|XP_017082905.1|DEUG, LOC108115827|XP_017082907.1|DEUG, LOC108115829|XP_017082909.1|DEUG, LOC108115823|XP_017082903.1|DEUG, LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB
OG0000020	LOC108116051|XP_017083239.1|DEUG, LOC108109261|XP_017073233.1|DEUG	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG, LOC108117182|XP_017084963.1|DEUG, LOC108116455|XP_017083873.1|DEUG, LOC108107046|XP_017069896.1|DEUG, LOC108115414|XP_017082340.1|DEUG	LOC118467629|XP_035794243.1|AALB
OG0000021	LOC108105026|XP_017066911.1|DEUG	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC108117533|XP_017085522.1|DEUG, LOC108111770|XP_017076824.1|DEUG, LOC108110043|XP_017074396.1|DEUG	LOC118467519|XP_035793970.1|AALB
OG0000022	LOC108113005|XP_017078913.1|DEUG, LOC108102771|XP_017063418.1|DEUG, LOC108102780|XP_017063430.1|DEUG, LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG, LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG, LOC108102797|XP_017063457.1|DEUG	LOC118466446|XP_035791660.1|AALB
OG0000023	LOC108115114|XP_017081855.1|DEUG, LOC108115112|XP_017081853.1|DEUG, LOC108115052|XP_017081788.1|DEUG, LOC108112507|XP_017077883.1|DEUG, LOC108115111|XP_017081852.1|DEUG, LOC108115051|XP_017081787.1|DEUG, LOC108115158|XP_017081958.1|DEUG, LOC108115110|XP_017081851.1|DEUG, LOC108115157|XP_017081956.1|DEUG	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB
OG0000024	LOC108106508|XP_017069090.1|DEUG, LOC108106507|XP_017069089.1|DEUG, LOC108106762|XP_017069491.1|DEUG, LOC108106506|XP_017069088.1|DEUG, LOC108106500|XP_017069084.1|DEUG, LOC108115421|XP_017082346.1|DEUG, LOC108106503|XP_017069087.1|DEUG, LOC108111932|XP_017077077.1|DEUG	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC108103147|XP_017064008.1|DEUG	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC108103398|XP_017064344.1|DEUG	LOC118467560|XP_035794083.1|AALB
OG0000026	LOC108103585|XP_017064599.1|DEUG, LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG, LOC108110172|XP_017074584.1|DEUG	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC108106863|XP_017069596.1|DEUG, LOC108106871|XP_017069603.1|DEUG, LOC108106870|XP_017069602.1|DEUG	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB
OG0000028	LOC108108736|XP_017072363.1|DEUG, LOC108108737|XP_017072364.1|DEUG, LOC108108647|XP_017072239.1|DEUG, LOC108108738|XP_017072365.1|DEUG, LOC108108739|XP_017072366.1|DEUG, LOC108108680|XP_017072274.1|DEUG, LOC108108455|XP_017071998.1|DEUG, LOC108114276|XP_017080662.1|DEUG	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB
OG0000029	LOC108104771|XP_017066496.1|DEUG, LOC108106174|XP_017068584.1|DEUG, LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG, LOC108108451|XP_017071993.1|DEUG	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG, LOC108105922|XP_017068599.1|DEUG, LOC108103077|XP_017063915.1|DEUG, LOC108103075|XP_017063912.1|DEUG, LOC108103076|XP_017063913.1|DEUG, LOC108118411|XP_017086576.1|DEUG, LOC108110532|XP_017075103.1|DEUG, LOC108108070|XP_017071439.1|DEUG, LOC108110574|XP_017075160.1|DEUG, LOC108110535|XP_017075106.1|DEUG, LOC108105167|XP_017067096.1|DEUG, LOC108102303|XP_017066607.1|DEUG	LOC118467279|XP_035793475.1|AALB
OG0000032	LOC108111801|XP_017076881.1|DEUG, LOC108111712|XP_017076751.1|DEUG, LOC108111717|XP_017076757.1|DEUG, LOC108111784|XP_017076858.1|DEUG, LOC108111805|XP_017076892.1|DEUG, LOC108111711|XP_017076750.1|DEUG, LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB
OG0000034	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG, LOC108118408|XP_017086572.1|DEUG, LOC108118494|XP_017086716.1|DEUG, LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG, LOC108113407|XP_017079451.1|DEUG	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB
OG0000036	LOC108115061|XP_017081795.1|DEUG	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB
OG0000036	LOC108105599|XP_017067763.1|DEUG	LOC118457097|XP_035774277.1|AALB
OG0000037	LOC108112000|XP_017077225.1|DEUG, LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB
OG0000038	LOC108108735|XP_017072362.1|DEUG	LOC118464582|XP_035787918.1|AALB
OG0000038	LOC108108809|XP_017072482.1|DEUG	LOC118467862|XP_035794660.1|AALB
OG0000039	LOC108109615|XP_017073668.1|DEUG	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB
OG0000041	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG, LOC108113689|XP_017079854.1|DEUG, LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG	LOC118457785|XP_035775523.1|AALB
OG0000043	LOC108116482|XP_017083904.1|DEUG, LOC108116483|XP_017083905.1|DEUG, LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG, LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG, LOC108116498|XP_017083919.1|DEUG	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB
OG0000047	LOC108112199|XP_017077502.1|DEUG, LOC108113383|XP_017079444.1|DEUG, LOC108106728|XP_017069453.1|DEUG, LOC108114731|XP_017081330.1|DEUG, LOC108106783|XP_017069514.1|DEUG, LOC108113976|XP_017080206.1|DEUG	LOC118458488|XP_035776933.1|AALB
OG0000048	LOC108114269|XP_017080655.1|DEUG, LOC108113900|XP_017080095.1|DEUG, LOC108114275|XP_017080660.1|DEUG	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB
OG0000049	LOC108117079|XP_017084741.1|DEUG, LOC108117054|XP_017084715.1|DEUG, LOC108117035|XP_017084693.1|DEUG, LOC108117069|XP_017084731.1|DEUG, LOC108117036|XP_017084694.1|DEUG, LOC108117318|XP_017085175.1|DEUG	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB
OG0000050	LOC108106209|XP_017068623.1|DEUG, LOC108116755|XP_017084263.1|DEUG, LOC108116756|XP_017084264.1|DEUG, LOC108116757|XP_017084265.1|DEUG, LOC108116725|XP_017084231.1|DEUG, LOC108116727|XP_017084233.1|DEUG, LOC108116726|XP_017084232.1|DEUG	LOC118466326|XP_035791335.1|AALB
