Orthogroup	DEUG.longest_only	DSEC.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC6605884|XP_032575999.1|DSEC
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC6605885|XP_032575997.1|DSEC
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC116800964|XP_032573791.1|DSEC
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG	LOC6612938|XP_032579196.1|DSEC
OG0000000	LOC108113894|XP_017080088.1|DEUG	LOC6613111|XP_032569894.1|DSEC
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC6612936|XP_002037428.1|DSEC
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG	LOC6611813|XP_002036335.1|DSEC
OG0000000	LOC108117463|XP_017085374.1|DEUG	LOC6607813|XP_032578052.1|DSEC
OG0000000	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG	LOC6608931|XP_002033645.2|DSEC
OG0000000	LOC108112677|XP_017078310.1|DEUG	LOC6609340|XP_032572102.1|DSEC
OG0000000	LOC108108192|XP_017071633.1|DEUG	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC, LOC6616347|XP_002040707.1|DSEC, LOC116800542|XP_032571951.1|DSEC
OG0000000	LOC108113484|XP_017079558.1|DEUG	LOC6612926|XP_032578042.1|DSEC
OG0000000	LOC108113483|XP_017079557.1|DEUG	LOC6612925|XP_002037417.1|DSEC
OG0000000	LOC108113485|XP_017079560.1|DEUG	LOC6611281|XP_032582965.1|DSEC
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC116801718|XP_032578762.1|DSEC
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC6614481|XP_002038914.1|DSEC
OG0000000	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG	LOC6609905|XP_032572518.1|DSEC
OG0000000	LOC108105763|XP_017067972.1|DEUG	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC6612634|XP_002037138.2|DSEC
OG0000000	LOC108114927|XP_017081602.1|DEUG	LOC6613854|XP_002038323.1|DSEC
