Orthogroup	DEUG.longest_only	DERE.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC6541982|XP_001968936.1|DERE
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC6552159|XP_001980711.1|DERE
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC6544810|XP_026832924.1|DERE
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC6544813|XP_001973192.2|DERE
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC108104209|XP_017065641.1|DEUG	LOC6554922|XP_001981127.2|DERE
OG0000000	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG	LOC6554923|XP_001981128.1|DERE
OG0000000	LOC108113894|XP_017080088.1|DEUG	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG	LOC6541136|XP_001969303.1|DERE
OG0000000	LOC108117463|XP_017085374.1|DEUG	LOC6554482|XP_001981927.3|DERE
OG0000000	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE
OG0000000	LOC108112677|XP_017078310.1|DEUG	LOC6548870|XP_001975456.3|DERE
OG0000000	LOC108108192|XP_017071633.1|DEUG	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE, LOC6542210|XP_026835022.1|DERE, LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC26526690|XP_015009401.1|DERE
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC6549399|XP_001974447.1|DERE
OG0000000	LOC108105763|XP_017067972.1|DEUG	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC26526070|XP_026831673.1|DERE
OG0000000	LOC108114927|XP_017081602.1|DEUG	LOC6551915|XP_001978850.1|DERE
OG0000000	LOC108114139|XP_017080411.1|DEUG	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC6548491|XP_001975304.1|DERE
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC6548172|XP_001975155.3|DERE
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC6548171|XP_001975154.2|DERE
OG0000002	LOC108108874|XP_017072580.1|DEUG	LOC6547452|XP_001974865.2|DERE
OG0000002	LOC108105850|XP_017068103.1|DEUG	LOC6540746|XP_001968931.3|DERE
OG0000002	LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG	LOC6545786|XP_001973422.2|DERE
OG0000002	LOC108110800|XP_017075517.1|DEUG	LOC6542167|XP_001968638.1|DERE
OG0000003	LOC108106604|XP_017069284.1|DEUG	LOC6549103|XP_001975568.1|DERE
OG0000003	LOC108106709|XP_017069429.1|DEUG	LOC6548983|XP_001975566.1|DERE
OG0000003	LOC108115764|XP_017082821.1|DEUG	LOC6554587|XP_001981543.2|DERE
OG0000003	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC6548982|XP_001975565.1|DERE
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC6541170|XP_001970725.1|DERE
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC26526619|XP_015012824.1|DERE
OG0000003	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG	LOC6549102|XP_001975567.1|DERE
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC6549105|XP_001975570.1|DERE
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC6541262|XP_001970448.1|DERE
OG0000003	LOC108104523|XP_017066143.1|DEUG	LOC6543237|XP_001970449.1|DERE
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC113564783|XP_026839415.1|DERE, LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC6545298|XP_001972056.1|DERE
OG0000007	LOC108107883|XP_017071158.1|DEUG	LOC6545102|XP_001972053.1|DERE
OG0000007	LOC108102687|XP_017063316.1|DEUG	LOC6540938|XP_001968734.1|DERE
OG0000007	LOC108102695|XP_017063328.1|DEUG	LOC6540876|XP_001968735.1|DERE
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG	LOC6545660|XP_001971664.1|DERE
OG0000007	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC6540935|XP_001968733.1|DERE
