Orthogroup	DEUG.longest_only	DMAU.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC117139149|XP_033157198.1|DMAU
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC108104209|XP_017065641.1|DEUG	LOC117142323|XP_033162125.1|DMAU
OG0000000	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG	LOC117142325|XP_033162128.1|DMAU
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG	LOC117136304|XP_033153082.1|DMAU
OG0000000	LOC108117463|XP_017085374.1|DEUG	LOC117145451|XP_033167010.1|DMAU
OG0000000	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG	LOC117137412|XP_033154732.1|DMAU
OG0000000	LOC108112677|XP_017078310.1|DEUG	LOC117138341|XP_033156269.1|DMAU
OG0000000	LOC108108192|XP_017071633.1|DEUG	LOC117140233|XP_033158923.1|DMAU, LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU, LOC117136161|XP_033152774.1|DMAU, LOC117139178|XP_033157238.1|DMAU
OG0000000	LOC108113484|XP_017079558.1|DEUG	LOC117145744|XP_033167397.1|DMAU
OG0000000	LOC108113483|XP_017079557.1|DEUG	LOC117145225|XP_033166688.1|DMAU
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG	LOC117138584|XP_033156654.1|DMAU
OG0000000	LOC108105763|XP_017067972.1|DEUG	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC108114927|XP_017081602.1|DEUG	LOC117145160|XP_033166598.1|DMAU
