Orthogroup	DEUG.longest_only	DSUP.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC119555218|XP_037722409.1|DSUP
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC119548573|XP_037711818.1|DSUP
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC119560985|XP_037730690.1|DSUP
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC119551998|XP_037717650.1|DSUP
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC119555358|XP_037722624.1|DSUP
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC119555354|XP_037722619.1|DSUP
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC119555357|XP_037722623.1|DSUP
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC108104206|XP_017065639.1|DEUG	LOC119563094|XP_037732252.1|DSUP
OG0000000	LOC108113894|XP_017080088.1|DEUG	LOC119551506|XP_037716808.1|DSUP
OG0000000	LOC108104212|XP_017065644.1|DEUG	LOC119562944|XP_037732029.1|DSUP
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG	LOC119546175|XP_037708225.1|DSUP
OG0000000	LOC108112677|XP_017078310.1|DEUG	LOC119549570|XP_037713651.1|DSUP
OG0000000	LOC108108192|XP_017071633.1|DEUG	LOC119555097|XP_037722243.1|DSUP
OG0000000	LOC108113484|XP_017079558.1|DEUG	LOC119554309|XP_037721101.1|DSUP
OG0000000	LOC108113483|XP_017079557.1|DEUG	LOC119563229|XP_037732462.1|DSUP
OG0000000	LOC108113485|XP_017079560.1|DEUG	LOC119547184|XP_037709847.1|DSUP
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC119546339|XP_037708468.1|DSUP
OG0000000	LOC108111926|XP_017077057.1|DEUG	LOC119549505|XP_037713544.1|DSUP
OG0000000	LOC108111923|XP_017077054.1|DEUG	LOC119551387|XP_037716639.1|DSUP
OG0000000	LOC108105763|XP_017067972.1|DEUG	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC119563146|XP_037732330.1|DSUP
OG0000000	LOC108114927|XP_017081602.1|DEUG	LOC119560562|XP_037730007.1|DSUP
OG0000000	LOC108114139|XP_017080411.1|DEUG	LOC119552808|XP_037718574.1|DSUP
OG0000000	LOC108113893|XP_017080087.1|DEUG, LOC108114144|XP_017080415.1|DEUG	LOC119555364|XP_037722629.1|DSUP, LOC119555366|XP_037722632.1|DSUP
OG0000000	LOC108113890|XP_017080084.1|DEUG	LOC119555360|XP_037722626.1|DSUP
OG0000000	LOC108113892|XP_017080086.1|DEUG	LOC119555363|XP_037722628.1|DSUP
OG0000000	LOC108108505|XP_017072063.1|DEUG	LOC119555440|XP_037722739.1|DSUP
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC119550810|XP_037715678.1|DSUP
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC108111019|XP_017075821.1|DEUG	LOC119546721|XP_037709135.1|DSUP
OG0000002	LOC108114011|XP_017080247.1|DEUG	LOC119554631|XP_037721554.1|DSUP
OG0000002	LOC108113287|XP_017079326.1|DEUG	LOC119546867|XP_037709399.1|DSUP
OG0000003	LOC108106604|XP_017069284.1|DEUG	LOC119549193|XP_037712950.1|DSUP
OG0000003	LOC108106709|XP_017069429.1|DEUG	LOC119549691|XP_037713842.1|DSUP
OG0000003	LOC108115764|XP_017082821.1|DEUG	LOC119553060|XP_037719113.1|DSUP
OG0000003	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC119549692|XP_037713843.1|DSUP
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC119548975|XP_037712493.1|DSUP
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC119549192|XP_037712949.1|DSUP
OG0000003	LOC108106603|XP_017069283.1|DEUG	LOC119549194|XP_037712951.1|DSUP
OG0000003	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG	LOC119550953|XP_037715907.1|DSUP
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC119549586|XP_037713672.1|DSUP
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC119551761|XP_037717216.1|DSUP
OG0000003	LOC108104523|XP_017066143.1|DEUG	LOC119551759|XP_037717214.1|DSUP
OG0000003	LOC108104524|XP_017066145.1|DEUG	LOC119551760|XP_037717215.1|DSUP
OG0000005	LOC108103412|XP_017064359.1|DEUG	LOC119559217|XP_037728216.1|DSUP, LOC119559243|XP_037728242.1|DSUP, LOC119559230|XP_037728229.1|DSUP, LOC119559236|XP_037728234.1|DSUP, LOC119559223|XP_037728222.1|DSUP, LOC119559229|XP_037728228.1|DSUP, LOC119559222|XP_037728221.1|DSUP
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC119546492|XP_037708717.1|DSUP, LOC119559255|XP_037728253.1|DSUP, LOC119559258|XP_037728257.1|DSUP, LOC119559193|XP_037728181.1|DSUP, LOC119546623|XP_037708988.1|DSUP, LOC119547990|XP_037710974.1|DSUP, LOC119559186|XP_037728175.1|DSUP, LOC119559183|XP_037728172.1|DSUP, LOC119559188|XP_037728177.1|DSUP, LOC119559189|XP_037728178.1|DSUP, LOC119559257|XP_037728256.1|DSUP, LOC119559184|XP_037728173.1|DSUP, LOC119547942|XP_037710917.1|DSUP
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC119554492|XP_037721353.1|DSUP
OG0000007	LOC108107527|XP_017070556.1|DEUG	LOC119552519|XP_037718065.1|DSUP
OG0000007	LOC108107883|XP_017071158.1|DEUG	LOC119554494|XP_037721354.1|DSUP
OG0000007	LOC108102687|XP_017063316.1|DEUG	LOC119546692|XP_037709098.1|DSUP
OG0000007	LOC108104447|XP_017065997.1|DEUG	LOC119550735|XP_037715578.1|DSUP
OG0000007	LOC108111280|XP_017076157.1|DEUG, LOC108111281|XP_017076158.1|DEUG	LOC119546637|XP_037709013.1|DSUP
OG0000007	LOC108102695|XP_017063328.1|DEUG	LOC119546891|XP_037709439.1|DSUP
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG	LOC119553445|XP_037719763.1|DSUP
OG0000007	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP
OG0000007	LOC108107925|XP_017071238.1|DEUG	LOC119554496|XP_037721356.1|DSUP
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC119554295|XP_037721083.1|DSUP
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC119546547|XP_037708827.1|DSUP
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC119554296|XP_037721084.1|DSUP
OG0000008	LOC108103232|XP_017064122.1|DEUG	LOC119556861|XP_037725260.1|DSUP
OG0000008	LOC108116557|XP_017083985.1|DEUG	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP
OG0000008	LOC108116118|XP_017083331.1|DEUG	LOC119560393|XP_037729749.1|DSUP
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC119560395|XP_037729751.1|DSUP
OG0000008	LOC108116120|XP_017083333.1|DEUG	LOC119560394|XP_037729750.1|DSUP
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC119560107|XP_037729380.1|DSUP
