Orthogroup	DEUG.longest_only	SLEB.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC115634489|XP_030388106.1|SLEB
OG0000000	LOC108105829|XP_017068062.1|DEUG, LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG, LOC108108401|XP_017071943.1|DEUG, LOC108108403|XP_017071945.1|DEUG, LOC108112762|XP_017078510.1|DEUG	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC108113889|XP_017080083.1|DEUG, LOC108114143|XP_017080414.1|DEUG, LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC115632651|XP_030385741.1|SLEB
OG0000002	LOC108113287|XP_017079326.1|DEUG, LOC108110800|XP_017075517.1|DEUG	LOC115633967|XP_030387348.1|SLEB
OG0000003	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC108115764|XP_017082821.1|DEUG, LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC115620049|XP_030369030.1|SLEB
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC115634507|XP_030388133.1|SLEB
OG0000003	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG	LOC115619981|XP_030368881.1|SLEB
OG0000004	LOC108113823|XP_017080058.1|DEUG	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC115630115|XP_030382588.1|SLEB, LOC115630354|XP_030382747.1|SLEB, LOC115630353|XP_030382746.1|SLEB, LOC115630281|XP_030382677.1|SLEB, LOC115630364|XP_030382757.1|SLEB, LOC115630328|XP_030382725.1|SLEB, LOC115630357|XP_030382751.1|SLEB, LOC115630130|XP_030382598.1|SLEB
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC108104447|XP_017065997.1|DEUG	LOC115633111|XP_030386356.1|SLEB
OG0000007	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG, LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	LOC108107529|XP_017070559.1|DEUG, LOC108107925|XP_017071238.1|DEUG	LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC108116118|XP_017083331.1|DEUG	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC108116123|XP_017083335.1|DEUG	LOC115624340|XP_030374852.1|SLEB
OG0000008	LOC108116120|XP_017083333.1|DEUG	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC108117308|XP_017085159.1|DEUG	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC108117290|XP_017085135.1|DEUG	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC108106283|XP_017068739.1|DEUG	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC108105230|XP_017067186.1|DEUG	LOC115633544|XP_030386861.1|SLEB
OG0000012	LOC108113192|XP_017079208.1|DEUG	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC108113191|XP_017079207.1|DEUG	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC108113343|XP_017079393.1|DEUG	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC108113377|XP_017079435.1|DEUG	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC108105962|XP_017068250.1|DEUG	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC108116899|XP_017084498.1|DEUG	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC108116618|XP_017084081.1|DEUG	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	LOC108106955|XP_017069721.1|DEUG	LOC115626216|XP_030377371.1|SLEB
OG0000016	LOC108116882|XP_017084468.1|DEUG	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC108109063|XP_017072885.1|DEUG	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC108117273|XP_017085115.1|DEUG	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC108113063|XP_017078988.1|DEUG	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC108103209|XP_017064088.1|DEUG	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC108110347|XP_017074869.1|DEUG	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC108105551|XP_017067677.1|DEUG	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC108108726|XP_017072348.1|DEUG	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC108103426|XP_017064385.1|DEUG	LOC115627671|XP_030379272.1|SLEB
OG0000017	LOC108112627|XP_017078221.1|DEUG	LOC115619974|XP_030368869.1|SLEB
OG0000017	LOC108104154|XP_017065544.1|DEUG	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC108112063|XP_017077297.1|DEUG	LOC115619941|XP_030368828.1|SLEB
OG0000017	LOC108109233|XP_017073194.1|DEUG	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC108110339|XP_017074859.1|DEUG	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC108107641|XP_017070716.1|DEUG	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC108107531|XP_017070561.1|DEUG	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC108108164|XP_017071591.1|DEUG	LOC115633162|XP_030386433.1|SLEB
OG0000019	LOC108115822|XP_017082901.1|DEUG	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC108115829|XP_017082909.1|DEUG	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC108115823|XP_017082903.1|DEUG	LOC115621699|XP_030371266.1|SLEB
OG0000019	LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC108116051|XP_017083239.1|DEUG	LOC115620461|XP_030369552.1|SLEB
OG0000020	LOC108109261|XP_017073233.1|DEUG	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC108117182|XP_017084963.1|DEUG	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC108116455|XP_017083873.1|DEUG	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC108107046|XP_017069896.1|DEUG, LOC108115414|XP_017082340.1|DEUG	LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC108110545|XP_017075123.1|DEUG	LOC115632536|XP_030385602.1|SLEB
OG0000021	LOC108112706|XP_017078416.1|DEUG	LOC115624982|XP_030375700.1|SLEB
OG0000021	LOC108112285|XP_017077596.1|DEUG	LOC115619935|XP_030372749.1|SLEB
OG0000021	LOC108109877|XP_017074162.1|DEUG	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB
OG0000021	LOC108105026|XP_017066911.1|DEUG	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC108117533|XP_017085522.1|DEUG	LOC115625208|XP_030376037.1|SLEB
OG0000021	LOC108111770|XP_017076824.1|DEUG	LOC115620616|XP_030369796.1|SLEB
OG0000021	LOC108110043|XP_017074396.1|DEUG	LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC108113005|XP_017078913.1|DEUG	LOC115634544|XP_030388214.1|SLEB
OG0000022	LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG, LOC108102797|XP_017063457.1|DEUG	LOC115624802|XP_030375508.1|SLEB
OG0000023	LOC108115114|XP_017081855.1|DEUG	LOC115623826|XP_030374229.1|SLEB
OG0000023	LOC108115052|XP_017081788.1|DEUG	LOC115623325|XP_030373446.1|SLEB
OG0000023	LOC108115111|XP_017081852.1|DEUG	LOC115623824|XP_030374228.1|SLEB
OG0000023	LOC108115051|XP_017081787.1|DEUG	LOC115623322|XP_030373444.1|SLEB
OG0000023	LOC108115158|XP_017081958.1|DEUG	LOC115623324|XP_030373445.1|SLEB
OG0000023	LOC108115110|XP_017081851.1|DEUG	LOC115623321|XP_030373443.1|SLEB
OG0000023	LOC108115157|XP_017081956.1|DEUG	LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC108106508|XP_017069090.1|DEUG, LOC108106507|XP_017069089.1|DEUG, LOC108106762|XP_017069491.1|DEUG, LOC108106506|XP_017069088.1|DEUG	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB
OG0000024	LOC108115421|XP_017082346.1|DEUG, LOC108106503|XP_017069087.1|DEUG	LOC115626230|XP_030377390.1|SLEB
OG0000024	LOC108111932|XP_017077077.1|DEUG	LOC115633141|XP_030386412.1|SLEB
OG0000025	LOC108103147|XP_017064008.1|DEUG	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	LOC108114004|XP_017080277.1|DEUG	LOC115630125|XP_030382596.1|SLEB
OG0000025	LOC108103398|XP_017064344.1|DEUG	LOC115630303|XP_030382701.1|SLEB
OG0000026	LOC108111839|XP_017076932.1|DEUG	LOC115627188|XP_030378651.1|SLEB
OG0000026	LOC108113449|XP_017079511.1|DEUG	LOC115626629|XP_030377893.1|SLEB
OG0000026	LOC108103585|XP_017064599.1|DEUG, LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC108106863|XP_017069596.1|DEUG	LOC115632057|XP_030384894.1|SLEB
OG0000027	LOC108106871|XP_017069603.1|DEUG	LOC115632056|XP_030384892.1|SLEB
OG0000027	LOC108106870|XP_017069602.1|DEUG	LOC115631416|XP_030384002.1|SLEB
OG0000029	LOC108108451|XP_017071993.1|DEUG	LOC115634071|XP_030387478.1|SLEB
OG0000030	LOC108104028|XP_017065349.1|DEUG	LOC115631185|XP_030383736.1|SLEB
OG0000030	LOC108104049|XP_017065385.1|DEUG, LOC108104046|XP_017065382.1|DEUG	LOC115631186|XP_030383737.1|SLEB
OG0000030	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG	LOC115630766|XP_030383282.1|SLEB
OG0000030	LOC108109021|XP_017072783.1|DEUG	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000030	LOC108103318|XP_017064237.1|DEUG	LOC115627904|XP_030379659.1|SLEB
OG0000030	LOC108104999|XP_017066865.1|DEUG	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB
OG0000031	LOC108102303|XP_017066607.1|DEUG	LOC115626596|XP_030377839.1|SLEB
OG0000031	LOC108111003|XP_017075802.1|DEUG	LOC115631052|XP_030383546.1|SLEB
OG0000032	LOC108111801|XP_017076881.1|DEUG	LOC115621800|XP_030371439.1|SLEB
OG0000032	LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG	LOC115621799|XP_030371437.1|SLEB
