Orthogroup	DEUG.longest_only	DNOV.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG, LOC108115960|XP_017083085.1|DEUG	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC108114927|XP_017081602.1|DEUG, LOC108114139|XP_017080411.1|DEUG, LOC108113893|XP_017080087.1|DEUG, LOC108114144|XP_017080415.1|DEUG, LOC108113890|XP_017080084.1|DEUG, LOC108113892|XP_017080086.1|DEUG	LOC115762365|XP_030560399.1|DNOV
OG0000001	LOC108118112|XP_017086151.1|DEUG, LOC108103727|XP_017064815.1|DEUG	LOC115763936|XP_030562591.1|DNOV, LOC115763934|XP_030562589.1|DNOV, LOC115763935|XP_030562590.1|DNOV
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC108113287|XP_017079326.1|DEUG, LOC108110800|XP_017075517.1|DEUG	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000003	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG	LOC115771912|XP_030573666.1|DNOV
