Orthogroup	DEUG.longest_only	HILL.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG, LOC108105829|XP_017068062.1|DEUG, LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG, LOC108108401|XP_017071943.1|DEUG, LOC108108403|XP_017071945.1|DEUG, LOC108112762|XP_017078510.1|DEUG, LOC108113889|XP_017080083.1|DEUG, LOC108114143|XP_017080414.1|DEUG, LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG, LOC108107246|XP_017070153.1|DEUG, LOC108104209|XP_017065641.1|DEUG, LOC108104204|XP_017065637.1|DEUG, LOC108104205|XP_017065638.1|DEUG, LOC108104206|XP_017065639.1|DEUG, LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG, LOC108113894|XP_017080088.1|DEUG, LOC108104212|XP_017065644.1|DEUG, LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG, LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG, LOC108117463|XP_017085374.1|DEUG, LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG, LOC108112677|XP_017078310.1|DEUG, LOC108108192|XP_017071633.1|DEUG, LOC108113914|XP_017080109.1|DEUG, LOC108113484|XP_017079558.1|DEUG, LOC108113483|XP_017079557.1|DEUG, LOC108113485|XP_017079560.1|DEUG, LOC108115565|XP_017082560.1|DEUG, LOC108103054|XP_017063857.1|DEUG, LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG, LOC108115960|XP_017083085.1|DEUG, LOC108114927|XP_017081602.1|DEUG, LOC108114139|XP_017080411.1|DEUG, LOC108113893|XP_017080087.1|DEUG, LOC108114144|XP_017080415.1|DEUG, LOC108113890|XP_017080084.1|DEUG, LOC108113892|XP_017080086.1|DEUG, LOC108108505|XP_017072063.1|DEUG, LOC108104271|XP_017065711.1|DEUG, LOC108104244|XP_017065683.1|DEUG, LOC108104247|XP_017065685.1|DEUG, LOC108104242|XP_017065681.1|DEUG, LOC108104250|XP_017065688.1|DEUG, LOC108116803|XP_017084340.1|DEUG, LOC108104248|XP_017065686.1|DEUG, LOC108104270|XP_017065710.1|DEUG, LOC108104269|XP_017065708.1|DEUG, LOC108104243|XP_017065682.1|DEUG, LOC108104241|XP_017065680.1|DEUG, LOC108104245|XP_017065684.1|DEUG	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL
OG0000001	LOC108111625|XP_017076648.1|DEUG	LOC119648870|XP_037906726.1|HILL, LOC119652195|XP_037912066.1|HILL
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL
OG0000004	LOC108113823|XP_017080058.1|DEUG	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC119655070|XP_037916694.1|HILL, LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL
OG0000007	LOC108107881|XP_017071156.1|DEUG, LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG, LOC108102687|XP_017063316.1|DEUG, LOC108104447|XP_017065997.1|DEUG, LOC108111280|XP_017076157.1|DEUG, LOC108111281|XP_017076158.1|DEUG, LOC108111392|XP_017076316.1|DEUG, LOC108111282|XP_017076159.1|DEUG, LOC108111279|XP_017076156.1|DEUG, LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG, LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG, LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG, LOC108107529|XP_017070559.1|DEUG, LOC108107925|XP_017071238.1|DEUG	LOC119653460|XP_037913999.1|HILL
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC119660223|XP_037924589.1|HILL
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC119649590|XP_037907727.1|HILL
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC119652756|XP_037912988.1|HILL
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC119649591|XP_037907728.1|HILL
