Orthogroup	DEUG.longest_only	DMIR.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC108150869|XP_017134661.1|DMIR
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC108158045|XP_017145679.2|DMIR
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC117185812|XP_033243800.1|DMIR
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC108165373|XP_017156898.2|DMIR
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC108151290|XP_017135310.1|DMIR
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	LOC108104209|XP_017065641.1|DEUG, LOC108104204|XP_017065637.1|DEUG, LOC108104205|XP_017065638.1|DEUG, LOC108104206|XP_017065639.1|DEUG, LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG	LOC108153842|XP_033245237.1|DMIR
OG0000000	LOC108104212|XP_017065644.1|DEUG	LOC108156429|XP_017143371.1|DMIR
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR
OG0000000	LOC108113484|XP_017079558.1|DEUG	LOC108154033|XP_017139614.1|DMIR
OG0000000	LOC108113485|XP_017079560.1|DEUG	LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC108153951|XP_017139538.1|DMIR
