Orthogroup	DEUG.longest_only	DGUA.longest_only
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC117583189|XP_034127284.1|DGUA
OG0000000	LOC108108401|XP_017071943.1|DEUG, LOC108108403|XP_017071945.1|DEUG	LOC117583148|XP_034127229.1|DGUA
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC117589025|XP_034136545.1|DGUA
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC117588940|XP_034136409.1|DGUA
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC108104212|XP_017065644.1|DEUG	LOC117583198|XP_034127292.1|DGUA
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC117583318|XP_034127468.1|DGUA
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC117582218|XP_034125717.1|DGUA
OG0000000	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC108108505|XP_017072063.1|DEUG, LOC108104271|XP_017065711.1|DEUG, LOC108104244|XP_017065683.1|DEUG, LOC108104247|XP_017065685.1|DEUG, LOC108104242|XP_017065681.1|DEUG, LOC108104250|XP_017065688.1|DEUG, LOC108116803|XP_017084340.1|DEUG, LOC108104248|XP_017065686.1|DEUG, LOC108104270|XP_017065710.1|DEUG, LOC108104269|XP_017065708.1|DEUG, LOC108104243|XP_017065682.1|DEUG, LOC108104241|XP_017065680.1|DEUG, LOC108104245|XP_017065684.1|DEUG	LOC117592344|XP_034141927.1|DGUA
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC108113287|XP_017079326.1|DEUG	LOC117584002|XP_034128622.1|DGUA
OG0000003	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC108115764|XP_017082821.1|DEUG, LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC117592350|XP_034141940.1|DGUA
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC117583299|XP_034127435.1|DGUA
OG0000003	LOC108106603|XP_017069283.1|DEUG, LOC108106677|XP_017069397.1|DEUG, LOC108108144|XP_017071563.1|DEUG, LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG	LOC117592340|XP_034141928.1|DGUA
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG	LOC117583987|XP_034128590.1|DGUA
OG0000004	LOC108113823|XP_017080058.1|DEUG	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA
OG0000005	LOC108103412|XP_017064359.1|DEUG	LOC117591790|XP_034140985.1|DGUA
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC117591689|XP_034140903.1|DGUA, LOC117591770|XP_034140972.1|DGUA, LOC117591658|XP_034140872.1|DGUA, LOC117591672|XP_034140886.1|DGUA
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC108102687|XP_017063316.1|DEUG	LOC117584024|XP_034128652.1|DGUA
OG0000007	LOC108104447|XP_017065997.1|DEUG	LOC117592308|XP_034141873.1|DGUA
OG0000007	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG	LOC117584026|XP_034128654.1|DGUA
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG	LOC117587067|XP_034133401.1|DGUA
OG0000007	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC117584025|XP_034128653.1|DGUA
OG0000007	LOC108107529|XP_017070559.1|DEUG	LOC117587430|XP_034133997.1|DGUA
OG0000007	LOC108107925|XP_017071238.1|DEUG	LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC117579398|XP_034121168.1|DGUA
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC117579400|XP_034121171.1|DGUA
OG0000008	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC117586165|XP_034131957.1|DGUA
OG0000008	LOC108116123|XP_017083335.1|DEUG	LOC117586221|XP_034132048.1|DGUA
OG0000008	LOC108116120|XP_017083333.1|DEUG	LOC117586120|XP_034131875.1|DGUA
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC117586582|XP_034132641.1|DGUA
OG0000009	LOC108117308|XP_017085159.1|DEUG	LOC117586341|XP_034132234.1|DGUA
OG0000009	LOC108117290|XP_017085135.1|DEUG	LOC117586454|XP_034132388.1|DGUA
OG0000009	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA
OG0000009	LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA
OG0000009	LOC108107216|XP_017070122.1|DEUG	LOC117587230|XP_034133688.1|DGUA
OG0000009	LOC108111728|XP_017076770.1|DEUG	LOC117586357|XP_034132268.1|DGUA
OG0000009	LOC108106283|XP_017068739.1|DEUG	LOC117588654|XP_034135988.1|DGUA
OG0000009	LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC117588663|XP_034136000.1|DGUA
OG0000010	LOC108105230|XP_017067186.1|DEUG	LOC117583778|XP_034128224.1|DGUA
OG0000011	LOC108111192|XP_017076075.1|DEUG, LOC108102528|XP_017063054.1|DEUG, LOC108102616|XP_017063214.1|DEUG, LOC108108695|XP_017072289.1|DEUG, LOC108118231|XP_017086302.1|DEUG, LOC108102619|XP_017063216.1|DEUG, LOC108111193|XP_017076077.1|DEUG, LOC108118458|XP_017086666.1|DEUG, LOC108118456|XP_017086662.1|DEUG, LOC108103884|XP_017065103.1|DEUG, LOC108103883|XP_017065101.1|DEUG	LOC117587656|XP_034134438.1|DGUA, LOC117584846|XP_034129875.1|DGUA, LOC117582569|XP_034126300.1|DGUA, LOC117582570|XP_034126301.1|DGUA, LOC117584825|XP_034129842.1|DGUA, LOC117584102|XP_034128742.1|DGUA, LOC117584843|XP_034129873.1|DGUA, LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA, LOC117582571|XP_034126303.1|DGUA, LOC117582572|XP_034126307.1|DGUA, LOC117582573|XP_034126310.1|DGUA
OG0000011	LOC108105968|XP_017068261.1|DEUG	LOC117579965|XP_034122030.1|DGUA
OG0000011	LOC108105967|XP_017068260.1|DEUG	LOC117579216|XP_034120874.1|DGUA
