Orthogroup	DEUG.longest_only	DPER.longest_only
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC6603458|XP_002028438.2|DPER
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER
OG0000000	LOC108108401|XP_017071943.1|DEUG, LOC108108403|XP_017071945.1|DEUG	LOC6598745|XP_026840088.1|DPER
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC6603462|XP_002028442.1|DPER
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC108104209|XP_017065641.1|DEUG, LOC108104204|XP_017065637.1|DEUG, LOC108104205|XP_017065638.1|DEUG, LOC108104206|XP_017065639.1|DEUG, LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG	LOC6594745|XP_002020397.2|DPER
OG0000000	LOC108104212|XP_017065644.1|DEUG	LOC6594749|XP_026851250.1|DPER
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER
OG0000000	LOC108113484|XP_017079558.1|DEUG	LOC113564899|XP_026839990.1|DPER
OG0000000	LOC108113485|XP_017079560.1|DEUG	LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC6588283|XP_026842223.1|DPER
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC113565649|XP_026844091.1|DPER
OG0000000	LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC6587480|XP_002013644.2|DPER
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC108110911|XP_017075671.1|DEUG, LOC108102651|XP_017063276.1|DEUG, LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG	LOC6595741|XP_026845259.1|DPER
OG0000002	LOC108113287|XP_017079326.1|DEUG	LOC6596381|XP_002021534.2|DPER
OG0000003	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC108115764|XP_017082821.1|DEUG, LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC6590819|XP_026841177.1|DPER
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC6590049|XP_002015522.1|DPER
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER
OG0000003	LOC108106603|XP_017069283.1|DEUG, LOC108106677|XP_017069397.1|DEUG, LOC108108144|XP_017071563.1|DEUG, LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG	LOC6591232|XP_002016678.1|DPER
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC6591235|XP_002016681.1|DPER
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC6591236|XP_002016682.2|DPER
OG0000003	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER
OG0000004	LOC108113823|XP_017080058.1|DEUG	LOC6587537|XP_002013115.1|DPER
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC113567247|XP_026850217.1|DPER, LOC113565363|XP_026842914.1|DPER, LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER, LOC6604168|XP_002029102.2|DPER, LOC113567418|XP_026850957.1|DPER, LOC113567028|XP_026850039.1|DPER, LOC113567401|XP_026850929.1|DPER
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER
OG0000007	LOC108102687|XP_017063316.1|DEUG	LOC6596309|XP_002021479.1|DPER
OG0000007	LOC108104447|XP_017065997.1|DEUG	LOC6592462|XP_002017797.1|DPER
OG0000007	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG	LOC6596310|XP_002021480.2|DPER
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG	LOC6601214|XP_002026310.2|DPER
OG0000007	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC6589529|XP_002015017.1|DPER
OG0000007	LOC108107529|XP_017070559.1|DEUG	LOC6601483|XP_026847920.1|DPER
OG0000007	LOC108107925|XP_017071238.1|DEUG	LOC6601458|XP_026847765.1|DPER
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC6601897|XP_026849381.1|DPER
